lambda,acc,E_j,frac_image
0.0,0.6832,8.655,0.253
1e-05,0.6834,8.649,0.2528
1.2589254117941661e-05,0.6834,8.649,0.2528
1.584893192461114e-05,0.6834,8.649,0.2528
1.9952623149688786e-05,0.6834,8.649,0.2528
2.5118864315095822e-05,0.6834,8.649,0.2528
3.1622776601683795e-05,0.6834,8.649,0.2528
3.9810717055349695e-05,0.6834,8.649,0.2528
5.011872336272725e-05,0.6834,8.649,0.2528
6.309573444801929e-05,0.6834,8.649,0.2528
7.943282347242822e-05,0.6836,8.638,0.2525
0.0001,0.6836,8.632,0.2523
0.00012589254117941674,0.6836,8.632,0.2523
0.00015848931924611142,0.6838,8.626,0.2521
0.00019952623149688788,0.6839,8.609,0.2516
0.0002511886431509582,0.6839,8.609,0.2516
0.00031622776601683794,0.6843,8.568,0.2504
0.00039810717055349735,0.685,8.462,0.2472
0.0005011872336272725,0.6857,8.324,0.2429
0.000630957344480193,0.6863,7.892,0.2299
0.0007943282347242822,0.6859,7.333,0.2126
0.001,0.6859,6.698,0.193
0.0012589254117941675,0.6884,6.148,0.1759
0.001584893192461114,0.6911,5.806,0.1654
0.0019952623149688807,0.6936,5.315,0.1503
0.002511886431509582,0.6925,5.086,0.1432
0.0031622776601683794,0.6934,4.768,0.1335
0.003981071705534973,0.6925,4.2,0.1159
0.005011872336272725,0.6896,4.056,0.1115
0.006309573444801936,0.6834,2.969,0.078
0.00794328234724282,0.682,2.448,0.062
0.01,0.6768,2.238,0.0556
0.012589254117941675,0.6346,0.435,0.0
0.01584893192461114,0.6346,0.435,0.0
0.01995262314968881,0.6346,0.435,0.0
0.025118864315095822,0.6346,0.435,0.0
0.03162277660168379,0.6346,0.435,0.0
0.039810717055349734,0.6346,0.435,0.0
0.05011872336272725,0.6346,0.435,0.0
0.06309573444801936,0.6346,0.435,0.0
0.07943282347242822,0.6346,0.435,0.0
0.1,0.6346,0.435,0.0
0.12589254117941687,0.6346,0.435,0.0
0.15848931924611143,0.6346,0.435,0.0
0.1995262314968879,0.6346,0.435,0.0
0.25118864315095824,0.6346,0.435,0.0
0.31622776601683794,0.6346,0.435,0.0
1000000000.0,0.6346,0.435,0.0
