lambda,acc,E_j,frac_image
0.0,0.6804,8.656,0.2528
1e-05,0.6804,8.656,0.2528
1.2589254117941661e-05,0.6804,8.656,0.2528
1.584893192461114e-05,0.6804,8.656,0.2528
1.9952623149688786e-05,0.6804,8.656,0.2528
2.5118864315095822e-05,0.6806,8.65,0.2527
3.1622776601683795e-05,0.6806,8.65,0.2527
3.9810717055349695e-05,0.6806,8.65,0.2527
5.011872336272725e-05,0.6806,8.65,0.2527
6.309573444801929e-05,0.6806,8.65,0.2527
7.943282347242822e-05,0.6806,8.645,0.2525
0.0001,0.6806,8.639,0.2523
0.00012589254117941674,0.6806,8.639,0.2523
0.00015848931924611142,0.6811,8.591,0.2509
0.00019952623149688788,0.6811,8.585,0.2507
0.0002511886431509582,0.6813,8.579,0.2505
0.00031622776601683794,0.6818,8.491,0.2479
0.00039810717055349735,0.6823,8.14,0.2374
0.0005011872336272725,0.6827,8.066,0.235
0.000630957344480193,0.6832,7.683,0.2233
0.0007943282347242822,0.6838,7.237,0.2096
0.001,0.6841,6.827,0.1969
0.0012589254117941675,0.6859,6.304,0.1807
0.001584893192461114,0.688,5.658,0.1608
0.0019952623149688807,0.6886,5.359,0.1515
0.002511886431509582,0.6895,4.815,0.1348
0.0031622776601683794,0.6895,4.451,0.1236
0.003981071705534973,0.6879,4.163,0.1147
0.005011872336272725,0.6848,3.693,0.1004
0.006309573444801936,0.6795,2.794,0.0726
0.00794328234724282,0.6781,2.42,0.0611
0.01,0.6676,1.865,0.0443
0.012589254117941675,0.6339,0.435,0.0
0.01584893192461114,0.6339,0.435,0.0
0.01995262314968881,0.6339,0.435,0.0
0.025118864315095822,0.6339,0.435,0.0
0.03162277660168379,0.6339,0.435,0.0
0.039810717055349734,0.6339,0.435,0.0
0.05011872336272725,0.6339,0.435,0.0
0.06309573444801936,0.6339,0.435,0.0
0.07943282347242822,0.6339,0.435,0.0
0.1,0.6339,0.435,0.0
0.12589254117941687,0.6339,0.435,0.0
0.15848931924611143,0.6339,0.435,0.0
0.1995262314968879,0.6339,0.435,0.0
0.25118864315095824,0.6339,0.435,0.0
0.31622776601683794,0.6339,0.435,0.0
1000000000.0,0.6339,0.435,0.0
