lambda,acc,E_j,frac_image
0.0,0.6798,8.868,0.2594
1e-05,0.6798,8.868,0.2594
1.2589254117941661e-05,0.6798,8.868,0.2594
1.584893192461114e-05,0.6798,8.868,0.2594
1.9952623149688786e-05,0.6798,8.868,0.2594
2.5118864315095822e-05,0.6798,8.868,0.2594
3.1622776601683795e-05,0.68,8.856,0.2591
3.9810717055349695e-05,0.68,8.856,0.2591
5.011872336272725e-05,0.6806,8.799,0.2573
6.309573444801929e-05,0.6807,8.782,0.2568
7.943282347242822e-05,0.6807,8.776,0.2566
0.0001,0.6816,8.73,0.2552
0.00012589254117941674,0.6818,8.696,0.2541
0.00015848931924611142,0.6827,8.621,0.2518
0.00019952623149688788,0.683,8.598,0.2511
0.0002511886431509582,0.6838,8.539,0.2493
0.00031622776601683794,0.6845,8.463,0.247
0.00039810717055349735,0.685,8.308,0.2422
0.0005011872336272725,0.6857,8.001,0.2329
0.000630957344480193,0.6855,7.827,0.2276
0.0007943282347242822,0.6852,7.368,0.2135
0.001,0.6871,6.519,0.1873
0.0012589254117941675,0.6896,5.959,0.1699
0.001584893192461114,0.6902,5.876,0.1674
0.0019952623149688807,0.6905,5.273,0.1489
0.002511886431509582,0.6911,5.09,0.1432
0.0031622776601683794,0.6912,4.676,0.1305
0.003981071705534973,0.6898,4.18,0.1152
0.005011872336272725,0.687,3.866,0.1058
0.006309573444801936,0.6814,2.971,0.078
0.00794328234724282,0.6797,2.426,0.0613
0.01,0.6741,2.211,0.0547
0.012589254117941675,0.6339,0.435,0.0
0.01584893192461114,0.6339,0.435,0.0
0.01995262314968881,0.6339,0.435,0.0
0.025118864315095822,0.6339,0.435,0.0
0.03162277660168379,0.6339,0.435,0.0
0.039810717055349734,0.6339,0.435,0.0
0.05011872336272725,0.6339,0.435,0.0
0.06309573444801936,0.6339,0.435,0.0
0.07943282347242822,0.6339,0.435,0.0
0.1,0.6339,0.435,0.0
0.12589254117941687,0.6339,0.435,0.0
0.15848931924611143,0.6339,0.435,0.0
0.1995262314968879,0.6339,0.435,0.0
0.25118864315095824,0.6339,0.435,0.0
0.31622776601683794,0.6339,0.435,0.0
1000000000.0,0.6339,0.435,0.0
