t,phase,avg_w,min_w,max_w,window_sec,window_n,util_pct,sm_mhz,temp_c
1783652771.6,idle,52.62,52.57,53.3,14.03,119,0.0,210.0,48.0
1783652775.6,idle,52.58,52.54,53.3,11.92,119,0.0,210.0,48.0
1783652779.7,idle,52.55,52.52,53.3,8.38,119,0.0,210.0,48.0
1783652783.7,idle,52.53,52.49,53.3,12.3,119,0.0,210.0,47.0
1783652787.7,idle,52.51,52.47,52.56,14.84,119,0.0,210.0,47.0
1783652791.8,idle,52.48,52.45,52.53,14.45,119,0.0,210.0,47.0
1783652795.8,idle,52.47,52.43,52.53,17.4,119,0.0,210.0,46.0
1783652799.8,idle,52.44,52.41,52.48,14.43,119,0.0,210.0,46.0
1783652803.9,idle,52.43,52.4,52.48,18.35,119,0.0,210.0,46.0
1783652807.9,idle,52.41,52.37,52.44,15.42,119,0.0,210.0,45.0
1783652812.0,idle,52.4,52.36,52.44,19.33,119,0.0,210.0,45.0
1783652816.0,idle,52.37,52.34,52.41,16.4,119,0.0,210.0,45.0
1783652820.0,idle,52.37,52.33,52.41,19.31,119,0.0,210.0,45.0
1783652824.1,idle,52.34,52.32,52.38,17.38,119,0.0,210.0,44.0
1783652828.1,idle,52.33,52.3,52.36,14.43,119,0.0,210.0,44.0
1783652832.1,idle,52.32,52.29,52.36,17.37,119,0.0,210.0,44.0
1783652836.2,idle,52.3,52.28,52.33,14.42,119,0.0,210.0,44.0
1783652840.2,idle,52.29,52.26,52.33,18.33,119,0.0,210.0,44.0
1783652844.3,idle,52.27,52.25,52.3,15.39,119,0.0,210.0,43.0
1783652848.3,idle,52.27,52.23,52.3,18.34,119,0.0,210.0,43.0
1783652852.4,idle,52.25,52.23,52.28,16.37,119,0.0,210.0,43.0
1783652856.4,idle,52.23,52.21,52.26,14.42,119,0.0,210.0,43.0
1783652860.4,idle,52.23,52.2,52.25,17.35,119,0.0,210.0,43.0
1783652864.5,idle,52.21,52.19,52.23,14.42,119,0.0,210.0,42.0
1783652868.5,idle,52.2,52.18,52.23,18.33,119,0.0,210.0,42.0
1783652872.6,idle,52.19,52.17,52.21,15.39,119,0.0,210.0,42.0
1783652876.6,idle,52.18,52.17,52.21,18.33,119,0.0,210.0,42.0
1783652880.6,idle,52.18,52.16,52.24,16.38,119,0.0,210.0,42.0
1783652884.7,idle,52.17,52.11,52.24,14.42,119,0.0,210.0,42.0
1783652888.7,idle,52.16,52.11,52.24,17.36,119,0.0,210.0,41.0
1783652892.8,yolo,52.15,52.11,52.24,14.42,119,0.0,210.0,41.0
1783652896.8,yolo,58.27,54.28,59.91,2.36,119,18.0,2460.0,44.0
1783652900.9,yolo,58.44,56.59,59.59,2.36,119,18.0,2460.0,44.0
1783652904.9,yolo,58.3,56.59,58.79,2.36,119,19.0,2460.0,44.0
1783652908.9,yolo,58.61,56.61,59.9,2.36,119,17.0,2460.0,44.0
1783652913.0,yolo,58.54,56.62,60.16,2.36,119,20.0,2460.0,44.0
1783652917.0,yolo,58.35,56.63,58.82,2.36,119,18.0,2460.0,44.0
1783652921.0,yolo,58.48,56.65,59.89,2.36,119,18.0,2460.0,45.0
1783652925.1,yolo,58.64,56.65,60.1,2.36,119,20.0,2460.0,45.0
1783652929.1,yolo,58.5,57.11,58.94,2.36,119,18.0,2460.0,45.0
1783652933.2,yolo,58.45,56.67,59.28,2.36,119,18.0,2460.0,45.0
1783652937.2,yolo,58.72,56.69,60.14,2.36,119,18.0,2460.0,45.0
1783652941.2,yolo,58.57,56.7,59.98,2.36,119,19.0,2460.0,45.0
1783652945.3,yolo,58.4,56.7,58.89,2.36,119,19.0,2460.0,45.0
1783652949.3,yolo,58.7,56.71,60.25,2.36,119,17.0,2460.0,46.0
1783652953.3,yolo,58.66,56.71,60.01,2.36,119,19.0,2460.0,45.0
1783652957.4,yolo,58.52,57.58,58.92,2.36,119,18.0,2460.0,46.0
1783652961.4,yolo,58.6,56.74,59.87,2.36,119,18.0,2460.0,46.0
1783652965.4,yolo,58.77,56.75,60.14,2.36,119,20.0,2460.0,46.0
1783652969.5,yolo,58.44,56.76,59.48,2.36,119,15.0,2460.0,46.0
1783652973.5,yolo,58.45,56.76,59.34,2.36,119,17.0,2460.0,46.0
1783652977.5,yolo,58.87,56.79,60.26,2.36,119,17.0,2460.0,46.0
1783652981.6,yolo,58.75,56.78,60.42,2.36,119,20.0,2460.0,46.0
1783652985.6,yolo,58.55,56.79,59.02,2.36,119,17.0,2460.0,46.0
1783652989.7,yolo,58.69,56.79,60.12,2.36,119,18.0,2460.0,47.0
1783652993.7,yolo,58.81,56.81,60.22,2.38,119,17.0,2460.0,47.0
1783652997.7,yolo,58.76,57.88,59.48,2.36,119,19.0,2460.0,47.0
1783653001.8,yolo,58.59,56.81,59.9,2.36,119,18.0,2460.0,47.0
1783653005.8,yolo,58.9,56.81,60.32,2.36,119,16.0,2460.0,47.0
1783653009.8,yolo,58.81,56.81,60.43,2.36,119,17.0,2460.0,47.0
1783653013.9,yolo,58.61,56.83,59.04,2.36,119,18.0,2460.0,47.0
1783653017.9,yolo,58.81,56.83,60.14,2.36,119,18.0,2460.0,47.0
1783653021.9,yolo,58.79,56.86,60.2,2.36,119,18.0,2460.0,47.0
1783653026.0,yolo,58.68,57.5,59.43,2.36,119,19.0,2460.0,47.0
1783653030.0,yolo,58.74,57.54,59.92,2.36,119,18.0,2460.0,47.0
1783653034.0,yolo,58.92,56.86,60.14,2.36,119,19.0,2460.0,47.0
1783653038.1,yolo,58.77,56.87,60.13,2.36,119,18.0,2460.0,47.0
1783653042.1,yolo,58.62,56.87,59.24,2.36,119,18.0,2460.0,47.0
1783653046.2,,57.07,54.62,60.14,2.36,119,0.0,2460.0,46.0
1783653050.2,,54.95,54.6,60.09,6.04,119,0.0,2460.0,46.0
1783653054.2,,54.69,54.6,59.07,8.98,119,0.0,2460.0,46.0
1783653058.3,,54.6,54.59,54.62,12.07,119,0.0,2460.0,46.0
1783653062.3,,54.46,52.35,54.62,16.0,119,0.0,360.0,45.0
1783653066.5,vlm,53.81,52.24,54.61,15.42,119,0.0,210.0,45.0
1783653070.5,vlm,96.5,57.61,123.36,2.48,119,99.0,2745.0,52.0
1783653074.6,vlm,106.41,58.52,123.29,2.52,119,99.0,2730.0,57.0
1783653078.6,vlm,109.67,58.91,123.88,2.46,119,98.0,2640.0,63.0
1783653082.7,vlm,108.2,59.81,124.06,2.46,119,98.0,2670.0,61.0
1783653086.7,vlm,106.83,58.62,123.27,2.49,119,93.0,2730.0,61.0
1783653090.8,vlm,106.14,59.06,122.98,2.5,119,49.0,2730.0,64.0
1783653094.8,vlm,105.84,58.98,122.61,2.5,119,92.0,2730.0,66.0
1783653098.8,vlm,106.92,59.09,123.53,2.5,119,99.0,2730.0,63.0
1783653102.9,vlm,107.55,59.75,123.83,2.44,119,76.0,2730.0,68.0
1783653107.0,vlm,105.63,58.88,123.37,2.4,119,49.0,2730.0,66.0
1783653111.0,vlm,108.08,59.58,124.06,2.46,119,98.0,2715.0,66.0
1783653115.1,vlm,108.09,60.31,124.74,2.46,119,99.0,2715.0,68.0
1783653119.2,vlm,107.58,59.46,123.55,2.46,119,41.0,2715.0,68.0
1783653123.2,vlm,109.17,60.84,125.5,2.5,119,73.0,2715.0,70.0
1783653127.3,vlm,109.48,60.43,125.23,2.47,119,99.0,2625.0,72.0
1783653131.3,vlm,106.09,59.81,123.7,2.45,119,49.0,2700.0,72.0
1783653135.4,vlm,106.95,59.63,122.1,2.5,119,99.0,2685.0,73.0
1783653139.4,vlm,109.11,59.2,123.34,2.46,119,99.0,2715.0,69.0
1783653143.4,vlm,109.33,60.37,124.33,2.48,119,73.0,2700.0,73.0
1783653147.5,vlm,108.44,59.8,123.68,2.44,119,77.0,2640.0,74.0
1783653151.5,vlm,109.7,60.71,124.35,2.44,119,98.0,2715.0,68.0
1783653155.6,vlm,109.03,61.54,124.99,2.5,119,70.0,2715.0,73.0
1783653159.6,vlm,108.0,60.64,123.91,2.52,119,79.0,2715.0,70.0
1783653163.6,vlm,106.51,60.76,123.02,2.48,119,40.0,2685.0,74.0
1783653167.7,vlm,106.96,60.8,123.75,2.48,119,55.0,2685.0,75.0
1783653171.7,vlm,107.69,59.88,125.42,2.48,119,99.0,2700.0,76.0
1783653175.8,vlm,108.64,60.78,123.5,2.5,119,99.0,2640.0,73.0
1783653179.8,vlm,108.25,59.93,123.67,2.44,119,69.0,2715.0,72.0
1783653183.8,vlm,107.01,60.95,124.6,2.48,119,48.0,2700.0,75.0
1783653187.9,vlm,107.02,60.19,122.97,2.48,119,64.0,2700.0,76.0
1783653191.9,vlm,107.15,59.56,122.69,2.5,119,98.0,2670.0,76.0
1783653195.9,vlm,109.39,60.59,124.01,2.46,119,99.0,2625.0,76.0
1783653200.0,vlm,108.11,60.53,123.53,2.44,119,71.0,2715.0,71.0
