step,task_id,uav_id,edge_id,service_level,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,airspace_conflict,snr_bin,sensed_snr_db,sinr_db,rate_mbps,los_probability,path_loss_db,interference_dbm,cache_hit_probability,gpu_memory_ok,battery_remaining_j,success,reward
0,0000155_00401_d_0000001_12,2,0,0,0.927733,0.141118,1.45,0.0,False,False,False,20dB,35.469294,35.25691,11.712522,0.927781,91.530706,-120.0,0.96,True,19998.55,True,3.682128
1,0000330_00201_d_0000801_18,1,0,1,0.833333,3.653885,475.70983,0.996907,False,True,False,20dB,40.885777,40.673393,13.511532,0.974818,87.875135,-120.0,0.68,True,19524.29017,False,-1.923055
2,0000330_00201_d_0000801_18,1,0,2,0.833333,5.350595,478.717106,504.161784,False,True,False,20dB,43.557504,43.34512,14.399004,0.995249,86.452796,-120.0,0.68,True,19045.573064,False,-3.269929
3,0000330_00201_d_0000801_18,1,0,0,0.297333,0.318024,1.45,0.0,True,False,False,20dB,41.840548,41.628164,13.828676,0.999474,85.159452,-120.0,0.28,True,19044.123064,False,-1.064185
4,0000330_00201_d_0000801_18,1,0,1,0.833333,1.768845,187.709826,0.996907,False,False,False,20dB,42.90368,42.691296,14.181819,0.999474,85.857233,-120.0,0.28,True,18856.413238,True,2.902485
5,0000356_03921_d_0000649_1,0,0,2,0.833333,14.063974,1706.203771,504.161784,False,True,False,20dB,31.181514,30.96913,10.288876,0.263859,98.828786,-120.0,0.28,True,18293.796229,False,-5.5036
6,0000356_03921_d_0000649_1,0,0,0,0.297333,0.366607,1.45,0.0,True,False,False,20dB,29.705604,29.49322,9.799056,0.318865,97.294396,-120.0,0.28,True,18292.346229,False,-1.073901
7,0000356_03921_d_0000649_1,0,0,1,0.833333,10.324695,1415.173607,0.996907,False,True,False,20dB,31.220455,31.008071,10.301802,0.318865,97.540457,-120.0,0.28,True,16877.172622,False,-3.633002
8,0000356_03921_d_0000649_1,0,0,2,0.833333,12.052076,1418.197286,504.161784,False,True,False,20dB,33.904713,33.692329,11.192966,0.392299,96.105587,-120.0,0.28,True,15458.975336,False,-4.986018
9,0000356_03921_d_0000649_1,0,0,0,0.297333,0.379949,1.45,0.0,True,False,False,20dB,32.931037,32.718653,10.869672,0.48884,94.068963,-120.0,0.28,True,15457.525336,False,-1.07657
10,0000356_03921_d_0000649_1,0,0,1,0.833333,8.333296,1127.173596,0.996907,False,True,False,20dB,34.279347,34.066963,11.317366,0.48884,94.481566,-120.0,0.28,True,14330.35174,False,-3.119522
11,0000356_03921_d_0000649_1,0,0,2,0.833333,10.02092,1130.189927,504.161784,False,True,False,20dB,37.637712,37.425328,12.432686,0.609439,92.372588,-120.0,0.28,True,13200.161813,False,-4.464584
