step,task_id,uav_id,edge_id,service_level,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,airspace_conflict,snr_bin,sensed_snr_db,sinr_db,rate_mbps,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,fading_db,cache_hit_probability,semantic_cache_hit,gpu_memory_ok,gpu_memory_used_mb,gpu_memory_capacity_mb,battery_remaining_j,fly_delay_s,sense_delay_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,fly_energy_j,hover_energy_j,tx_energy_j,compute_energy_j,success,reward
0,0000155_00401_d_0000001_12,2,0,0,0.927733,0.141118,1.45,0.0,False,False,False,20dB,35.469294,35.25691,11.712522,93.912405,39.70934,0.927781,91.530706,-120.0,-2.480828,0.96,True,True,2816.0,8192.0,19998.55,0.0,0.0,0.0,0.081118,0.02,0.04,0.0,1.4,0.0,0.05,True,3.682128
1,0000330_00201_d_0000801_18,1,0,1,0.833333,3.653885,475.70983,0.996907,False,True,False,20dB,40.885777,40.673393,13.511532,82.57465,46.603384,0.974818,87.875135,-120.0,-0.477873,0.68,False,True,2816.0,8192.0,19524.29017,3.151804,0.12,0.000604,0.166477,0.175,0.04,453.85974,20.65,9.1e-05,1.2,False,-1.923055
2,0000330_00201_d_0000801_18,1,0,2,0.833333,5.350595,478.717106,504.161784,False,True,False,20dB,43.557504,43.34512,14.399004,71.415713,57.156094,0.995249,86.452796,-120.0,-0.626571,0.68,False,True,2816.0,8192.0,19045.573064,2.151804,0.3,0.286832,0.22196,2.04,0.35,309.85974,163.8,0.057366,5.0,False,-3.269929
3,0000330_00201_d_0000801_18,1,0,0,0.297333,0.318024,1.45,0.0,True,False,False,20dB,41.840548,41.628164,13.828676,63.480983,70.937864,0.999474,85.159452,-120.0,-0.496558,0.28,False,True,2816.0,8192.0,19044.123064,0.0,0.0,0.0,0.258024,0.02,0.04,0.0,1.4,0.0,0.05,False,-1.064185
4,0000330_00201_d_0000801_18,1,0,1,0.833333,1.768845,187.709826,0.996907,False,False,False,20dB,42.90368,42.691296,14.181819,63.480983,70.937864,0.999474,85.857233,-120.0,-1.194338,0.28,False,True,2816.0,8192.0,18856.413238,1.151804,0.12,0.000576,0.281466,0.175,0.04,165.85974,20.65,8.6e-05,1.2,True,2.902485
5,0000356_03921_d_0000649_1,0,0,2,0.833333,14.063974,1706.203771,504.161784,False,True,False,20dB,31.181514,30.96913,10.288876,201.314567,17.339981,0.263859,98.828786,-120.0,3.481738,0.28,False,True,2816.0,8192.0,18293.796229,10.675858,0.3,0.401413,0.296703,2.04,0.35,1537.323488,163.8,0.080283,5.0,False,-5.5036
6,0000356_03921_d_0000649_1,0,0,0,0.297333,0.366607,1.45,0.0,True,False,False,20dB,29.705604,29.49322,9.799056,184.210746,19.008832,0.318865,97.294396,-120.0,3.672745,0.28,False,True,2816.0,8192.0,18292.346229,0.0,0.0,0.0,0.306607,0.02,0.04,0.0,1.4,0.0,0.05,False,-1.073901
7,0000356_03921_d_0000649_1,0,0,1,0.833333,10.324695,1415.173607,0.996907,False,True,False,20dB,31.220455,31.008071,10.301802,184.210746,19.008832,0.318865,97.540457,-120.0,3.426684,0.28,False,True,2816.0,8192.0,16877.172622,9.675858,0.12,0.000793,0.313044,0.175,0.04,1393.323488,20.65,0.000119,1.2,False,-3.633002
8,0000356_03921_d_0000649_1,0,0,2,0.833333,12.052076,1418.197286,504.161784,False,True,False,20dB,33.904713,33.692329,11.192966,167.295079,21.017172,0.392299,96.105587,-120.0,3.280348,0.28,False,True,2816.0,8192.0,15458.975336,8.675858,0.3,0.36899,0.317229,2.04,0.35,1249.323488,163.8,0.073798,5.0,False,-4.986018
9,0000356_03921_d_0000649_1,0,0,0,0.297333,0.379949,1.45,0.0,True,False,False,20dB,32.931037,32.718653,10.869672,150.630965,23.473475,0.48884,94.068963,-120.0,3.445592,0.28,False,True,2816.0,8192.0,15457.525336,0.0,0.0,0.0,0.319949,0.02,0.04,0.0,1.4,0.0,0.05,False,-1.07657
10,0000356_03921_d_0000649_1,0,0,1,0.833333,8.333296,1127.173596,0.996907,False,True,False,20dB,34.279347,34.066963,11.317366,150.630965,23.473475,0.48884,94.481566,-120.0,3.03299,0.28,False,True,2816.0,8192.0,14330.35174,7.675858,0.12,0.000722,0.321717,0.175,0.04,1105.323488,20.65,0.000108,1.2,False,-3.119522
11,0000356_03921_d_0000649_1,0,0,2,0.833333,10.02092,1130.189927,504.161784,False,True,False,20dB,37.637712,37.425328,12.432686,134.31207,26.53349,0.609439,92.372588,-120.0,2.960993,0.28,False,True,2816.0,8192.0,13200.161813,6.675858,0.3,0.332196,0.322866,2.04,0.35,961.323488,163.8,0.066439,5.0,False,-4.464584
