step,scenario,task_id,uav_id,edge_id,service_level,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,airspace_conflict,snr_bin,sensed_snr_db,sinr_db,rate_mbps,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,fading_db,cache_hit_probability,semantic_cache_hit,gpu_memory_ok,gpu_memory_used_mb,gpu_memory_capacity_mb,battery_remaining_j,fly_delay_s,sense_delay_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,fly_energy_j,hover_energy_j,tx_energy_j,compute_energy_j,success,reward
0,cache-heavy,0000193_02725_d_0000118_12,1,0,0,0.5,0.185604,1.61,0.0,True,False,False,20dB,39.957179,39.286239,3.915233,101.024705,36.435262,0.883833,92.271608,-120.0,-0.194148,1.0,True,True,2816.0,8192.0,19998.39,0.0,0.0,0.0,0.125604,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.037765
1,cache-heavy,0000193_02725_d_0000118_12,1,0,1,0.75,5.658697,760.057123,1.156738,True,True,False,20dB,39.848152,39.177211,3.904369,101.024705,36.435262,0.883833,92.380635,-120.0,-0.303176,1.0,False,True,2816.0,8192.0,19238.332877,4.515403,0.16,0.002427,0.124868,0.816,0.04,682.728881,76.128,0.000243,1.2,False,-3.438076
2,cache-heavy,0000193_02725_d_0000118_12,1,0,0,0.246625,0.184389,1.61,0.0,True,False,False,20dB,42.011657,41.340717,4.119958,87.200975,43.477187,0.959142,90.21713,-120.0,-0.405966,0.91,True,True,2816.0,8192.0,19236.722877,0.0,0.0,0.0,0.124389,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.037522
3,cache-heavy,0000193_02725_d_0000118_12,1,0,1,0.75,4.657791,608.857112,1.156738,True,True,False,20dB,41.829601,41.15866,4.101816,87.200975,43.477187,0.959142,90.399187,-120.0,-0.588022,0.91,False,True,2816.0,8192.0,18627.865765,3.515403,0.16,0.00231,0.124078,0.816,0.04,531.528881,76.128,0.000231,1.2,False,-3.177415
4,cache-heavy,0000193_02725_d_0000118_12,1,0,0,0.46175,0.183876,1.61,0.0,True,False,False,20dB,44.071514,43.400573,4.325227,75.166676,52.961037,0.990746,88.157274,-120.0,-0.144905,0.49,False,True,2816.0,8192.0,18626.255765,0.0,0.0,0.0,0.123876,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.037419
5,cache-heavy,0000193_02725_d_0000118_12,1,0,1,0.75,3.657339,457.6571,1.156738,True,True,False,20dB,44.046896,43.375956,4.322774,75.166676,52.961037,0.990746,88.181891,-120.0,-0.169523,0.49,False,True,2816.0,8192.0,18168.598665,2.515403,0.16,0.002192,0.123744,0.816,0.04,380.328881,76.128,0.000219,1.2,False,-2.916844
6,cache-heavy,0000193_02725_d_0000118_12,1,0,0,0.46175,0.183659,1.61,0.0,True,False,False,20dB,45.317084,44.646143,4.449353,65.909394,65.552468,0.998756,86.911703,-120.0,-0.271702,0.49,False,True,2816.0,8192.0,18166.988665,0.0,0.0,0.0,0.123659,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.037376
7,cache-heavy,0000193_02725_d_0000118_12,1,0,1,0.75,2.657135,306.457094,1.156738,True,False,False,20dB,45.331677,44.660736,4.450807,65.909394,65.552468,0.998756,86.897111,-120.0,-0.25711,0.49,False,True,2816.0,8192.0,17860.531571,1.515403,0.16,0.002129,0.123603,0.816,0.04,229.128881,76.128,0.000213,1.2,False,-1.656323
8,cache-heavy,0000193_02725_d_0000118_12,1,0,0,0.46175,0.183567,1.61,0.0,True,False,False,20dB,45.740366,45.069425,4.491535,60.712991,81.210485,0.999898,86.488422,-120.0,-0.663466,0.49,False,True,2816.0,8192.0,17858.921571,0.0,0.0,0.0,0.123567,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.037357
9,cache-heavy,0000193_02725_d_0000118_12,1,0,1,0.75,1.657037,155.25709,1.156738,True,False,False,20dB,46.143502,45.472561,4.53171,60.712991,81.210485,0.999898,86.085285,-120.0,-0.26033,0.49,False,True,2816.0,8192.0,17703.664481,0.515403,0.16,0.002091,0.123544,0.816,0.04,77.928881,76.128,0.000209,1.2,False,-1.395824
10,cache-heavy,0000193_02725_d_0000118_12,1,0,0,0.46175,0.183528,1.61,0.0,True,False,False,20dB,46.000756,45.329815,4.517484,60.0,90.0,0.999975,86.228031,-120.0,-0.519354,0.49,False,True,2816.0,8192.0,17702.054481,0.0,0.0,0.0,0.123528,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.03735
11,cache-heavy,0000193_02725_d_0000118_12,1,0,1,0.75,1.141617,77.32821,1.156738,True,False,False,20dB,45.98554,45.3146,4.515968,60.0,90.0,0.999975,86.243247,-120.0,-0.53457,0.49,False,True,2816.0,8192.0,17624.726271,0.0,0.16,0.002098,0.123518,0.816,0.04,0.0,76.128,0.00021,1.2,False,-1.261568
