step,scenario,task_id,uav_id,edge_id,service_level,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,airspace_conflict,snr_bin,sensed_snr_db,sinr_db,rate_mbps,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,fading_db,cache_hit_probability,semantic_cache_hit,gpu_memory_ok,gpu_memory_used_mb,gpu_memory_capacity_mb,battery_remaining_j,fly_delay_s,sense_delay_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,fly_energy_j,hover_energy_j,tx_energy_j,compute_energy_j,success,reward
0,conflict-heavy,0000280_01201_d_0000618_6,1,0,1,0.935943,4.877392,692.684185,1.141855,False,True,True,15dB,41.561534,12.572673,3.403365,90.974639,29.646235,0.719704,92.428166,-78.985724,0.430799,0.68,False,True,2816.0,8192.0,19307.315815,4.392539,0.16,0.002748,0.091704,0.1904,0.04,664.151886,27.3312,0.001099,1.2,False,-4.254836
1,conflict-heavy,0000280_01201_d_0000618_6,1,0,2,0.967972,6.576799,704.435807,96.307687,False,True,True,10dB,44.443164,12.231733,3.317688,75.855256,36.386918,0.883036,89.546536,-75.76028,-0.260257,0.68,False,True,2816.0,8192.0,18602.880008,3.392539,0.36,0.237802,0.176858,2.0296,0.38,512.951886,186.3888,0.095121,5.0,False,-4.789749
2,conflict-heavy,0000280_01201_d_0000618_6,1,0,1,0.935943,3.017864,390.284173,1.141855,False,True,True,15dB,48.197976,12.725469,3.441878,62.286873,46.258258,0.973427,85.791724,-72.497825,0.574504,0.28,False,True,2816.0,8192.0,18212.595835,2.392539,0.16,0.002718,0.232208,0.1904,0.04,361.751886,27.3312,0.001087,1.2,False,-3.76197
3,conflict-heavy,0000280_01201_d_0000618_6,1,0,2,0.97153,4.746784,402.06727,131.640611,False,True,True,15dB,50.153348,12.589885,3.4077,51.51009,60.881512,0.997377,83.836352,-70.406399,0.410083,0.28,False,True,2816.0,8192.0,17810.528565,1.392539,0.36,0.31646,0.268185,2.0296,0.38,210.551886,186.3888,0.126584,5.0,False,-4.373465
4,conflict-heavy,0000280_01201_d_0000618_6,1,0,1,0.935943,1.077258,87.884185,1.134599,False,False,True,10dB,51.158187,12.483389,3.380893,45.551335,81.076527,0.999896,82.831513,-69.294891,0.185905,0.28,False,True,2816.0,8192.0,17722.64438,0.392539,0.16,0.002749,0.29157,0.1904,0.04,59.351886,27.3312,0.0011,1.2,False,-2.252874
5,conflict-heavy,0000280_01201_d_0000618_6,1,0,2,0.967972,3.319862,191.486197,96.307687,False,True,True,10dB,50.959475,11.921951,3.240168,45.0,90.0,0.999975,83.030225,-68.932118,-0.13267,0.28,False,True,2816.0,8192.0,17531.158183,0.0,0.36,0.243491,0.306771,2.0296,0.38,0.0,186.3888,0.097397,5.0,False,-3.933182
6,conflict-heavy,0000280_01201_d_0000618_6,1,0,1,0.935943,0.709808,28.532303,1.134599,False,False,True,10dB,51.450272,12.446466,3.371607,45.0,90.0,0.999975,82.539428,-68.96584,0.358128,0.28,False,True,2816.0,8192.0,17502.62588,0.0,0.16,0.002757,0.316651,0.1904,0.04,0.0,27.3312,0.001103,1.2,False,-2.155644
7,conflict-heavy,0000280_01201_d_0000618_6,1,0,2,0.97153,3.405868,191.514078,131.640611,False,True,True,15dB,52.000852,12.730791,3.443221,45.0,90.0,0.999975,81.988848,-68.699552,0.908708,0.28,False,True,2816.0,8192.0,17311.111802,0.0,0.36,0.313195,0.323073,2.0296,0.38,0.0,186.3888,0.125278,5.0,False,-4.02106
8,conflict-heavy,0000280_01201_d_0000618_6,1,0,1,0.935943,0.720533,28.532354,1.134599,False,False,True,10dB,51.075708,11.845567,3.221104,45.0,90.0,0.999975,82.913992,-68.739478,-0.016437,0.28,False,True,2816.0,8192.0,17282.579448,0.0,0.16,0.002886,0.327248,0.1904,0.04,0.0,27.3312,0.001154,1.2,False,-2.157789
9,conflict-heavy,0000280_01201_d_0000618_6,1,0,2,0.967972,3.33533,191.483108,96.307687,False,True,True,10dB,51.124046,12.345743,3.346297,45.0,90.0,0.999975,82.865654,-69.191373,0.031901,0.28,False,True,2816.0,8192.0,17091.09634,0.0,0.36,0.235769,0.329961,2.0296,0.38,0.0,186.3888,0.094308,5.0,False,-3.936275
10,conflict-heavy,0000280_01201_d_0000618_6,1,0,1,0.935943,0.724882,28.532303,1.134599,False,False,True,10dB,51.523399,12.441956,3.370473,45.0,90.0,0.999975,82.466302,-68.888194,0.431254,0.28,False,True,2816.0,8192.0,17062.564037,0.0,0.16,0.002758,0.331725,0.1904,0.04,0.0,27.3312,0.001103,1.2,False,-2.158659
11,conflict-heavy,0000280_01201_d_0000618_6,1,0,2,0.97153,3.412167,191.512678,131.640611,False,True,True,15dB,51.629105,12.884859,3.482127,45.0,90.0,0.999975,82.360595,-69.225434,0.536961,0.28,False,True,2816.0,8192.0,16871.051359,0.0,0.36,0.309696,0.332871,2.0296,0.38,0.0,186.3888,0.123878,5.0,False,-4.02232
