step,scenario,task_id,uav_id,edge_id,service_level,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,airspace_conflict,snr_bin,sensed_snr_db,sinr_db,rate_mbps,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,fading_db,cache_hit_probability,semantic_cache_hit,gpu_memory_ok,gpu_memory_used_mb,gpu_memory_capacity_mb,battery_remaining_j,fly_delay_s,sense_delay_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,fly_energy_j,hover_energy_j,tx_energy_j,compute_energy_j,success,reward
0,interference-heavy,0000280_01201_d_0000618_6,2,0,2,0.97153,13.745346,1829.472164,131.640611,False,True,False,15dB,41.052167,16.564403,3.873837,208.166922,16.752032,0.245997,96.527752,-84.076736,9.630549,0.68,False,True,2816.0,8192.0,18170.527836,11.074031,0.36,0.27838,0.091704,1.561231,0.38,1674.39346,149.856,0.222704,5.0,False,-4.744139
1,interference-heavy,0000280_01201_d_0000618_6,2,0,2,0.953737,13.640802,1678.892266,37.48726,False,True,False,-5dB,26.142659,-4.754516,0.291498,191.001297,18.308542,0.295038,111.43726,-77.655378,-6.659366,0.68,False,True,2816.0,8192.0,16491.63557,10.074031,0.36,1.053508,0.212033,1.561231,0.38,1523.19346,149.856,0.842806,5.0,False,-4.474692
2,interference-heavy,0000280_01201_d_0000618_6,2,0,2,0.953737,12.424876,1527.456954,37.48726,False,True,False,-5dB,22.332125,-3.075965,0.40441,174.004378,20.170742,0.360525,115.247794,-83.153449,-12.100967,0.28,False,True,2816.0,8192.0,14964.178616,9.074031,0.36,0.759368,0.290246,1.561231,0.38,1371.99346,149.856,0.607494,5.0,False,-4.170933
3,interference-heavy,0000280_01201_d_0000618_6,2,0,2,0.97153,10.990877,1375.869084,131.640611,False,True,False,15dB,31.812608,16.803054,3.928165,157.230886,22.433099,0.447418,105.767311,-93.678708,-4.566808,0.28,False,True,2816.0,8192.0,13588.309532,8.074031,0.36,0.27453,0.341085,1.561231,0.38,1220.79346,149.856,0.219624,5.0,False,-4.011804
4,interference-heavy,0000280_01201_d_0000618_6,2,0,2,0.975089,10.011028,1224.658769,183.878006,False,True,False,20dB,47.645415,24.744472,5.757336,140.760717,25.230145,0.558831,89.934505,-85.670402,8.959188,0.28,False,True,2816.0,8192.0,12363.650763,7.074031,0.36,0.261636,0.37413,1.561231,0.38,1069.59346,149.856,0.209309,5.0,False,-3.859825
5,interference-heavy,0000280_01201_d_0000618_6,2,0,2,0.960854,9.080016,1073.496775,71.743015,False,True,False,5dB,37.618073,7.458493,1.901114,124.714103,28.757293,0.690138,99.961846,-78.393628,-3.69526,0.28,False,True,2816.0,8192.0,11290.153988,6.074031,0.36,0.309144,0.39561,1.561231,0.38,918.39346,149.856,0.247316,5.0,False,-3.388888
6,interference-heavy,0000280_01201_d_0000618_6,2,0,2,0.960854,8.273684,922.44054,55.509592,False,True,False,0dB,37.794568,1.795704,0.930212,109.277791,33.302509,0.821713,99.785352,-72.551247,-6.257228,0.28,False,True,2816.0,8192.0,10367.713448,5.074031,0.36,0.488851,0.409571,1.561231,0.38,767.19346,149.856,0.391081,5.0,False,-3.134732
7,interference-heavy,0000280_01201_d_0000618_6,2,0,2,0.975089,6.998235,771.012922,183.878006,False,True,False,20dB,55.112503,31.700375,7.372128,94.750533,39.289705,0.923151,82.467417,-85.156733,8.551011,0.28,False,True,2816.0,8192.0,9596.700526,4.074031,0.36,0.204328,0.418646,1.561231,0.38,615.99346,149.856,0.163462,5.0,False,-3.075808
8,interference-heavy,0000280_01201_d_0000618_6,2,0,2,0.975089,6.004404,619.813138,183.878006,False,True,False,20dB,50.977984,31.658523,7.362403,81.619187,47.317464,0.977476,86.601936,-89.280655,2.361155,0.28,False,True,2816.0,8192.0,8976.887388,3.074031,0.36,0.204597,0.424545,1.561231,0.38,464.79346,149.856,0.163678,5.0,False,-2.816562
9,interference-heavy,0000280_01201_d_0000618_6,2,0,2,0.975089,5.016554,468.61979,183.878006,False,True,False,20dB,53.683794,30.420981,7.074858,70.666255,58.109744,0.995918,83.896126,-85.306743,3.456044,0.28,False,True,2816.0,8192.0,8508.267598,2.074031,0.36,0.212913,0.428379,1.561231,0.38,313.59346,149.856,0.17033,5.0,False,-2.558515
10,interference-heavy,0000280_01201_d_0000618_6,2,0,2,0.975089,4.126097,317.505431,183.878006,False,True,False,20dB,45.277787,20.204366,4.707811,63.037669,72.14058,0.999566,92.302132,-83.489123,-6.106355,0.28,False,True,2816.0,8192.0,8190.762167,1.074031,0.36,0.319964,0.430872,1.561231,0.38,162.39346,149.856,0.255971,5.0,False,-2.319978
11,interference-heavy,0000280_01201_d_0000618_6,2,0,2,0.975089,3.142067,166.316911,183.878006,False,True,False,20dB,47.511458,19.326132,4.505727,60.014796,88.727713,0.999969,90.068462,-80.370294,-4.357313,0.28,False,True,2816.0,8192.0,8024.445256,0.074031,0.36,0.334314,0.432492,1.561231,0.38,11.19346,149.856,0.267451,5.0,False,-2.062696
