step,scenario,task_id,uav_id,edge_id,service_level,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,airspace_conflict,snr_bin,sensed_snr_db,sinr_db,rate_mbps,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,fading_db,cache_hit_probability,semantic_cache_hit,gpu_memory_ok,gpu_memory_used_mb,gpu_memory_capacity_mb,battery_remaining_j,fly_delay_s,sense_delay_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,fly_energy_j,hover_energy_j,tx_energy_j,compute_energy_j,success,reward
0,mobility-stress,0000244_01000_d_0000003_1,1,0,2,0.967972,81.549993,10118.006467,96.307687,False,True,False,10dB,12.683873,12.44852,3.793639,946.552399,3.634298,0.03846,123.224682,-120.0,0.015513,0.28,False,True,2816.0,8192.0,0.0,78.720737,0.36,0.207967,0.036198,1.845091,0.38,9918.81289,194.048,0.145577,5.0,False,-21.549817
1,mobility-stress,0000244_01000_d_0000003_1,1,0,1,0.935943,78.421676,9845.123983,1.141855,False,True,False,15dB,13.349435,13.114081,3.982653,936.648515,3.672778,0.038688,122.559121,-120.0,0.575782,0.28,False,True,2816.0,8192.0,0.0,77.893733,0.16,0.002349,0.152503,0.173091,0.04,9814.610338,29.312,0.001644,1.2,False,-20.624669
2,mobility-stress,0000330_01401_d_0000807_13,1,0,2,0.97153,81.162302,10038.245199,131.640611,False,True,False,15dB,13.832871,13.597517,4.120805,938.967913,3.663693,0.038634,122.075685,-120.0,1.08398,0.28,False,True,2816.0,8192.0,0.0,78.087413,0.36,0.261696,0.228102,1.845091,0.38,9839.014012,194.048,0.183187,5.0,False,-21.51104
3,mobility-stress,0000330_01401_d_0000807_13,1,0,1,0.935943,77.94254,9769.045656,1.141855,False,True,False,15dB,13.826207,13.590854,4.118896,929.417962,3.701391,0.038859,122.082348,-120.0,0.974952,0.28,False,True,2816.0,8192.0,0.0,77.289937,0.16,0.002271,0.277241,0.173091,0.04,9738.532066,29.312,0.00159,1.2,False,-20.49841
4,mobility-stress,0000330_01401_d_0000807_13,1,0,2,0.97153,79.65331,9837.881015,131.640611,False,True,False,15dB,13.826254,13.5909,4.118909,919.925408,3.739639,0.039088,122.082302,-120.0,0.872162,0.28,False,True,2816.0,8192.0,0.0,76.49722,0.36,0.261817,0.309182,1.845091,0.38,9638.649743,194.048,0.183272,5.0,False,-21.129096
5,mobility-stress,0000330_01401_d_0000807_13,1,0,1,0.935943,76.414729,9569.899478,1.141855,False,True,False,15dB,13.74749,13.512136,4.096357,910.492045,3.77844,0.039322,122.161065,-120.0,0.690106,0.28,False,True,2816.0,8192.0,0.0,75.709412,0.16,0.002284,0.329943,0.173091,0.04,9539.385879,29.312,0.001598,1.2,False,-20.113189
6,mobility-stress,0000330_01401_d_0000807_13,1,0,2,0.97153,78.108741,9639.985463,131.640611,False,True,False,15dB,14.294338,14.058985,4.253282,901.119732,3.817797,0.039561,121.614217,-120.0,1.133223,0.28,False,True,2816.0,8192.0,0.0,74.926667,0.36,0.253545,0.343438,1.845091,0.38,9440.759982,194.048,0.177482,5.0,False,-20.741024
7,mobility-stress,0000330_01401_d_0000807_13,1,0,1,0.935943,74.876633,9373.305786,1.141855,False,True,False,15dB,14.373872,14.138519,4.27617,891.810394,3.85771,0.039804,121.534683,-120.0,1.108605,0.28,False,True,2816.0,8192.0,0.0,74.149145,0.16,0.002187,0.35221,0.173091,0.04,9342.792254,29.312,0.001531,1.2,False,-19.726933
8,mobility-stress,0000330_01401_d_0000807_13,1,0,2,0.97153,76.572163,9444.728124,131.640611,False,True,False,15dB,14.376243,14.140889,4.276853,882.566024,3.898179,0.040052,121.532312,-120.0,1.006426,0.28,False,True,2816.0,8192.0,0.0,73.377013,0.36,0.252148,0.357911,1.845091,0.38,9245.50362,194.048,0.176504,5.0,False,-20.355605
9,mobility-stress,0000330_01401_d_0000807_13,1,0,1,0.935943,73.34732,9179.429261,1.141855,False,True,False,15dB,14.495762,14.260409,4.311277,873.388684,3.939204,0.040305,121.412793,-120.0,1.021018,0.28,False,True,2816.0,8192.0,0.0,72.610442,0.16,0.00217,0.361617,0.173091,0.04,9148.915743,29.312,0.001519,1.2,False,-19.343519
10,mobility-stress,0000330_01401_d_0000807_13,1,0,2,0.97153,75.041951,9252.269307,131.640611,False,True,False,15dB,14.920209,14.684855,4.433799,864.280511,3.980784,0.040563,120.988346,-120.0,1.340187,0.28,False,True,2816.0,8192.0,0.0,71.849612,0.36,0.243223,0.364026,1.845091,0.38,9053.051052,194.048,0.170256,5.0,False,-19.972579
11,mobility-stress,0000330_01401_d_0000807_13,1,0,1,0.935943,71.835549,8988.446278,1.141855,False,True,False,15dB,14.549583,14.31423,4.32679,855.243713,4.022915,0.040827,121.358972,-120.0,0.863958,0.28,False,True,2816.0,8192.0,0.0,71.094704,0.16,0.002162,0.365592,0.173091,0.04,8957.932765,29.312,0.001513,1.2,False,-18.964772
