seed,task_id,service_level,risk_level,deadline_s,epsilon_k,sensed_snr_db,sinr_db,snr_bin,rate_mbps,distance_3d_m,path_loss_db,los_probability,payload_kb,tx_delay_s,arrival_delay_s,sense_delay_s,queue_delay_s,infer_delay_s,load_delay_s,utm_delay_s,delay_s,deadline_violation,semantic_accuracy_lcb,semantic_quality_gap,bandwidth_hz,power_w,cpu_share,gpu_share
0,0000330_04001_d_0000820_0,0,normal,5.5,0.65,-5.257681,-9.309632,-5dB,0.005198,201.541327,147.138848,0.122518,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.567568,0.082432,32500.0,0.1,0.05,0.01
0,0000330_04001_d_0000820_0,1,normal,5.5,0.65,-7.810406,-8.497258,-5dB,0.055789,201.541327,147.138848,0.122518,0.727275,0.106792,10.974002,0.16,0.179782,0.816,0.04,0.05,12.326576,1.0,0.432432,0.217568,292500.0,0.5,0.25,0.05
0,0000330_04001_d_0000820_0,2,normal,5.5,0.65,-8.267981,-8.590565,-5dB,0.121504,201.541327,147.138848,0.122518,33.008182,2.225459,10.974002,0.36,0.179782,2.899429,0.38,0.05,17.068672,1.0,0.513514,0.136486,650000.0,1.0,0.55,0.35
0,0000103_03349_d_0000031_1,0,critical,5.5,0.78,-16.701291,-20.753242,-5dB,0.000393,292.124997,158.582458,0.073021,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.902494,0.0,32500.0,0.1,0.05,0.01
0,0000103_03349_d_0000031_1,1,critical,5.5,0.78,-19.711591,-20.034175,-5dB,0.009258,292.124997,158.582458,0.073021,1.029653,0.911079,16.076305,0.16,0.179782,0.272,0.04,0.05,17.689166,1.0,0.201814,0.578186,650000.0,1.0,0.4,0.15
0,0000103_03349_d_0000031_1,2,critical,5.5,0.78,-19.711591,-20.034175,-5dB,0.009258,292.124997,158.582458,0.073021,37.365825,33.062804,16.076305,0.36,0.179782,2.255111,0.38,0.05,52.364002,1.0,0.0,0.78,650000.0,1.0,0.7,0.45
0,0000280_03201_d_0000628_2,0,normal,5.5,0.65,-22.356399,-26.40835,-5dB,0.000107,503.260162,164.237565,0.044319,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.390805,0.259195,32500.0,0.1,0.05,0.01
0,0000280_03201_d_0000628_2,1,normal,5.5,0.65,-24.909124,-25.595976,-5dB,0.001162,503.260162,164.237565,0.044319,0.709613,5.003879,27.870445,0.16,0.179782,0.816,0.04,0.05,34.120106,1.0,0.804598,0.0,292500.0,0.5,0.25,0.05
0,0000280_03201_d_0000628_2,2,normal,5.5,0.65,-25.366699,-25.689282,-5dB,0.002527,503.260162,164.237565,0.044319,33.289961,107.926677,27.870445,0.36,0.179782,2.899429,0.38,0.05,139.666333,1.0,0.804598,0.0,650000.0,1.0,0.55,0.35
0,0000360_06273_d_0000745_3,0,normal,5.5,0.65,-12.717726,-16.769677,-5dB,0.000976,420.813355,154.598893,0.050801,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.671875,0.0,32500.0,0.1,0.05,0.01
0,0000360_06273_d_0000745_3,1,normal,5.5,0.65,-15.270451,-15.957304,-5dB,0.010571,420.813355,154.598893,0.050801,0.70485,0.54622,23.272665,0.16,0.179782,0.816,0.04,0.05,25.064666,1.0,0.78125,0.0,292500.0,0.5,0.25,0.05
0,0000360_06273_d_0000745_3,2,normal,5.5,0.65,-15.728026,-16.05061,-5dB,0.022998,420.813355,154.598893,0.050801,31.0457,11.058617,23.272665,0.36,0.179782,2.899429,0.38,0.05,38.200492,1.0,0.875,0.0,650000.0,1.0,0.55,0.35
0,0000359_00393_d_0000701_4,0,normal,5.5,0.65,-18.308073,-22.360025,-5dB,0.000272,467.943523,160.18924,0.046716,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.758621,0.0,32500.0,0.1,0.05,0.01
