run_index,step,formal_scenario,scenario,benchmark_split,uav_count_profile,task_arrival_profile,edge_load_profile,reward,episode,episode_step,task_id,task_type,question_type,risk_level,view_quality_bin,freshness_bin,uav_id,edge_id,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,battery_violation,resource_violation,airspace_conflict,snr_bin,sensed_snr_db,sinr_db,rate_mbps,service_level,bandwidth_hz,power_w,cpu_share,gpu_share,uav_assignment,semantic_service_name,semantic_evidence_type,semantic_utility,semantic_efficiency,success,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,fading_db,cache_hit_probability,semantic_cache_hit,gpu_memory_ok,gpu_memory_used_mb,gpu_memory_capacity_mb,battery_remaining_j,bandwidth_unit,power_unit,fly_delay_s,sense_delay_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,total_delay_s,fly_energy_j,hover_energy_j,tx_energy_j,compute_energy_j,total_energy_j
0,0,train_nominal,nominal,train,M2,low,light,1.308619,0,0,0000364_01569_d_0000781_0,presence,presence,normal,poor,fresh,1,0,0.670357,0.157254,1.61,0.0,False,False,False,False,False,20dB,26.973272,26.760888,8.892813,0,1000000.0,0.2,0.5,0.5,1,cache_answer,cached semantic answer,1.168623,0.670357,True,198.154794,17.62547,0.272826,103.037028,-120.0,2.344484,0.96,True,True,2816.0,8192.0,19998.39,Hz,W,0.0,0.0,0.0,0.097254,0.02,0.04,0.157254,0.0,1.56,0.0,0.05,1.61
0,1,train_nominal,nominal,train,M2,low,light,-4.933619,0,1,0000289_01401_d_0000818_6,presence,presence,normal,poor,stale,1,0,0.63992,11.34558,1657.555222,0.740487,True,True,False,False,False,20dB,24.610642,24.398258,8.110157,1,1000000.0,0.3,0.5,0.5,1,semantic_tokens,detector tags/boxes/tokens,-0.008019,0.63992,False,203.00096,17.191427,0.259268,107.16057,-120.0,-1.393812,0.68,False,True,2816.0,8192.0,18340.834778,Hz,W,10.773967,0.16,0.000748,0.180465,0.1904,0.04,11.34558,1629.023797,27.3312,0.000224,1.2,1657.555222
0,2,train_nominal,nominal,train,M2,low,light,-4.613503,0,2,0000289_01401_d_0000818_6,presence,presence,normal,poor,expired,1,0,0.70756,12.944573,1669.279179,178.438441,False,True,False,False,False,20dB,26.638411,26.426027,8.781818,2,1000000.0,0.4,0.5,0.5,1,raw_image_evidence,full image evidence for VQA/VLM,-0.201508,0.003965,False,185.881304,18.831533,0.312736,106.382189,-120.0,-2.064482,0.28,False,True,2816.0,8192.0,16671.555599,Hz,W,9.773967,0.36,0.166454,0.234552,2.0296,0.38,12.944573,1477.823797,186.3888,0.066582,5.0,1669.279179
0,3,train_nominal,nominal,train,M2,low,light,-1.066586,0,3,0000289_01401_d_0000818_6,presence,presence,normal,poor,expired,1,0,0.330064,0.329709,1.61,0.0,True,False,False,False,False,20dB,25.314483,25.102099,8.343186,0,1000000.0,0.2,0.5,0.5,1,cache_answer,cached semantic answer,0.00667,0.330064,False,168.94475,20.802374,0.384137,104.695817,-120.0,-2.09707,0.28,False,True,2816.0,8192.0,16669.945599,Hz,W,0.0,0.0,0.0,0.269709,0.02,0.04,0.329709,0.0,1.56,0.0,0.05,1.61
1,0,train_nominal,nominal,train,M4,medium,medium,3.37213,0,0,0000330_01201_d_0000806_6,counting,counting,critical,poor,stale,2,0,0.859174,0.319609,1.61,0.0,False,False,False,False,False,20dB,22.452329,22.239945,7.396538,0,1000000.0,0.2,0.5,0.5,2,cache_answer,cached semantic answer,2.714991,1.718349,True,190.391185,18.369304,0.297065,107.557971,-120.0,-2.833628,0.68,True,True,2816.0,8192.0,19998.39,Hz,W,0.0,0.0,0.0,0.259609,0.02,0.04,0.319609,0.0,1.56,0.0,0.05,1.61
1,1,train_nominal,nominal,train,M4,medium,medium,-4.65753,0,1,0000356_02941_d_0000644_12,counting,counting,critical,poor,fresh,3,0,0.401361,10.307012,1484.527597,1.158229,True,True,False,False,False,20dB,28.403544,28.19116,9.367087,1,1000000.0,0.3,0.5,0.5,3,semantic_tokens,detector tags/boxes/tokens,-0.437677,0.69306,False,183.42378,19.09354,0.321816,103.367669,-120.0,0.720105,0.96,False,True,2816.0,8192.0,18515.472403,Hz,W,9.629604,0.16,0.001013,0.285996,0.1904,0.04,10.307012,1455.996093,27.3312,0.000304,1.2,1484.527597
1,2,train_nominal,nominal,train,M4,medium,medium,-5.336535,0,2,0000356_02941_d_0000644_12,counting,counting,critical,poor,stale,3,0,0.0,11.848035,1496.243167,184.215198,True,True,False,False,False,20dB,31.39168,31.179296,10.358637,2,1000000.0,0.4,0.5,0.5,3,raw_image_evidence,full image evidence for VQA/VLM,-1.27232,0.0,False,166.518167,21.119914,0.396225,101.62892,-120.0,0.695488,0.68,False,True,2816.0,8192.0,17019.229236,Hz,W,8.629604,0.36,0.145684,0.303147,2.0296,0.38,11.848035,1304.796093,186.3888,0.058274,5.0,1496.243167
1,3,train_nominal,nominal,train,M4,medium,medium,3.361193,0,3,0000356_02941_d_0000644_12,counting,counting,critical,poor,stale,3,0,0.859174,0.374296,1.61,0.0,False,False,False,False,False,20dB,30.383187,30.170803,10.02391,0,1000000.0,0.2,0.5,0.5,3,cache_answer,cached semantic answer,2.714445,1.718349,True,149.867664,23.600261,0.49391,99.627113,-120.0,0.593309,0.68,True,True,2816.0,8192.0,17017.619236,Hz,W,0.0,0.0,0.0,0.314296,0.02,0.04,0.374296,0.0,1.56,0.0,0.05,1.61
2,0,train_nominal,nominal,train,M8,high,heavy,-1.085379,0,0,0000115_00315_d_0000080_16,presence,presence,critical,poor,stale,5,0,0.504797,0.423674,1.61,0.0,True,False,False,False,False,20dB,41.197201,40.984817,13.614977,0,1000000.0,0.2,0.5,0.5,5,cache_answer,cached semantic answer,0.689993,1.009594,False,67.732421,62.35491,0.997926,88.813099,-120.0,-1.897365,0.68,True,True,2816.0,8192.0,19998.39,Hz,W,0.0,0.0,0.0,0.363674,0.02,0.04,0.423674,0.0,1.56,0.0,0.05,1.61
2,1,train_nominal,nominal,train,M8,high,heavy,3.126349,0,1,0000115_00315_d_0000080_16,presence,presence,critical,poor,expired,5,0,0.935943,2.490654,292.521476,1.141775,False,False,False,False,False,20dB,43.528199,43.315815,14.389269,1,1000000.0,0.3,0.5,0.5,5,semantic_tokens,detector tags/boxes/tokens,2.816586,1.639452,True,67.732421,62.35491,0.997926,88.243014,-120.0,-1.327281,0.28,False,True,2816.0,8192.0,19705.868524,Hz,W,1.745966,0.16,0.00065,0.353638,0.1904,0.04,2.490654,263.990081,27.3312,0.000195,1.2,292.521476
2,2,train_nominal,nominal,train,M8,high,heavy,-4.520503,0,2,0000312_01201_d_0000420_24,counting,counting,critical,poor,expired,5,0,0.0,8.721366,1019.498526,184.215198,True,True,False,False,False,20dB,35.681315,35.468931,11.782933,2,1000000.0,0.4,0.5,0.5,5,raw_image_evidence,full image evidence for VQA/VLM,-1.193379,0.0,False,115.402337,31.326895,0.770635,97.339285,-120.0,-2.716439,0.28,False,True,2816.0,8192.0,18686.369998,Hz,W,5.476577,0.36,0.128074,0.347115,2.0296,0.38,8.721366,828.058496,186.3888,0.05123,5.0,1019.498526
2,3,train_nominal,nominal,train,M8,high,heavy,-1.081219,0,3,0000312_01201_d_0000420_24,counting,counting,critical,poor,expired,5,0,0.768617,0.402875,1.61,0.0,True,False,False,False,False,20dB,34.740077,34.527693,11.47036,0,1000000.0,0.2,0.5,0.5,5,cache_answer,cached semantic answer,1.481661,1.537234,False,100.463313,36.671978,0.887665,95.270223,-120.0,-3.289373,0.28,False,True,2816.0,8192.0,18684.759998,Hz,W,0.0,0.0,0.0,0.342875,0.02,0.04,0.402875,0.0,1.56,0.0,0.05,1.61
3,0,train_mixed_random,cache-heavy,train,M2,low,light,-1.025246,0,0,0000335_03137_d_0000059_0,counting,counting,critical,good,fresh,1,0,0.5,0.123011,1.61,0.0,True,False,False,False,False,20dB,37.562901,36.89196,3.676662,0,300000.0,0.1,0.25,0.05,1,cache_answer,cached semantic answer,0.678609,1.0,False,115.353776,31.341577,0.77105,94.665887,-120.0,-0.051718,1.0,True,True,2816.0,8192.0,19998.39,Hz,W,0.0,0.0,0.0,0.063011,0.02,0.04,0.123011,0.0,1.56,0.0,0.05,1.61
3,1,train_mixed_random,cache-heavy,train,M2,low,light,-3.679509,0,1,0000335_03137_d_0000059_0,counting,counting,critical,good,fresh,1,0,0.75,6.576161,904.909184,1.156738,True,True,False,False,False,20dB,37.807199,37.136258,3.701003,1,300000.0,0.1,0.25,0.05,1,semantic_tokens,detector tags/boxes/tokens,0.456881,1.29675,False,115.353776,31.341577,0.77105,94.421589,-120.0,0.19258,1.0,False,True,2816.0,8192.0,19093.480816,Hz,W,5.473419,0.16,0.00256,0.084182,0.816,0.04,6.576161,827.580928,76.128,0.000256,1.2,904.909184
3,2,train_mixed_random,cache-heavy,train,M2,low,light,-1.032233,0,2,0000335_03137_d_0000059_0,counting,counting,critical,good,stale,1,0,0.246625,0.157943,1.61,0.0,True,False,False,False,False,20dB,40.576697,39.905756,3.976966,0,300000.0,0.1,0.25,0.05,1,cache_answer,cached semantic answer,-0.081865,0.49325,False,100.417719,36.691351,0.887974,91.652091,-120.0,0.320928,0.91,True,True,2816.0,8192.0,19091.870816,Hz,W,0.0,0.0,0.0,0.097943,0.02,0.04,0.157943,0.0,1.56,0.0,0.05,1.61
3,3,train_mixed_random,cache-heavy,train,M2,low,light,-3.423541,0,3,0000335_03137_d_0000059_0,counting,counting,critical,good,stale,1,0,0.75,5.598718,753.709169,1.156738,True,True,False,False,False,20dB,40.102438,39.431497,3.929707,1,300000.0,0.1,0.25,0.05,1,semantic_tokens,detector tags/boxes/tokens,0.601241,1.29675,False,100.417719,36.691351,0.887974,92.12635,-120.0,-0.153331,0.91,False,True,2816.0,8192.0,18338.161647,Hz,W,4.473419,0.16,0.002411,0.106888,0.816,0.04,5.598718,676.380928,76.128,0.000241,1.2,753.709169
4,0,train_mixed_random,interference-heavy,train,M4,medium,medium,-5.879894,0,0,0000289_05201_d_0000837_0,counting,counting,critical,poor,stale,3,0,0.0,15.176644,1924.584164,37.365825,True,True,False,False,False,-5dB,32.438635,-4.24075,0.322805,2,700000.0,0.8,0.65,0.65,3,raw_image_evidence,full image evidence for VQA/VLM,-1.201591,0.0,False,218.972208,15.902869,0.221673,105.141284,-71.870568,1.779069,0.68,False,True,2816.0,8192.0,18075.415836,Hz,W,11.699534,0.36,0.948253,0.227626,1.561231,0.38,15.176644,1768.969562,149.856,0.758602,5.0,1924.584164
4,1,train_mixed_random,interference-heavy,train,M4,medium,medium,-5.636418,0,1,0000289_05201_d_0000837_0,counting,counting,critical,poor,stale,3,0,0.0,14.261642,1773.393958,37.365825,True,True,False,False,False,-5dB,27.884735,-4.305773,0.318691,2,700000.0,0.8,0.65,0.65,3,raw_image_evidence,full image evidence for VQA/VLM,-1.177322,0.0,False,201.721417,17.303903,0.262739,109.695184,-76.361135,-4.028395,0.68,False,True,2816.0,8192.0,16302.021878,Hz,W,10.699534,0.36,0.960495,0.300382,1.561231,0.38,14.261642,1617.769562,149.856,0.768396,5.0,1773.393958
