scenario,seed,step,task_id,semantic_path,mobility_mode,utm_feasible,arrival_delay_s,tx_delay_s,total_delay_s,deadline_slack_s,semantic_feasible,deadline_feasible,energy_feasible,resource_feasible,joint_feasible,semantic_accuracy_lcb,utm_conflict_risk
normal_patrol,0,0,0000289_04601_d_0000834_6,cache,stay,1,0.0,0.0,0.266878,4.733122,0,1,1,1,0,0.0,0.0
normal_patrol,0,0,0000289_04601_d_0000834_6,cache,serve_task,1,7.255139,0.0,7.522017,-2.522017,0,0,1,1,0,0.0,0.0
normal_patrol,0,0,0000289_04601_d_0000834_6,cache,avoid_conflict,1,1.037863,0.0,1.304742,3.695258,0,1,1,1,0,0.0,0.0
normal_patrol,0,0,0000289_04601_d_0000834_6,cache,reposition,1,1.0,0.0,1.266878,3.733122,0,1,1,1,0,0.0,0.0
normal_patrol,0,0,0000289_04601_d_0000834_6,token,stay,1,0.0,0.000808,0.719686,4.280314,1,1,1,1,1,0.771898,0.333333
normal_patrol,0,0,0000289_04601_d_0000834_6,token,serve_task,1,7.255139,0.000808,7.974825,-2.974825,1,0,1,1,0,0.771898,0.333333
normal_patrol,0,0,0000289_04601_d_0000834_6,token,avoid_conflict,1,1.037863,0.000808,1.75755,3.24245,1,1,1,1,1,0.771898,0.0
normal_patrol,0,0,0000289_04601_d_0000834_6,token,reposition,1,1.0,0.000808,1.719686,3.2803139999999997,1,1,1,1,1,0.771898,0.333333
normal_patrol,0,0,0000289_04601_d_0000834_6,image,stay,1,0.0,0.140616,3.382605,1.6173950000000001,1,1,1,1,1,0.771898,0.333333
normal_patrol,0,0,0000289_04601_d_0000834_6,image,serve_task,1,7.255139,0.140616,10.637744,-5.637744,1,0,1,1,0,0.771898,0.333333
normal_patrol,0,0,0000289_04601_d_0000834_6,image,avoid_conflict,1,1.037863,0.140616,4.420469,0.5795310000000002,1,1,1,1,1,0.771898,0.0
normal_patrol,0,0,0000289_04601_d_0000834_6,image,reposition,1,1.0,0.140616,4.382605,0.6173950000000001,1,1,1,1,1,0.771898,0.333333
normal_patrol,0,0,0000289_04601_d_0000834_6,cache_update,stay,1,0.0,0.000808,0.719686,4.280314,1,1,1,1,1,0.771898,0.333333
normal_patrol,0,0,0000289_04601_d_0000834_6,cache_update,serve_task,1,7.255139,0.000808,7.974825,-2.974825,1,0,1,1,0,0.771898,0.333333
normal_patrol,0,0,0000289_04601_d_0000834_6,cache_update,avoid_conflict,1,1.037863,0.000808,1.75755,3.24245,1,1,1,1,1,0.771898,0.0
normal_patrol,0,0,0000289_04601_d_0000834_6,cache_update,reposition,1,1.0,0.000808,1.719686,3.2803139999999997,1,1,1,1,1,0.771898,0.333333
normal_patrol,0,1,0000289_04601_d_0000834_6,cache,stay,1,0.0,0.0,0.203116,3.796884,0,1,1,1,0,0.0,0.0
normal_patrol,0,1,0000289_04601_d_0000834_6,cache,serve_task,1,7.255139,0.0,7.458255,-3.4582550000000003,0,0,1,1,0,0.0,0.0
normal_patrol,0,1,0000289_04601_d_0000834_6,cache,avoid_conflict,1,1.037863,0.0,1.240979,2.7590209999999997,0,1,1,1,0,0.0,0.0
normal_patrol,0,1,0000289_04601_d_0000834_6,cache,reposition,1,1.0,0.0,1.203116,2.796884,0,1,1,1,0,0.0,0.0
normal_patrol,0,1,0000289_04601_d_0000834_6,token,stay,1,0.0,0.000807,0.655923,3.344077,1,1,1,1,1,0.771898,0.142857
normal_patrol,0,1,0000289_04601_d_0000834_6,token,serve_task,1,7.255139,0.000807,7.911062,-3.9110620000000003,1,0,1,1,0,0.771898,0.142857
normal_patrol,0,1,0000289_04601_d_0000834_6,token,avoid_conflict,1,1.037863,0.000807,1.693786,2.3062139999999998,1,1,1,1,1,0.771898,0.0
normal_patrol,0,1,0000289_04601_d_0000834_6,token,reposition,1,1.0,0.000807,1.655923,2.344077,1,1,1,1,1,0.771898,0.142857
normal_patrol,0,1,0000289_04601_d_0000834_6,image,stay,1,0.0,0.14042,3.318647,0.6813530000000001,1,1,1,1,1,0.771898,0.142857
normal_patrol,0,1,0000289_04601_d_0000834_6,image,serve_task,1,7.255139,0.14042,10.573786,-6.573786,1,0,1,1,0,0.771898,0.142857
normal_patrol,0,1,0000289_04601_d_0000834_6,image,avoid_conflict,1,1.037863,0.14042,4.35651,-0.3565100000000001,1,0,1,1,0,0.771898,0.0
normal_patrol,0,1,0000289_04601_d_0000834_6,image,reposition,1,1.0,0.14042,4.318647,-0.31864700000000035,1,0,1,1,0,0.771898,0.142857
normal_patrol,0,1,0000289_04601_d_0000834_6,cache_update,stay,1,0.0,0.000807,0.655923,3.344077,1,1,1,1,1,0.771898,0.142857
normal_patrol,0,1,0000289_04601_d_0000834_6,cache_update,serve_task,1,7.255139,0.000807,7.911062,-3.9110620000000003,1,0,1,1,0,0.771898,0.142857
normal_patrol,0,1,0000289_04601_d_0000834_6,cache_update,avoid_conflict,1,1.037863,0.000807,1.693786,2.3062139999999998,1,1,1,1,1,0.771898,0.0
normal_patrol,0,1,0000289_04601_d_0000834_6,cache_update,reposition,1,1.0,0.000807,1.655923,2.344077,1,1,1,1,1,0.771898,0.142857
normal_patrol,0,2,0000289_04601_d_0000834_6,cache,stay,1,0.0,0.0,0.16167,2.83833,0,1,1,1,0,0.0,0.0
normal_patrol,0,2,0000289_04601_d_0000834_6,cache,serve_task,1,7.255139,0.0,7.416809,-4.416809,0,0,1,1,0,0.0,0.0
normal_patrol,0,2,0000289_04601_d_0000834_6,cache,avoid_conflict,1,1.037863,0.0,1.199534,1.800466,0,1,1,1,0,0.0,0.0
normal_patrol,0,2,0000289_04601_d_0000834_6,cache,reposition,1,1.0,0.0,1.16167,1.83833,0,1,1,1,0,0.0,0.0
normal_patrol,0,2,0000289_04601_d_0000834_6,token,stay,1,0.0,0.00081,0.61448,2.38552,1,1,1,1,1,0.771898,0.3
normal_patrol,0,2,0000289_04601_d_0000834_6,token,serve_task,1,7.255139,0.00081,7.869619,-4.869619,1,0,1,1,0,0.771898,0.3
normal_patrol,0,2,0000289_04601_d_0000834_6,token,avoid_conflict,1,1.037863,0.00081,1.652344,1.347656,1,1,1,1,1,0.771898,0.0
normal_patrol,0,2,0000289_04601_d_0000834_6,token,reposition,1,1.0,0.00081,1.61448,1.38552,1,1,1,1,1,0.771898,0.3
normal_patrol,0,2,0000289_04601_d_0000834_6,image,stay,1,0.0,0.140937,3.277718,-0.27771800000000013,1,0,1,1,0,0.771898,0.3
normal_patrol,0,2,0000289_04601_d_0000834_6,image,serve_task,1,7.255139,0.140937,10.532857,-7.532857,1,0,1,1,0,0.771898,0.3
normal_patrol,0,2,0000289_04601_d_0000834_6,image,avoid_conflict,1,1.037863,0.140937,4.315581,-1.315581,1,0,1,1,0,0.771898,0.0
normal_patrol,0,2,0000289_04601_d_0000834_6,image,reposition,1,1.0,0.140937,4.277718,-1.2777180000000001,1,0,1,1,0,0.771898,0.3
normal_patrol,0,2,0000289_04601_d_0000834_6,cache_update,stay,1,0.0,0.00081,0.61448,2.38552,1,1,1,1,1,0.771898,0.3
normal_patrol,0,2,0000289_04601_d_0000834_6,cache_update,serve_task,1,7.255139,0.00081,7.869619,-4.869619,1,0,1,1,0,0.771898,0.3
normal_patrol,0,2,0000289_04601_d_0000834_6,cache_update,avoid_conflict,1,1.037863,0.00081,1.652344,1.347656,1,1,1,1,1,0.771898,0.0
normal_patrol,0,2,0000289_04601_d_0000834_6,cache_update,reposition,1,1.0,0.00081,1.61448,1.38552,1,1,1,1,1,0.771898,0.3
normal_patrol,0,3,0000289_04601_d_0000834_6,cache,stay,1,0.0,0.0,0.134731,1.865269,0,1,1,1,0,0.0,0.0
normal_patrol,0,3,0000289_04601_d_0000834_6,cache,serve_task,1,7.255139,0.0,7.38987,-5.38987,0,0,1,1,0,0.0,0.0
normal_patrol,0,3,0000289_04601_d_0000834_6,cache,avoid_conflict,1,1.037863,0.0,1.172594,0.8274060000000001,0,1,1,1,0,0.0,0.0
normal_patrol,0,3,0000289_04601_d_0000834_6,cache,reposition,1,1.0,0.0,1.134731,0.8652690000000001,0,1,1,1,0,0.0,0.0
normal_patrol,0,3,0000289_04601_d_0000834_6,token,stay,1,0.0,0.000803,0.587534,1.412466,1,1,1,1,1,0.771898,0.230769
normal_patrol,0,3,0000289_04601_d_0000834_6,token,serve_task,1,7.255139,0.000803,7.842673,-5.842673,1,0,1,1,0,0.771898,0.230769
normal_patrol,0,3,0000289_04601_d_0000834_6,token,avoid_conflict,1,1.037863,0.000803,1.625397,0.374603,1,1,1,1,1,0.771898,0.0
normal_patrol,0,3,0000289_04601_d_0000834_6,token,reposition,1,1.0,0.000803,1.587534,0.412466,1,1,1,1,1,0.771898,0.230769
normal_patrol,0,3,0000289_04601_d_0000834_6,image,stay,1,0.0,0.139742,3.249584,-1.249584,1,0,1,1,0,0.771898,0.230769
normal_patrol,0,3,0000289_04601_d_0000834_6,image,serve_task,1,7.255139,0.139742,10.504723,-8.504723,1,0,1,1,0,0.771898,0.230769
normal_patrol,0,3,0000289_04601_d_0000834_6,image,avoid_conflict,1,1.037863,0.139742,4.287447,-2.2874470000000002,1,0,1,1,0,0.771898,0.0
