scenario,seed,step,task_id,semantic_path,feasible,deadline_feasible,semantic_feasible,energy_feasible,utm_feasible,joint_feasible,resource_feasible,accuracy_lcb,accuracy_mean,quality_gap,payload_kb,delay_s,energy_j,deadline_slack_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,arrival_delay_s,bottleneck_type,required_deadline_reduction_s,required_rate_mbps,required_bandwidth_hz,edge_queue_pressure,model_cache_hit,cache_eligible,utm_constraint_violation,utm_conflict_violation,service_level
normal_patrol,0,0,0000289_04601_d_0000834_6,cache,0,1,0,1,1,0,1,0.0,0.0,0.76,0.0,0.266878,79.61,4.733122,0.0,0.206878,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.2966345,1,0,0,0,0
normal_patrol,0,0,0000289_04601_d_0000834_6,token,0,0,1,1,1,0,1,0.771898,1.0,0.0,1.188101,7.974825,1131.873824,-2.974825,0.000808,0.206878,0.272,0.04,7.255139,mobility,2.974825,9504808.0,789047975501.0806,0.2966345,1,0,0,0,1
normal_patrol,0,0,0000289_04601_d_0000834_6,image,0,0,1,1,1,0,1,0.771898,1.0,0.0,206.76863,10.637744,1306.096299,-5.637744,0.140616,0.206878,2.255111,0.38,7.255139,mobility,5.637744,1654149040.0,137320285816300.11,0.2966345,0,0,0,0,2
normal_patrol,0,0,0000289_04601_d_0000834_6,defer,0,0,1,1,1,0,1,0.0,0.0,0.76,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.2966345,1,0,0,0,0
normal_patrol,0,0,0000289_04601_d_0000834_6,cache_update,0,0,1,1,1,0,1,0.771898,1.0,0.0,1.188101,7.974825,1131.873824,-2.974825,0.000808,0.206878,0.272,0.04,7.255139,mobility,2.974825,9504808.0,789047975501.0806,0.2966345,1,0,0,0,1
normal_patrol,0,1,0000289_04601_d_0000834_6,cache,0,1,0,1,1,0,1,0.0,0.0,0.76,0.0,0.203116,79.61,3.796884,0.0,0.143116,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.20331242500000002,1,0,0,0,0
normal_patrol,0,1,0000289_04601_d_0000834_6,token,0,0,1,1,1,0,1,0.771898,1.0,0.0,1.188101,7.911062,1131.873823,-3.9110620000000003,0.000807,0.143116,0.272,0.04,7.255139,mobility,3.9110620000000003,9504808.0,787946047195.6471,0.20331242500000002,1,0,0,0,1
normal_patrol,0,1,0000289_04601_d_0000834_6,image,0,0,1,1,1,0,1,0.771898,1.0,0.0,206.76863,10.573786,1306.096102,-6.573786,0.14042,0.143116,2.255111,0.38,7.255139,mobility,6.573786,1654149040.0,137128514067877.47,0.20331242500000002,0,0,0,0,2
normal_patrol,0,1,0000289_04601_d_0000834_6,defer,0,0,1,1,1,0,1,0.0,0.0,0.76,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.20331242500000002,1,0,0,0,0
normal_patrol,0,1,0000289_04601_d_0000834_6,cache_update,0,0,1,1,1,0,1,0.771898,1.0,0.0,1.188101,7.911062,1131.873823,-3.9110620000000003,0.000807,0.143116,0.272,0.04,7.255139,mobility,3.9110620000000003,9504808.0,787946047195.6471,0.20331242500000002,1,0,0,0,1
