scenario,semantic_path,samples,joint_feasible_ratio,semantic_feasible_ratio,deadline_feasible_ratio,utm_feasible_ratio,avg_tx_delay_s,avg_queue_delay_s,avg_infer_delay_s,avg_load_delay_s,avg_arrival_delay_s,avg_required_rate_mbps,avg_required_bandwidth_hz,avg_required_deadline_reduction_s,avg_edge_queue_pressure,model_cache_hit_ratio,bottleneck_distribution
disaster_hotspot,cache,9,0.0,0.0,1.0,1.0,0.0,0.22579466666666667,0.02,0.04,0.0,0.0,50000.0,0.0,0.3336359877777778,1.0,semantic_quality:1.000
disaster_hotspot,cache_update,9,0.0,0.1111111111111111,0.0,1.0,0.0006252222222222222,0.22579466666666667,0.272,0.04,3.458098111111111,9411325.333333332,610663948457.1086,3.1098514444444447,0.3336359877777778,1.0,mobility:0.111;semantic_quality:0.889
disaster_hotspot,defer,9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.3336359877777778,1.0,tx_delay:1.000
disaster_hotspot,image,9,0.0,0.1111111111111111,0.0,1.0,0.10310144444444444,0.22579466666666667,2.255111,0.38,3.458098111111111,1551905745.7777777,100685105932740.3,5.735439,0.3336359877777778,0.0,mobility:0.111;semantic_quality:0.889
disaster_hotspot,token,9,0.0,0.1111111111111111,0.0,1.0,0.0006252222222222222,0.22579466666666667,0.272,0.04,3.458098111111111,9411325.333333332,610663948457.1086,3.1098514444444447,0.3336359877777778,1.0,mobility:0.111;semantic_quality:0.889
edge_overload,cache,36,0.0,0.0,1.0,1.0,0.0,0.28387644444444443,0.02,0.08,0.0,0.0,50000.0,0.0,0.2525249409154567,1.0,semantic_quality:1.000
edge_overload,cache_update,36,0.0,0.05555555555555555,0.2777777777777778,1.0,0.0007103888888888889,0.28387644444444443,0.3022222222222222,0.08,3.9599527777777777,6510486.223419389,498970846926.5539,2.2014117222222223,0.2525249409154567,1.0,mobility:0.056;semantic_quality:0.944
edge_overload,defer,36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.2525249409154567,1.0,tx_delay:1.000
edge_overload,image,36,0.0,0.027777777777777776,0.0,1.0,0.0966195,0.28387644444444443,2.2909064444444445,0.55,3.9599527777777777,1291752443.7777777,94354960216641.23,4.355244083333333,0.2525249409154567,0.0,resource:0.028;semantic_quality:0.972
edge_overload,token,36,0.0,0.05555555555555555,0.2777777777777778,1.0,0.0007103888888888889,0.28387644444444443,0.3022222222222222,0.08,3.9599527777777777,6510486.223419389,498970846926.5539,2.2014117222222223,0.2525249409154567,1.0,mobility:0.056;semantic_quality:0.944
low_snr_blockage,cache,27,0.1111111111111111,0.1111111111111111,1.0,1.0,0.0,0.06594166666666666,0.02,0.04,0.0,0.0,32500.0,0.0,0.09228857734635933,1.0,none:0.111;semantic_quality:0.889
low_snr_blockage,cache_update,27,0.0,0.4444444444444444,0.0,1.0,2.8955336296296297,0.06594166666666666,0.29214814814814816,0.04,21.541645592592594,8133515.555555555,1821894270798209.0,23.21193585185185,0.09228857734635933,1.0,mobility:0.444;semantic_quality:0.556
low_snr_blockage,defer,27,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,650000.0,0.0,0.09228857734635933,1.0,tx_delay:1.000
low_snr_blockage,image,27,0.0,0.4444444444444444,0.0,1.0,104.73656818518518,0.06594166666666666,2.2789746296296296,0.38,21.541645592592594,297449762.9629629,6.6486974634468504e+16,127.57979692592592,0.09228857734635933,0.0,mobility:0.074;semantic_quality:0.556;tx_delay:0.370
low_snr_blockage,token,27,0.0,0.4444444444444444,0.0,1.0,2.8955336296296297,0.06594166666666666,0.29214814814814816,0.04,21.541645592592594,8133515.555555555,1821894270798209.0,23.21193585185185,0.09228857734635933,1.0,mobility:0.444;semantic_quality:0.556
low_snr_soft,cache,36,0.16666666666666666,0.16666666666666666,1.0,1.0,0.0,0.09373061111111111,0.02,0.04,0.0,0.0,50000.0,0.0,0.12638742939749936,1.0,none:0.167;semantic_quality:0.833
low_snr_soft,cache_update,36,0.08333333333333333,0.4166666666666667,0.3055555555555556,1.0,0.008793972222222222,0.09373061111111111,0.272,0.04,6.9236555,5769213.496860174,7216690978350.761,3.028509611111111,0.12638742939749936,1.0,mobility:0.333;none:0.083;semantic_quality:0.583
low_snr_soft,defer,36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.12638742939749936,1.0,tx_delay:1.000
low_snr_soft,image,36,0.0,0.4166666666666667,0.0,1.0,0.47341066666666665,0.09373061111111111,2.255111,0.38,6.9236555,636901591.7777778,462315063466709.44,5.702574611111111,0.12638742939749936,0.0,mobility:0.417;semantic_quality:0.583
low_snr_soft,token,36,0.08333333333333333,0.4166666666666667,0.3055555555555556,1.0,0.008793972222222222,0.09373061111111111,0.272,0.04,6.9236555,5769213.496860174,7216690978350.761,3.028509611111111,0.12638742939749936,1.0,mobility:0.333;none:0.083;semantic_quality:0.583
normal_patrol,cache,30,0.0,0.0,1.0,1.0,0.0,0.11167283333333333,0.02,0.04,0.0,0.0,50000.0,0.0,0.1532677710760106,1.0,semantic_quality:1.000
normal_patrol,cache_update,30,0.0,0.43333333333333335,0.23333333333333334,1.0,0.0007888666666666667,0.11167283333333333,0.39893333333333336,0.04,5.4595427,6498462.958862873,488330367691.2455,4.1611229,0.1532677710760106,1.0,mobility:0.433;semantic_quality:0.567
normal_patrol,defer,30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.1532677710760106,1.0,tx_delay:1.000
normal_patrol,image,30,0.0,0.36666666666666664,0.0,1.0,0.1114521,0.11167283333333333,2.4054518666666667,0.38,5.4595427,1516291690.1333332,108839941299986.27,6.734786066666667,0.1532677710760106,0.0,mobility:0.367;semantic_quality:0.633
normal_patrol,token,30,0.0,0.43333333333333335,0.23333333333333334,1.0,0.0007888666666666667,0.11167283333333333,0.39893333333333336,0.04,5.4595427,6498462.958862873,488330367691.2455,4.1611229,0.1532677710760106,1.0,mobility:0.433;semantic_quality:0.567
utm_conflict,cache,15,0.0,0.0,1.0,1.0,0.0,0.0917094,0.02,0.04,0.0,0.0,50000.0,0.0,0.13120650613604168,1.0,semantic_quality:1.000
utm_conflict,cache_update,15,0.0,0.0,0.0,0.7333333333333333,0.0009770666666666667,0.0917094,0.272,0.04,9.909848733333334,9505928.0,954149936708.9767,9.511201733333333,0.13120650613604168,1.0,semantic_quality:1.000
utm_conflict,defer,15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.13120650613604168,1.0,tx_delay:1.000
utm_conflict,image,15,0.0,0.0,0.0,0.7333333333333333,0.1639996,0.0917094,2.255111,0.38,9.909848733333334,1595627524.2666667,160155904897169.75,12.197335266666666,0.13120650613604168,0.0,semantic_quality:1.000
utm_conflict,token,15,0.0,0.0,0.0,0.7333333333333333,0.0009770666666666667,0.0917094,0.272,0.04,9.909848733333334,9505928.0,954149936708.9767,9.511201733333333,0.13120650613604168,1.0,semantic_quality:1.000
