scenario,env_scenario,seed,step,task_id,selected_path,selected_joint_feasible,success,deadline_violation,utm_violation,quality_violation,delay_s,remaining_deadline_s,semantic_accuracy_lcb,epsilon_k
normal_patrol,nominal_patrol,0,0,0000289_04601_d_0000834_6,token,False,False,True,False,False,7.974825,5.0,0.771898,0.76
normal_patrol,nominal_patrol,0,1,0000289_04601_d_0000834_6,token,False,False,True,False,False,6.976918,4.0,0.771898,0.76
normal_patrol,nominal_patrol,0,2,0000289_04601_d_0000834_6,token,False,False,True,False,False,5.978268,3.0,0.771898,0.76
normal_patrol,nominal_patrol,0,3,0000289_04601_d_0000834_6,token,False,False,True,False,False,4.979129,2.0,0.771898,0.76
normal_patrol,nominal_patrol,0,4,0000289_04601_d_0000834_6,token,False,False,True,False,False,3.979696,1.0,0.771898,0.76
normal_patrol,nominal_patrol,0,5,0000280_03201_d_0000628_2,token,True,True,False,False,False,1.157358,2.0,0.771898,0.76
normal_patrol,nominal_patrol,0,6,0000194_00625_d_0000122_14,cache,True,True,False,False,False,0.272538,1.0,0.771898,0.76
normal_patrol,nominal_patrol,0,7,0000360_03137_d_0000729_10,cache,False,False,False,False,True,0.206795,2.0,0.0,0.76
normal_patrol,nominal_patrol,0,8,0000360_03137_d_0000729_10,cache,False,False,False,False,True,0.164062,1.0,0.0,0.76
normal_patrol,nominal_patrol,0,9,0000244_00001_d_0000001_11,token,False,False,True,False,False,12.920051,1.0,0.743786,0.65
normal_patrol,nominal_patrol,1,0,0000316_00801_d_0000523_6,token,False,False,False,False,True,4.956807,5.0,0.355225,0.76
normal_patrol,nominal_patrol,1,1,0000316_00801_d_0000523_6,token,False,False,False,False,True,3.97795,4.0,0.355225,0.76
normal_patrol,nominal_patrol,1,2,0000216_00520_d_0000001_2,token,False,False,False,False,True,2.17916,3.0,0.771898,0.82
normal_patrol,nominal_patrol,1,3,0000216_00520_d_0000001_2,token,False,False,False,False,True,1.188093,2.0,0.771898,0.82
normal_patrol,nominal_patrol,1,4,0000216_00520_d_0000001_2,token,False,False,False,False,True,0.714762,1.0,0.771898,0.82
normal_patrol,nominal_patrol,1,5,0000069_00483_d_0000002_10,token,False,False,False,False,True,1.737609,2.0,0.771898,0.82
normal_patrol,nominal_patrol,1,6,0000069_00483_d_0000002_10,token,False,False,False,False,True,0.740063,1.0,0.771898,0.82
normal_patrol,nominal_patrol,1,7,0000356_02353_d_0000641_5,cache,False,False,False,False,True,0.270035,1.0,0.0,0.82
normal_patrol,nominal_patrol,1,8,0000335_03921_d_0000063_4,token,False,False,True,False,False,8.345521,1.0,0.760952,0.65
normal_patrol,nominal_patrol,1,9,0000327_00601_d_0000714_11,token,False,False,True,False,False,12.686804,1.0,0.791011,0.65
normal_patrol,nominal_patrol,2,0,0000280_01601_d_0000620_6,cache,False,False,False,False,True,0.282602,5.0,0.0,0.76
normal_patrol,nominal_patrol,2,1,0000280_01601_d_0000620_6,cache,False,False,False,False,True,0.213336,4.0,0.0,0.76
normal_patrol,nominal_patrol,2,2,0000335_02549_d_0000056_14,cache,False,False,False,False,True,0.168314,3.0,0.0,0.82
normal_patrol,nominal_patrol,2,3,0000335_02549_d_0000056_14,cache,False,False,False,False,True,0.139049,2.0,0.0,0.82
normal_patrol,nominal_patrol,2,4,0000335_02549_d_0000056_14,cache,False,False,False,False,True,0.120027,1.0,0.0,0.82
normal_patrol,nominal_patrol,2,5,0000333_02941_d_0000016_10,cache,False,False,False,False,True,0.107662,2.0,0.0,0.82
normal_patrol,nominal_patrol,2,6,0000333_02941_d_0000016_10,cache,False,False,False,False,True,0.099626,1.0,0.0,0.82
normal_patrol,nominal_patrol,2,7,0000301_01201_d_0000162_3,token,False,False,True,False,False,10.928798,1.0,0.743786,0.65
normal_patrol,nominal_patrol,2,8,0000263_02401_d_0000179_4,token,False,False,True,False,False,5.005115,1.0,0.760952,0.65
normal_patrol,nominal_patrol,2,9,0000289_05401_d_0000838_5,token,False,False,True,False,False,9.6966,1.0,0.791011,0.65
disaster_hotspot,disaster_hotspot,0,0,0000330_00001_d_0000800_5,cache,False,False,False,False,True,0.392417,1.74,0.0,0.84
disaster_hotspot,disaster_hotspot,0,1,0000330_00001_d_0000800_5,cache,False,False,False,False,True,0.284716,0.74,0.0,0.84
disaster_hotspot,disaster_hotspot,0,2,0000330_04001_d_0000820_0,cache,False,False,False,False,True,0.214711,0.9,0.0,0.84
disaster_hotspot,disaster_hotspot,1,0,0000154_00401_d_0000001_0,cache,False,False,False,False,True,0.320456,1.74,0.0,0.84
disaster_hotspot,disaster_hotspot,1,1,0000154_00401_d_0000001_0,cache,False,False,False,False,True,0.237941,0.74,0.0,0.84
disaster_hotspot,disaster_hotspot,1,2,0000335_03921_d_0000063_4,cache,False,False,False,False,True,0.184307,0.9,0.0,0.84
disaster_hotspot,disaster_hotspot,2,0,0000153_00401_d_0000001_0,cache,False,False,False,False,True,0.414497,1.74,0.0,0.84
disaster_hotspot,disaster_hotspot,2,1,0000153_00401_d_0000001_0,cache,False,False,False,False,True,0.299068,0.74,0.0,0.84
disaster_hotspot,disaster_hotspot,2,2,0000194_00000_d_0000119_1,token,False,False,True,False,False,4.160904,0.9,0.901027,0.84
low_snr_soft,low_snr_soft,0,0,0000103_03349_d_0000031_1,cache,True,True,False,False,False,0.239782,8.5,0.75,0.595
low_snr_soft,low_snr_soft,0,1,0000330_00001_d_0000800_5,cache,True,True,False,False,False,0.185503,8.5,0.75,0.697
low_snr_soft,low_snr_soft,0,2,0000276_04201_d_0000528_9,token,False,False,True,False,False,9.712043,8.5,0.771898,0.595
low_snr_soft,low_snr_soft,0,3,0000276_04201_d_0000528_9,token,False,False,True,False,False,8.750352,7.5,0.771898,0.595
low_snr_soft,low_snr_soft,0,4,0000276_04201_d_0000528_9,token,False,False,True,False,False,7.777171,6.5,0.771898,0.595
low_snr_soft,low_snr_soft,0,5,0000276_04201_d_0000528_9,token,False,False,True,False,False,6.792999,5.5,0.771898,0.595
low_snr_soft,low_snr_soft,0,6,0000276_04201_d_0000528_9,token,False,False,True,False,False,5.80376,4.5,0.771898,0.595
low_snr_soft,low_snr_soft,0,7,0000276_04201_d_0000528_9,token,False,False,True,False,False,4.810052,3.5,0.771898,0.595
low_snr_soft,low_snr_soft,0,8,0000276_04201_d_0000528_9,token,False,False,True,False,False,3.813914,2.5,0.771898,0.595
low_snr_soft,low_snr_soft,0,9,0000276_04201_d_0000528_9,token,False,False,True,False,False,2.816746,1.5,0.771898,0.595
low_snr_soft,low_snr_soft,0,10,0000276_04201_d_0000528_9,token,False,False,True,False,False,1.818601,0.5,0.771898,0.595
low_snr_soft,low_snr_soft,0,11,0000244_00500_d_0000002_13,cache,False,False,False,False,True,0.270457,0.5,0.0,0.595
low_snr_soft,low_snr_soft,1,0,0000280_02401_d_0000624_1,cache,True,True,False,False,False,0.148255,8.5,0.75,0.697
low_snr_soft,low_snr_soft,1,1,0000356_02353_d_0000641_5,cache,False,False,False,False,True,0.126011,8.5,0.0,0.697
low_snr_soft,low_snr_soft,1,2,0000356_02353_d_0000641_5,cache,False,False,False,False,True,0.111552,7.5,0.0,0.697
low_snr_soft,low_snr_soft,1,3,0000356_02353_d_0000641_5,cache,False,False,False,False,True,0.102154,6.5,0.0,0.697
low_snr_soft,low_snr_soft,1,4,0000356_02353_d_0000641_5,cache,False,False,False,False,True,0.096045,5.5,0.0,0.697
low_snr_soft,low_snr_soft,1,5,0000356_02353_d_0000641_5,cache,False,False,False,False,True,0.092074,4.5,0.0,0.697
low_snr_soft,low_snr_soft,1,6,0000356_02353_d_0000641_5,cache,False,False,False,False,True,0.089493,3.5,0.0,0.697
low_snr_soft,low_snr_soft,1,7,0000356_02353_d_0000641_5,cache,False,False,False,False,True,0.087816,2.5,0.0,0.697
low_snr_soft,low_snr_soft,1,8,0000356_02353_d_0000641_5,cache,False,False,False,False,True,0.086725,1.5,0.0,0.697
low_snr_soft,low_snr_soft,1,9,0000356_02353_d_0000641_5,cache,False,False,False,False,True,0.086016,0.5,0.0,0.697
low_snr_soft,low_snr_soft,1,10,0000359_00785_d_0000703_9,token,False,False,True,False,False,8.615347,0.5,0.771898,0.595
low_snr_soft,low_snr_soft,1,11,0000001_03499_d_0000006_13,token,False,False,True,False,False,6.645318,0.5,0.771898,0.595
low_snr_soft,low_snr_soft,2,0,0000194_00000_d_0000119_1,token,True,True,False,False,False,8.123088,8.5,0.771898,0.595
low_snr_soft,low_snr_soft,2,1,0000289_05401_d_0000838_5,cache,True,True,False,False,False,0.267176,8.5,0.771898,0.595
low_snr_soft,low_snr_soft,2,2,0000249_01514_d_0000005_9,cache,True,True,False,False,False,0.203309,8.5,0.771898,0.595
low_snr_soft,low_snr_soft,2,3,0000313_06401_d_0000468_13,token,False,False,False,False,True,7.564049,8.5,0.081794,0.697
low_snr_soft,low_snr_soft,2,4,0000313_06401_d_0000468_13,token,False,False,False,False,True,6.600288,7.5,0.291434,0.697
low_snr_soft,low_snr_soft,2,5,0000313_06401_d_0000468_13,token,False,False,False,False,True,5.624144,6.5,0.291434,0.697
low_snr_soft,low_snr_soft,2,6,0000313_06401_d_0000468_13,token,False,False,False,False,True,4.639728,5.5,0.355225,0.697
low_snr_soft,low_snr_soft,2,7,0000313_06401_d_0000468_13,token,False,False,False,False,True,3.64952,4.5,0.355225,0.697
low_snr_soft,low_snr_soft,2,8,0000313_06401_d_0000468_13,token,False,False,False,False,True,2.656129,3.5,0.355225,0.697
low_snr_soft,low_snr_soft,2,9,0000313_06401_d_0000468_13,token,False,False,False,False,True,1.660509,2.5,0.355225,0.697
low_snr_soft,low_snr_soft,2,10,0000313_06401_d_0000468_13,token,False,False,False,False,True,0.730384,1.5,0.355225,0.697
low_snr_soft,low_snr_soft,2,11,0000313_06401_d_0000468_13,cache,False,False,False,False,True,0.269457,0.5,0.0,0.697
low_snr_blockage,low_snr_blockage,0,0,0000103_03349_d_0000031_1,cache,True,True,False,False,False,0.239782,5.5,0.78,0.78
low_snr_blockage,low_snr_blockage,0,1,0000330_00001_d_0000800_5,cache,False,False,False,False,True,0.185503,3.3,0.0,0.82
