scenario,semantic_path,samples,joint_feasible_ratio,semantic_feasible_ratio,deadline_feasible_ratio,utm_feasible_ratio,avg_tx_delay_s,avg_queue_delay_s,avg_infer_delay_s,avg_load_delay_s,avg_arrival_delay_s,avg_required_rate_mbps,avg_required_bandwidth_hz,avg_required_deadline_reduction_s,avg_edge_queue_pressure,model_cache_hit_ratio,reject_feasible_ratio,oracle_task_success_ratio,oracle_reject_ratio,bottleneck_distribution,reject_reason_distribution,oracle_path_distribution
disaster_hotspot,_oracle_action,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,:1.000,expired:0.800;mixed:0.200,reject:1.000
disaster_hotspot,cache,30,0.0,0.0,0.2,1.0,0.0,0.063158,0.004,0.008,0.0,0.0,810000.0,0.0,0.46952133333333335,1.0,0.0,0.0,0.0,expired:0.800;semantic_quality:0.200,,
disaster_hotspot,cache_update,30,0.0,0.03333333333333333,0.0,1.0,0.0001259,0.063158,0.054400000000000004,0.008,0.6907832333333334,1880802.4,122974923935.28352,0.6164671666666667,0.46952133333333335,1.0,0.0,0.0,0.0,expired:0.800;mobility:0.033;semantic_quality:0.167,,
disaster_hotspot,defer,30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.46952133333333335,1.0,0.0,0.0,0.0,expired:0.800;tx_delay:0.200,,
disaster_hotspot,image,30,0.0,0.03333333333333333,0.0,1.0,0.020780533333333333,0.063158,0.4510222,0.076,0.6907832333333334,310351176.53333336,20293516945175.676,1.1417441000000002,0.46952133333333335,0.8,0.0,0.0,0.0,expired:0.800;mobility:0.033;semantic_quality:0.167,,
disaster_hotspot,reject,30,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,expired:0.800;mixed:0.200,expired:0.800;mixed:0.200,
disaster_hotspot,token,30,0.0,0.03333333333333333,0.0,1.0,0.0001259,0.063158,0.054400000000000004,0.008,0.6907832333333334,1880802.4,122974923935.28352,0.6164671666666667,0.46952133333333335,1.0,0.0,0.0,0.0,expired:0.800;mobility:0.033;semantic_quality:0.167,,
edge_overload,_oracle_action,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,:1.000,expired:0.389;mixed:0.611,reject:1.000
edge_overload,cache,36,0.0,0.0,0.5277777777777778,1.0,0.0,0.4670496111111111,0.012222222222222223,0.04888888888888889,0.0,0.0,419444.44444444444,0.018263749999999974,0.6896011666666667,1.0,0.0,0.0,0.0,expired:0.389;semantic_quality:0.611,,
edge_overload,cache_update,36,0.0,0.25,0.25,1.0,0.00053725,0.4670496111111111,0.3173333333333333,0.04888888888888889,2.8541753888888888,2489586.6679709353,192763633207.27612,1.297411472222222,0.6896011666666667,1.0,0.0,0.0,0.0,expired:0.389;mobility:0.250;semantic_quality:0.361,,
edge_overload,defer,36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.6896011666666667,1.0,0.0,0.0,0.0,expired:0.389;tx_delay:0.611,,
edge_overload,image,36,0.0,0.1111111111111111,0.0,1.0,0.06052294444444444,0.4670496111111111,1.557100611111111,0.33611111111111114,2.8541753888888888,776660371.1111112,59104353636139.414,2.547737111111111,0.6896011666666667,0.3888888888888889,0.0,0.0,0.0,expired:0.389;resource:0.111;semantic_quality:0.500,,
edge_overload,reject,36,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,expired:0.389;mixed:0.611,expired:0.389;mixed:0.611,
edge_overload,token,36,0.0,0.25,0.25,1.0,0.00053725,0.4670496111111111,0.3173333333333333,0.04888888888888889,2.8541753888888888,2489586.6679709353,192763633207.27612,1.297411472222222,0.6896011666666667,1.0,0.0,0.0,0.0,expired:0.389;mobility:0.250;semantic_quality:0.361,,
edge_overload_soft,_oracle_action,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055555555555556,0.6944444444444444,:1.000,expired:0.167;mixed:0.528,cache:0.194;reject:0.694;token:0.111
edge_overload_soft,cache,36,0.19444444444444445,0.19444444444444445,0.8333333333333334,1.0,0.0,0.18868147222222223,0.016666666666666666,0.049999999999999996,0.0,0.0,208333.33333333334,0.0,0.2894052738171875,1.0,0.0,0.19444444444444445,0.0,expired:0.167;none:0.194;semantic_quality:0.639,,
edge_overload_soft,cache_update,36,0.1111111111111111,0.5277777777777778,0.4166666666666667,1.0,0.0007214166666666666,0.18868147222222223,0.49866666666666665,0.049999999999999996,3.0420557777777777,2545691.1134584346,177914777061.68246,1.1179709722222222,0.2894052738171875,1.0,0.0,0.1111111111111111,0.0,expired:0.167;mobility:0.417;none:0.111;semantic_quality:0.306,,
edge_overload_soft,defer,36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.2894052738171875,1.0,0.0,0.0,0.0,expired:0.167;tx_delay:0.833,,
edge_overload_soft,image,36,0.027777777777777776,0.4444444444444444,0.08333333333333333,1.0,0.07963611111111112,0.18868147222222223,2.2014181666666666,0.35,3.0420557777777777,928399699.9173656,66499049026947.79,2.5183006944444446,0.2894052738171875,0.16666666666666666,0.0,0.027777777777777776,0.0,expired:0.167;mobility:0.333;none:0.028;resource:0.083;semantic_quality:0.389,,
edge_overload_soft,reject,36,0.6944444444444444,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6944444444444444,0.0,0.0,deadline:0.083;expired:0.167;mixed:0.667;semantic_quality:0.083,deadline:0.083;expired:0.167;mixed:0.667;semantic_quality:0.083,
edge_overload_soft,token,36,0.1111111111111111,0.5277777777777778,0.4166666666666667,1.0,0.0007214166666666666,0.18868147222222223,0.49866666666666665,0.049999999999999996,3.0420557777777777,2545691.1134584346,177914777061.68246,1.1179709722222222,0.2894052738171875,1.0,0.0,0.1111111111111111,0.0,expired:0.167;mobility:0.417;none:0.111;semantic_quality:0.306,,
low_snr_blockage,_oracle_action,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,:1.000,expired:0.556;mixed:0.333,cache:0.111;reject:0.889
low_snr_blockage,cache,36,0.1111111111111111,0.1111111111111111,0.4444444444444444,1.0,0.0,0.05317388888888889,0.008888888888888889,0.017777777777777778,0.0,0.0,375555.55555555556,0.0,0.15983990097222223,1.0,0.0,0.1111111111111111,0.0,expired:0.556;none:0.111;semantic_quality:0.333,,
low_snr_blockage,cache_update,36,0.0,0.25,0.0,1.0,1.0146526388888888,0.05317388888888889,0.136,0.017777777777777778,9.654122138888889,3585284.4444444445,630186129290756.1,9.22461536111111,0.15983990097222223,1.0,0.0,0.0,0.0,expired:0.556;mobility:0.250;semantic_quality:0.194,,
low_snr_blockage,defer,36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,650000.0,0.0,0.15983990097222223,1.0,0.0,0.0,0.0,expired:0.556;tx_delay:0.444,,
low_snr_blockage,image,36,0.0,0.25,0.0,1.0,36.377810305555556,0.05317388888888889,1.0201692777777778,0.1688888888888889,9.654122138888889,132193390.22222221,2.3092974470044424e+16,45.71194230555555,0.15983990097222223,0.5555555555555556,0.0,0.0,0.0,expired:0.556;mobility:0.056;semantic_quality:0.194;tx_delay:0.194,,
