run_index,step,formal_scenario,scenario,benchmark_split,uav_count_profile,task_arrival_profile,edge_load_profile,reward,episode,episode_step,task_id,task_type,question_type,risk_level,view_quality_bin,freshness_bin,uav_id,edge_id,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,battery_violation,resource_violation,airspace_conflict,utm_constraint_violation,operational_intent_id,operational_intent_state,operational_priority,strategic_conflict,strategic_conflict_count,strategic_conflict_task_ids,utm_spatial_buffer_m,utm_altitude_buffer_m,utm_temporal_buffer_steps,dss_available,dss_delay_s,subscription_notification_delay_s,conflict_notification_pending,snr_bin,sensed_snr_db,sinr_db,rate_mbps,service_level,bandwidth_hz,power_w,cpu_share,gpu_share,uav_assignment,semantic_service_name,semantic_evidence_type,semantic_utility,semantic_efficiency,success,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,fading_db,cache_hit_probability,semantic_cache_hit,gpu_memory_ok,gpu_memory_used_mb,gpu_memory_capacity_mb,battery_remaining_j,bandwidth_unit,power_unit,fly_delay_s,sense_delay_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,total_delay_s,utm_dss_delay_s,utm_notification_delay_s,fly_energy_j,hover_energy_j,tx_energy_j,compute_energy_j,total_energy_j
0,0,test_utm_nominal_planning,nominal,test,default,default,default,-1.036611,0,0,0000289_01201_d_0000817_0,presence,presence,critical,poor,stale,2,0,0.504797,0.179834,1.61,0.0,True,False,False,False,False,False,oi_ep0_task0_area0,accepted,2.0,False,0,,25.0,0.0,1,True,0.0,0.0,False,20dB,37.871807,37.659423,12.510437,0,1000000.0,0.2,0.5,0.5,2,cache_answer,cached semantic answer,0.692432,1.009594,False,102.554213,35.806976,0.873107,92.138493,-120.0,0.203787,0.68,True,True,2816.0,8192.0,19998.39,Hz,W,0.0,0.0,0.0,0.119834,0.02,0.04,0.179834,0.0,0.0,0.0,1.56,0.0,0.05,1.61
0,1,test_utm_nominal_planning,nominal,test,default,default,default,-2.344518,0,1,0000289_01201_d_0000817_0,presence,presence,critical,poor,expired,2,0,0.935943,5.256841,727.165353,1.141775,False,True,False,False,False,False,oi_ep0_task0_area0,activated,2.0,False,0,,25.0,0.0,1,True,0.05,0.0,False,20dB,40.204941,39.992557,13.285384,1,1000000.0,0.3,0.5,0.5,2,semantic_tokens,detector tags/boxes/tokens,0.94183,1.639452,False,102.554213,35.806976,0.873107,91.566271,-120.0,0.776008,0.28,False,True,2816.0,8192.0,19271.224647,Hz,W,4.620595,0.16,0.000704,0.195142,0.1904,0.04,5.256841,0.05,0.0,698.633942,27.3312,0.000211,1.2,727.165353
0,2,test_utm_nominal_planning,nominal,test,default,default,default,-3.021029,0,2,0000289_01201_d_0000817_0,presence,presence,critical,poor,expired,2,0,0.975089,6.788636,738.864481,183.878006,False,True,False,False,False,False,oi_ep0_task0_area0,activated,2.0,False,0,,25.0,0.0,1,True,0.05,0.0,False,20dB,43.667608,43.455224,14.435578,2,1000000.0,0.4,0.5,0.5,2,raw_image_evidence,full image evidence for VQA/VLM,0.536162,0.010606,False,88.584542,42.6345,0.953519,89.352992,-120.0,0.673853,0.28,False,True,2816.0,8192.0,18532.360166,Hz,W,3.620595,0.36,0.104348,0.244093,2.0296,0.38,6.788636,0.05,0.0,547.433942,186.3888,0.041739,5.0,738.864481
0,3,test_utm_nominal_planning,nominal,test,default,default,default,-1.067826,0,3,0000289_01201_d_0000817_0,presence,presence,critical,poor,expired,2,0,0.269822,0.33591,1.61,0.0,True,False,False,False,False,False,oi_ep0_task0_area0,activated,2.0,False,0,,25.0,0.0,1,True,0.0,0.0,False,20dB,43.042442,42.830058,14.227913,0,1000000.0,0.2,0.5,0.5,2,cache_answer,cached semantic answer,-0.014054,0.539644,False,76.322183,51.826334,0.988924,86.967858,-120.0,1.213624,0.28,False,True,2816.0,8192.0,18530.750166,Hz,W,0.0,0.0,0.0,0.27591,0.02,0.04,0.33591,0.0,0.0,0.0,1.56,0.0,0.05,1.61
0,4,test_utm_nominal_planning,nominal,test,default,default,default,-1.843835,0,4,0000289_01201_d_0000817_0,presence,presence,critical,poor,expired,2,0,0.935943,3.358228,424.765334,1.141775,False,True,False,False,False,False,oi_ep0_task0_area0,activated,2.0,False,0,,25.0,0.0,1,True,0.05,0.0,False,20dB,44.091325,43.878941,14.576328,1,1000000.0,0.3,0.5,0.5,2,semantic_tokens,detector tags/boxes/tokens,1.595008,1.639452,False,76.322183,51.826334,0.988924,87.679888,-120.0,0.501594,0.28,False,True,2816.0,8192.0,18105.984832,Hz,W,2.620595,0.16,0.000642,0.296592,0.1904,0.04,3.358228,0.05,0.0,396.233942,27.3312,0.000193,1.2,424.765334
1,0,test_utm_off_nominal_planning,mobility-stress,test,default,default,default,-14.240104,0,0,0000069_01878_d_0000005_0,presence,presence,critical,poor,stale,1,0,0.97153,52.112345,6385.883485,131.640611,False,True,True,False,False,True,oi_ep0_task0_area0,nonconforming,2.0,False,0,,30.0,0.0,1,True,0.08,0.0,False,15dB,15.743538,15.508185,4.672558,2,900000.0,0.7,0.55,0.55,1,raw_image_evidence,full image evidence for VQA/VLM,-1.15153,0.01476,False,592.254115,5.814488,0.053652,120.165017,-120.0,-1.67376,0.68,False,True,2816.0,8192.0,1114.116515,Hz,W,49.100587,0.36,0.230794,0.115873,1.845091,0.38,52.112345,0.08,0.0,6186.673929,194.048,0.161556,5.0,6385.883485
1,1,test_utm_off_nominal_planning,mobility-stress,test,default,default,default,-13.190748,0,1,0000069_01878_d_0000005_0,presence,presence,critical,poor,stale,1,0,0.935943,48.759946,6091.187312,1.141855,False,True,True,False,False,True,oi_ep0_task0_area0,nonconforming,2.0,False,0,,30.0,0.0,1,True,0.08,0.0,False,15dB,15.953895,15.718542,4.733768,1,900000.0,0.7,0.55,0.55,1,semantic_tokens,detector tags/boxes/tokens,-0.953898,1.639337,False,580.317127,5.934516,0.054636,119.95466,-120.0,-1.673182,0.68,False,True,2816.0,8192.0,0.0,Hz,W,48.100587,0.16,0.001976,0.204292,0.173091,0.04,48.759946,0.08,0.0,6060.673929,29.312,0.001383,1.2,6091.187312
1,2,test_utm_off_nominal_planning,mobility-stress,test,default,default,default,-13.765901,0,2,0000069_01878_d_0000005_0,presence,presence,critical,poor,expired,1,0,0.97153,50.245349,6133.874463,131.640611,False,True,True,False,False,True,oi_ep0_task0_area0,nonconforming,2.0,False,0,,30.0,0.0,1,True,0.08,0.0,False,15dB,16.691283,16.455929,4.948925,2,900000.0,0.7,0.55,0.55,1,raw_image_evidence,full image evidence for VQA/VLM,-1.102464,0.01476,False,568.382793,6.059585,0.055679,119.217273,-120.0,-1.150317,0.28,False,True,2816.0,8192.0,0.0,Hz,W,47.100587,0.36,0.217906,0.261765,1.845091,0.38,50.245349,0.08,0.0,5934.673929,194.048,0.152534,5.0,6133.874463
1,3,test_utm_off_nominal_planning,mobility-stress,test,default,default,default,-12.708895,0,3,0000069_01878_d_0000005_0,presence,presence,critical,poor,expired,1,0,0.935943,46.854684,5839.187248,1.141855,False,True,True,False,False,True,oi_ep0_task0_area0,nonconforming,2.0,False,0,,30.0,0.0,1,True,0.08,0.0,False,15dB,16.745663,16.510309,4.964826,1,900000.0,0.7,0.55,0.55,1,semantic_tokens,detector tags/boxes/tokens,-0.903792,1.639337,False,556.451283,6.190018,0.056786,119.162892,-120.0,-1.315429,0.28,False,True,2816.0,8192.0,0.0,Hz,W,46.100587,0.16,0.001884,0.299122,0.173091,0.04,46.854684,0.08,0.0,5808.673929,29.312,0.001319,1.2,5839.187248
1,4,test_utm_off_nominal_planning,mobility-stress,test,default,default,default,-13.276184,0,4,0000069_01878_d_0000005_0,presence,presence,critical,poor,expired,1,0,0.97153,48.300775,5881.870114,131.640611,False,True,True,False,False,True,oi_ep0_task0_area0,nonconforming,2.0,False,0,,30.0,0.0,1,True,0.08,0.0,False,15dB,17.187469,16.952115,5.094167,2,900000.0,0.7,0.55,0.55,1,raw_image_evidence,full image evidence for VQA/VLM,-1.051979,0.01476,False,544.522783,6.326166,0.057964,118.721087,-120.0,-1.098332,0.28,False,True,2816.0,8192.0,0.0,Hz,W,45.100587,0.36,0.211693,0.323404,1.845091,0.38,48.300775,0.08,0.0,5682.673929,194.048,0.148185,5.0,5881.870114
