question_type,service_level,channel_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,sample_count,std_or_ci,avg_payload_bytes,avg_payload_kb
counting,0,bad,good,expired,critical,0.666667,15,0.238564,0.0,0.0
counting,0,bad,good,expired,normal,0.326087,46,0.135471,0.0,0.0
counting,0,bad,good,fresh,critical,0.933333,15,0.126236,0.0,0.0
counting,0,bad,good,fresh,normal,0.565217,46,0.143259,0.0,0.0
counting,0,bad,good,stale,critical,0.733333,15,0.223792,0.0,0.0
counting,0,bad,good,stale,normal,0.478261,46,0.144356,0.0,0.0
counting,0,bad,medium,expired,critical,0.833333,12,0.210862,0.0,0.0
counting,0,bad,medium,expired,normal,0.263158,19,0.198004,0.0,0.0
counting,0,bad,medium,fresh,critical,0.916667,12,0.15638,0.0,0.0
counting,0,bad,medium,fresh,normal,0.473684,19,0.224516,0.0,0.0
counting,0,bad,medium,stale,critical,0.833333,12,0.210862,0.0,0.0
counting,0,bad,medium,stale,normal,0.421053,19,0.222007,0.0,0.0
counting,0,bad,poor,expired,critical,0.777778,9,0.271617,0.0,0.0
counting,0,bad,poor,expired,normal,0.282609,46,0.130121,0.0,0.0
counting,0,bad,poor,fresh,critical,1.0,9,0.0,0.0,0.0
counting,0,bad,poor,fresh,normal,0.521739,46,0.144356,0.0,0.0
counting,0,bad,poor,stale,critical,0.777778,9,0.271617,0.0,0.0
counting,0,bad,poor,stale,normal,0.5,46,0.144493,0.0,0.0
counting,0,good,good,expired,critical,0.866667,15,0.172031,0.0,0.0
counting,0,good,good,expired,normal,0.413043,46,0.142291,0.0,0.0
counting,0,good,good,fresh,critical,0.866667,15,0.172031,0.0,0.0
counting,0,good,good,fresh,normal,0.521739,46,0.144356,0.0,0.0
counting,0,good,good,stale,critical,0.8,15,0.202428,0.0,0.0
counting,0,good,good,stale,normal,0.434783,46,0.143259,0.0,0.0
counting,0,good,medium,expired,critical,0.666667,12,0.266722,0.0,0.0
counting,0,good,medium,expired,normal,0.210526,19,0.183316,0.0,0.0
counting,0,good,medium,fresh,critical,0.833333,12,0.210862,0.0,0.0
counting,0,good,medium,fresh,normal,0.736842,19,0.198004,0.0,0.0
counting,0,good,medium,stale,critical,0.916667,12,0.15638,0.0,0.0
counting,0,good,medium,stale,normal,0.578947,19,0.222007,0.0,0.0
counting,0,good,poor,expired,critical,0.666667,9,0.307984,0.0,0.0
counting,0,good,poor,expired,normal,0.26087,46,0.126896,0.0,0.0
counting,0,good,poor,fresh,critical,0.888889,9,0.205323,0.0,0.0
counting,0,good,poor,fresh,normal,0.521739,46,0.144356,0.0,0.0
counting,0,good,poor,stale,critical,1.0,9,0.0,0.0,0.0
counting,0,good,poor,stale,normal,0.413043,46,0.142291,0.0,0.0
counting,0,medium,good,expired,critical,0.866667,15,0.172031,0.0,0.0
counting,0,medium,good,expired,normal,0.282609,46,0.130121,0.0,0.0
counting,0,medium,good,fresh,critical,0.8,15,0.202428,0.0,0.0
counting,0,medium,good,fresh,normal,0.652174,46,0.137639,0.0,0.0
counting,0,medium,good,stale,critical,0.733333,15,0.223792,0.0,0.0
counting,0,medium,good,stale,normal,0.434783,46,0.143259,0.0,0.0
counting,0,medium,medium,expired,critical,0.583333,12,0.278945,0.0,0.0
counting,0,medium,medium,expired,normal,0.210526,19,0.183316,0.0,0.0
counting,0,medium,medium,fresh,critical,0.833333,12,0.210862,0.0,0.0
counting,0,medium,medium,fresh,normal,0.736842,19,0.198004,0.0,0.0
counting,0,medium,medium,stale,critical,0.916667,12,0.15638,0.0,0.0
counting,0,medium,medium,stale,normal,0.526316,19,0.224516,0.0,0.0
counting,0,medium,poor,expired,critical,0.888889,9,0.205323,0.0,0.0
counting,0,medium,poor,expired,normal,0.217391,46,0.119198,0.0,0.0
counting,0,medium,poor,fresh,critical,0.888889,9,0.205323,0.0,0.0
counting,0,medium,poor,fresh,normal,0.478261,46,0.144356,0.0,0.0
counting,0,medium,poor,stale,critical,0.777778,9,0.271617,0.0,0.0
counting,0,medium,poor,stale,normal,0.673913,46,0.135471,0.0,0.0
counting,1,bad,good,expired,critical,0.066667,15,0.126236,1047.0,1.022461
counting,1,bad,good,expired,normal,0.543478,46,0.143946,745.174,0.727709
counting,1,bad,good,fresh,critical,0.066667,15,0.126236,1047.0,1.022461
counting,1,bad,good,fresh,normal,0.543478,46,0.143946,745.174,0.727709
counting,1,bad,good,stale,critical,0.066667,15,0.126236,1047.0,1.022461
counting,1,bad,good,stale,normal,0.543478,46,0.143946,745.174,0.727709
counting,1,bad,medium,expired,critical,0.0,12,0.0,950.333,0.92806
counting,1,bad,medium,expired,normal,0.210526,19,0.183316,745.316,0.727847
counting,1,bad,medium,fresh,critical,0.0,12,0.0,950.333,0.92806
counting,1,bad,medium,fresh,normal,0.210526,19,0.183316,745.316,0.727847
counting,1,bad,medium,stale,critical,0.0,12,0.0,950.333,0.92806
counting,1,bad,medium,stale,normal,0.210526,19,0.183316,745.316,0.727847
counting,1,bad,poor,expired,critical,0.0,9,0.0,944.444,0.922309
counting,1,bad,poor,expired,normal,0.173913,46,0.109536,749.087,0.73153
counting,1,bad,poor,fresh,critical,0.0,9,0.0,944.444,0.922309
counting,1,bad,poor,fresh,normal,0.173913,46,0.109536,749.087,0.73153
counting,1,bad,poor,stale,critical,0.0,9,0.0,944.444,0.922309
counting,1,bad,poor,stale,normal,0.173913,46,0.109536,749.087,0.73153
counting,1,good,good,expired,critical,0.466667,15,0.252472,1193.667,1.16569
counting,1,good,good,expired,normal,0.478261,46,0.144356,821.348,0.802097
counting,1,good,good,fresh,critical,0.466667,15,0.252472,1193.667,1.16569
counting,1,good,good,fresh,normal,0.478261,46,0.144356,821.348,0.802097
counting,1,good,good,stale,critical,0.466667,15,0.252472,1193.667,1.16569
counting,1,good,good,stale,normal,0.478261,46,0.144356,821.348,0.802097
counting,1,good,medium,expired,critical,0.25,12,0.245,1116.167,1.090007
counting,1,good,medium,expired,normal,0.210526,19,0.183316,799.158,0.780428
counting,1,good,medium,fresh,critical,0.25,12,0.245,1116.167,1.090007
counting,1,good,medium,fresh,normal,0.210526,19,0.183316,799.158,0.780428
counting,1,good,medium,stale,critical,0.25,12,0.245,1116.167,1.090007
counting,1,good,medium,stale,normal,0.210526,19,0.183316,799.158,0.780428
counting,1,good,poor,expired,critical,0.333333,9,0.307984,1193.778,1.165799
counting,1,good,poor,expired,normal,0.23913,46,0.123268,834.804,0.815239
counting,1,good,poor,fresh,critical,0.333333,9,0.307984,1193.778,1.165799
counting,1,good,poor,fresh,normal,0.23913,46,0.123268,834.804,0.815239
counting,1,good,poor,stale,critical,0.333333,9,0.307984,1193.778,1.165799
counting,1,good,poor,stale,normal,0.23913,46,0.123268,834.804,0.815239
counting,1,medium,good,expired,critical,0.266667,15,0.223792,1169.867,1.142448
counting,1,medium,good,expired,normal,0.565217,46,0.143259,812.848,0.793797
counting,1,medium,good,fresh,critical,0.266667,15,0.223792,1169.867,1.142448
counting,1,medium,good,fresh,normal,0.565217,46,0.143259,812.848,0.793797
counting,1,medium,good,stale,critical,0.266667,15,0.223792,1169.867,1.142448
counting,1,medium,good,stale,normal,0.565217,46,0.143259,812.848,0.793797
counting,1,medium,medium,expired,critical,0.25,12,0.245,1073.25,1.048096
counting,1,medium,medium,expired,normal,0.263158,19,0.198004,786.211,0.767784
counting,1,medium,medium,fresh,critical,0.25,12,0.245,1073.25,1.048096
counting,1,medium,medium,fresh,normal,0.263158,19,0.198004,786.211,0.767784
