question_type,service_level,channel_bin,snr_bin,view_quality_bin,freshness_bin,risk_level,sample_count,accuracy_mean,accuracy_ci_low,accuracy_ci_high,accuracy_lcb,payload_kb,uncertainty,raw_accuracy_mean,raw_accuracy_ci_low,raw_accuracy_ci_high,raw_payload_kb,payload_bytes,calibration_note
counting,0,bad,-5dB,good,expired,critical,4,0.5,0.314271,0.685729,0.314271,0.0,0.735729,0.5,0.150036,0.849964,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,bad,0dB,good,expired,critical,4,0.5,0.314271,0.685729,0.314271,0.0,0.735729,0.5,0.150036,0.849964,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,medium,5dB,good,expired,critical,4,0.5,0.314271,0.685729,0.314271,0.0,0.735729,0.5,0.150036,0.849964,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,medium,10dB,good,expired,critical,4,0.5,0.314271,0.685729,0.314271,0.0,0.735729,0.5,0.150036,0.849964,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,good,15dB,good,expired,critical,4,0.5,0.314271,0.685729,0.314271,0.0,0.735729,0.5,0.150036,0.849964,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,good,20dB,good,expired,critical,4,0.5,0.314271,0.685729,0.314271,0.0,0.735729,0.5,0.150036,0.849964,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,bad,-5dB,good,expired,normal,30,0.366667,0.299737,0.439169,0.299737,0.0,0.25229,0.366667,0.218737,0.544868,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,good,expired,normal,30,0.366667,0.299737,0.439169,0.299737,0.0,0.25229,0.366667,0.218737,0.544868,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,good,expired,normal,30,0.366667,0.299737,0.439169,0.299737,0.0,0.25229,0.366667,0.218737,0.544868,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,good,expired,normal,30,0.366667,0.299737,0.439169,0.299737,0.0,0.25229,0.366667,0.218737,0.544868,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,good,expired,normal,30,0.366667,0.299737,0.439169,0.299737,0.0,0.25229,0.366667,0.218737,0.544868,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,good,expired,normal,30,0.366667,0.299737,0.439169,0.299737,0.0,0.25229,0.366667,0.218737,0.544868,0.0,0.0,cache_snr_invariant
counting,0,bad,-5dB,good,fresh,critical,4,0.5,0.314271,0.685729,0.314271,0.0,0.735729,0.5,0.150036,0.849964,0.0,0.0,cache_snr_invariant;sparse_cell
