question_type,service_level,channel_bin,snr_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,sample_count,std_or_ci,avg_payload_bytes,avg_payload_kb
counting,0,bad,-5dB,good,expired,critical,0.5,4,0.49,0.0,0.0
counting,0,bad,-5dB,good,expired,normal,0.366667,30,0.172444,0.0,0.0
counting,0,bad,-5dB,good,fresh,critical,0.5,4,0.49,0.0,0.0
counting,0,bad,-5dB,good,fresh,normal,0.566667,30,0.177325,0.0,0.0
counting,0,bad,-5dB,good,stale,critical,0.25,4,0.424352,0.0,0.0
counting,0,bad,-5dB,good,stale,normal,0.466667,30,0.178525,0.0,0.0
counting,0,bad,-5dB,medium,expired,critical,0.615385,13,0.264467,0.0,0.0
counting,0,bad,-5dB,medium,expired,normal,0.432432,37,0.159633,0.0,0.0
counting,0,bad,-5dB,medium,fresh,critical,0.615385,13,0.264467,0.0,0.0
counting,0,bad,-5dB,medium,fresh,normal,0.567568,37,0.159633,0.0,0.0
counting,0,bad,-5dB,medium,stale,critical,0.846154,13,0.196134,0.0,0.0
counting,0,bad,-5dB,medium,stale,normal,0.648649,37,0.153826,0.0,0.0
counting,0,bad,-5dB,poor,expired,critical,0.861678,441,0.032222,0.0,0.0
counting,0,bad,-5dB,poor,expired,normal,0.313646,491,0.04104,0.0,0.0
counting,0,bad,-5dB,poor,fresh,critical,0.922902,441,0.024896,0.0,0.0
counting,0,bad,-5dB,poor,fresh,normal,0.608961,491,0.043164,0.0,0.0
counting,0,bad,-5dB,poor,stale,critical,0.902494,441,0.027687,0.0,0.0
counting,0,bad,-5dB,poor,stale,normal,0.448065,491,0.043988,0.0,0.0
counting,0,bad,0dB,good,expired,critical,0.5,4,0.49,0.0,0.0
counting,0,bad,0dB,good,expired,normal,0.366667,30,0.172444,0.0,0.0
counting,0,bad,0dB,good,fresh,critical,0.5,4,0.49,0.0,0.0
counting,0,bad,0dB,good,fresh,normal,0.566667,30,0.177325,0.0,0.0
counting,0,bad,0dB,good,stale,critical,0.25,4,0.424352,0.0,0.0
counting,0,bad,0dB,good,stale,normal,0.466667,30,0.178525,0.0,0.0
counting,0,bad,0dB,medium,expired,critical,0.615385,13,0.264467,0.0,0.0
counting,0,bad,0dB,medium,expired,normal,0.432432,37,0.159633,0.0,0.0
counting,0,bad,0dB,medium,fresh,critical,0.615385,13,0.264467,0.0,0.0
counting,0,bad,0dB,medium,fresh,normal,0.567568,37,0.159633,0.0,0.0
counting,0,bad,0dB,medium,stale,critical,0.846154,13,0.196134,0.0,0.0
counting,0,bad,0dB,medium,stale,normal,0.648649,37,0.153826,0.0,0.0
counting,0,bad,0dB,poor,expired,critical,0.861678,441,0.032222,0.0,0.0
counting,0,bad,0dB,poor,expired,normal,0.313646,491,0.04104,0.0,0.0
counting,0,bad,0dB,poor,fresh,critical,0.922902,441,0.024896,0.0,0.0
counting,0,bad,0dB,poor,fresh,normal,0.608961,491,0.043164,0.0,0.0
counting,0,bad,0dB,poor,stale,critical,0.902494,441,0.027687,0.0,0.0
counting,0,bad,0dB,poor,stale,normal,0.448065,491,0.043988,0.0,0.0
counting,0,good,15dB,good,expired,critical,0.5,4,0.49,0.0,0.0
counting,0,good,15dB,good,expired,normal,0.366667,30,0.172444,0.0,0.0
counting,0,good,15dB,good,fresh,critical,0.5,4,0.49,0.0,0.0
counting,0,good,15dB,good,fresh,normal,0.566667,30,0.177325,0.0,0.0
