question_type,service_level,channel_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,sample_count,std_or_ci
counting,0,bad,good,expired,critical,1.0,2,0.0
counting,0,bad,good,expired,normal,1.0,1,0.0
counting,0,bad,good,fresh,critical,1.0,2,0.0
counting,0,bad,good,fresh,normal,0.0,1,0.0
counting,0,bad,good,stale,critical,1.0,2,0.0
counting,0,bad,good,stale,normal,0.0,1,0.0
counting,0,bad,medium,expired,critical,1.0,1,0.0
counting,0,bad,medium,expired,normal,1.0,1,0.0
counting,0,bad,medium,fresh,critical,1.0,1,0.0
counting,0,bad,medium,fresh,normal,0.0,1,0.0
counting,0,bad,medium,stale,critical,1.0,1,0.0
counting,0,bad,medium,stale,normal,1.0,1,0.0
counting,0,bad,poor,expired,normal,1.0,1,0.0
counting,0,bad,poor,fresh,normal,0.0,1,0.0
counting,0,bad,poor,stale,normal,1.0,1,0.0
counting,0,good,good,expired,critical,1.0,2,0.0
counting,0,good,good,expired,normal,0.0,1,0.0
counting,0,good,good,fresh,critical,1.0,2,0.0
counting,0,good,good,fresh,normal,1.0,1,0.0
counting,0,good,good,stale,critical,1.0,2,0.0
counting,0,good,good,stale,normal,0.0,1,0.0
counting,0,good,medium,expired,critical,1.0,1,0.0
counting,0,good,medium,expired,normal,1.0,1,0.0
counting,0,good,medium,fresh,critical,1.0,1,0.0
counting,0,good,medium,fresh,normal,1.0,1,0.0
counting,0,good,medium,stale,critical,1.0,1,0.0
counting,0,good,medium,stale,normal,1.0,1,0.0
counting,0,good,poor,expired,normal,1.0,1,0.0
counting,0,good,poor,fresh,normal,1.0,1,0.0
counting,0,good,poor,stale,normal,0.0,1,0.0
counting,0,medium,good,expired,critical,1.0,2,0.0
counting,0,medium,good,expired,normal,0.0,1,0.0
counting,0,medium,good,fresh,critical,1.0,2,0.0
counting,0,medium,good,fresh,normal,1.0,1,0.0
counting,0,medium,good,stale,critical,1.0,2,0.0
counting,0,medium,good,stale,normal,0.0,1,0.0
counting,0,medium,medium,expired,critical,1.0,1,0.0
counting,0,medium,medium,expired,normal,0.0,1,0.0
counting,0,medium,medium,fresh,critical,1.0,1,0.0
counting,0,medium,medium,fresh,normal,1.0,1,0.0
counting,0,medium,medium,stale,critical,1.0,1,0.0
counting,0,medium,medium,stale,normal,0.0,1,0.0
counting,0,medium,poor,expired,normal,0.0,1,0.0
counting,0,medium,poor,fresh,normal,0.0,1,0.0
counting,0,medium,poor,stale,normal,1.0,1,0.0
counting,1,bad,good,expired,critical,1.0,2,0.0
counting,1,bad,good,expired,normal,1.0,1,0.0
counting,1,bad,good,fresh,critical,1.0,2,0.0
counting,1,bad,good,fresh,normal,1.0,1,0.0
counting,1,bad,good,stale,critical,1.0,2,0.0
counting,1,bad,good,stale,normal,1.0,1,0.0
counting,1,bad,medium,expired,critical,1.0,1,0.0
counting,1,bad,medium,expired,normal,1.0,1,0.0
counting,1,bad,medium,fresh,critical,1.0,1,0.0
counting,1,bad,medium,fresh,normal,1.0,1,0.0
counting,1,bad,medium,stale,critical,1.0,1,0.0
counting,1,bad,medium,stale,normal,1.0,1,0.0
