question_type,service_level,snr_bin,sample_count,expected_accuracy,wilson_low,wilson_high,avg_payload_bytes,avg_payload_kb
co_presence,1,-5dB,4932,0.703771,0.690874,0.716352,932.7,0.911
co_presence,1,0dB,4932,0.70438,0.691489,0.716952,932.3,0.91
co_presence,1,5dB,4932,0.70438,0.691489,0.716952,932.0,0.91
co_presence,1,10dB,4932,0.70438,0.691489,0.716952,932.0,0.91
co_presence,1,15dB,4932,0.70438,0.691489,0.716952,932.0,0.91
co_presence,1,20dB,4932,0.70438,0.691489,0.716952,932.0,0.91
co_presence,2,-5dB,4932,0.594891,0.581121,0.608512,187157.5,182.771
co_presence,2,0dB,4932,0.559002,0.545105,0.572808,157662.3,153.967
co_presence,2,5dB,4932,0.560219,0.546324,0.57402,184879.2,180.546
co_presence,2,10dB,4932,0.554136,0.540227,0.567961,241519.3,235.859
co_presence,2,15dB,4932,0.552311,0.538398,0.566143,272430.7,266.046
co_presence,2,20dB,4932,0.555961,0.542056,0.569779,276399.6,269.921
comparison,1,-5dB,4842,0.850682,0.840365,0.860442,1078.5,1.053
comparison,1,0dB,4842,0.848823,0.838456,0.858636,1078.4,1.053
comparison,1,5dB,4842,0.849442,0.839092,0.859238,1078.2,1.053
comparison,1,10dB,4842,0.849442,0.839092,0.859238,1078.1,1.053
comparison,1,15dB,4842,0.849442,0.839092,0.859238,1078.1,1.053
comparison,1,20dB,4842,0.849442,0.839092,0.859238,1078.1,1.053
comparison,2,-5dB,4842,0.66171,0.64826,0.674904,186651.9,182.277
comparison,2,0dB,4842,0.657373,0.643885,0.670611,156344.1,152.68
comparison,2,5dB,4842,0.67658,0.663268,0.689612,184604.2,180.278
comparison,2,10dB,4842,0.659851,0.646385,0.673064,241184.1,235.531
comparison,2,15dB,4842,0.654895,0.641386,0.668158,271866.1,265.494
comparison,2,20dB,4842,0.66109,0.647635,0.674291,275025.0,268.579
counting,0,-5dB,10026,0.649312,0.639916,0.658594,0.0,0.0
counting,0,0dB,10026,0.649312,0.639916,0.658594,0.0,0.0
counting,0,5dB,10026,0.649312,0.639916,0.658594,0.0,0.0
counting,0,10dB,10026,0.649312,0.639916,0.658594,0.0,0.0
counting,0,15dB,10026,0.649312,0.639916,0.658594,0.0,0.0
counting,0,20dB,10026,0.649312,0.639916,0.658594,0.0,0.0
counting,1,-5dB,10026,0.490425,0.480645,0.500212,980.5,0.957
counting,1,0dB,10026,0.49222,0.482439,0.502007,980.1,0.957
counting,1,5dB,10026,0.491921,0.48214,0.501708,979.9,0.957
counting,1,10dB,10026,0.491323,0.481542,0.50111,979.9,0.957
counting,1,15dB,10026,0.491921,0.48214,0.501708,979.9,0.957
counting,1,20dB,10026,0.491023,0.481243,0.500811,979.8,0.957
counting,2,-5dB,10026,0.255536,0.247093,0.264166,186862.8,182.483
counting,2,0dB,10026,0.27289,0.264259,0.281696,157332.9,153.645
counting,2,5dB,10026,0.279473,0.270775,0.28834,184758.3,180.428
counting,2,10dB,10026,0.280969,0.272256,0.28985,241392.3,235.735
counting,2,15dB,10026,0.278576,0.269887,0.287434,272310.9,265.929
counting,2,20dB,10026,0.281568,0.272849,0.290454,275790.5,269.327
presence,0,-5dB,19323,0.521658,0.514611,0.528697,0.0,0.0
presence,0,0dB,19323,0.521658,0.514611,0.528697,0.0,0.0
presence,0,5dB,19323,0.521658,0.514611,0.528697,0.0,0.0
presence,0,10dB,19323,0.521658,0.514611,0.528697,0.0,0.0
presence,0,15dB,19323,0.521658,0.514611,0.528697,0.0,0.0
presence,0,20dB,19323,0.521658,0.514611,0.528697,0.0,0.0
presence,1,-5dB,19323,0.707965,0.701513,0.714334,822.2,0.803
presence,1,0dB,19323,0.707809,0.701356,0.71418,821.7,0.802
presence,1,5dB,19323,0.707965,0.701513,0.714334,821.4,0.802
presence,1,10dB,19323,0.707965,0.701513,0.714334,821.4,0.802
presence,1,15dB,19323,0.707965,0.701513,0.714334,821.4,0.802
presence,1,20dB,19323,0.707965,0.701513,0.714334,821.4,0.802
presence,2,-5dB,19323,0.708275,0.701825,0.714642,186846.6,182.467
presence,2,0dB,19323,0.74181,0.735592,0.747932,156751.9,153.078
presence,2,5dB,19323,0.757491,0.751397,0.763483,184690.0,180.361
presence,2,10dB,19323,0.764633,0.758599,0.770561,241261.8,235.607
presence,2,15dB,19323,0.763391,0.757346,0.769331,271954.9,265.581
presence,2,20dB,19323,0.766185,0.760165,0.7721,275561.1,269.103
threshold,1,-5dB,4932,0.610706,0.597016,0.624223,930.7,0.909
threshold,1,0dB,4932,0.611922,0.59824,0.62543,930.3,0.908
threshold,1,5dB,4932,0.611922,0.59824,0.62543,930.0,0.908
threshold,1,10dB,4932,0.611314,0.597628,0.624827,930.0,0.908
threshold,1,15dB,4932,0.611314,0.597628,0.624827,930.0,0.908
threshold,1,20dB,4932,0.611314,0.597628,0.624827,930.0,0.908
threshold,2,-5dB,4932,0.518248,0.504294,0.532174,187157.5,182.771
threshold,2,0dB,4932,0.533455,0.519511,0.547347,157662.3,153.967
threshold,2,5dB,4932,0.531022,0.517076,0.54492,184879.2,180.546
threshold,2,10dB,4932,0.524331,0.510379,0.538245,241519.3,235.859
threshold,2,15dB,4932,0.486618,0.472684,0.500573,272430.7,266.046
threshold,2,20dB,4932,0.496959,0.483012,0.51091,276399.6,269.921
