service,fold,bin_lo,bin_hi,mean_predicted,empirical_accuracy,n
1,calib,0.0,0.1,0.05,0.05,0
1,calib,0.1,0.2,0.1981,0.3333,54
1,calib,0.2,0.3,0.2734,0.0233,774
1,calib,0.3,0.4,0.3264,0.4167,648
1,calib,0.4,0.5,0.4249,0.3889,972
1,calib,0.5,0.6,0.5485,0.4408,3024
1,calib,0.6,0.7,0.6421,0.6667,702
1,calib,0.7,0.8,0.7538,0.8573,3294
1,calib,0.8,0.9,0.8549,0.9118,2448
1,calib,0.9,1.0,0.9204,0.7778,1620
1,test,0.0,0.1,0.05,0.05,0
1,test,0.1,0.2,0.198,0.4444,162
1,test,0.2,0.3,0.2731,0.0,918
1,test,0.3,0.4,0.336,0.4464,1008
1,test,0.4,0.5,0.4294,0.4375,1152
1,test,0.5,0.6,0.5494,0.4289,3546
1,test,0.6,0.7,0.6398,0.6596,846
1,test,0.7,0.8,0.7543,0.7801,3924
1,test,0.8,0.9,0.8597,0.8777,3384
1,test,0.9,1.0,0.9236,0.8113,1908
2,calib,0.0,0.1,0.05,0.05,0
2,calib,0.1,0.2,0.1661,0.0,306
2,calib,0.2,0.3,0.2329,0.1758,2076
2,calib,0.3,0.4,0.3619,0.5016,624
2,calib,0.4,0.5,0.4495,0.4712,1197
2,calib,0.5,0.6,0.5389,0.4951,1638
2,calib,0.6,0.7,0.6503,0.6753,3249
2,calib,0.7,0.8,0.7459,0.6684,1728
2,calib,0.8,0.9,0.8329,0.7714,1566
2,calib,0.9,1.0,0.911,0.9557,1152
2,test,0.0,0.1,0.05,0.05,0
2,test,0.1,0.2,0.1661,0.0,486
2,test,0.2,0.3,0.2326,0.2319,2316
2,test,0.3,0.4,0.3685,0.5184,870
2,test,0.4,0.5,0.4483,0.6061,1602
2,test,0.5,0.6,0.5386,0.53,1902
2,test,0.6,0.7,0.6515,0.7006,3888
2,test,0.7,0.8,0.7467,0.6927,1956
2,test,0.8,0.9,0.8337,0.7383,2415
2,test,0.9,1.0,0.9134,0.954,1413
