channel,method,snr_db,qtype,split,accuracy,n,lcb,ucb,mean_payload_bytes,mean_channel_uses,cbr
awgn,M1_image,-5.0,all,test,0.5561,624,0.5169,0.5946,198819.8,4012416.8,1.391804
awgn,M1_image,-5.0,presence,test,0.7195,410,0.6741,0.7608,198929.9,4014636.9,1.392574
awgn,M1_image,-5.0,counting,test,0.243,214,0.1904,0.3047,198609.1,4008163.4,1.390328
awgn,M1_image,0.0,all,test,0.5913,624,0.5523,0.6292,155119.3,1240954.4,0.430455
awgn,M1_image,0.0,presence,test,0.7537,410,0.7097,0.7929,155372.9,1242983.0,0.431159
awgn,M1_image,0.0,counting,test,0.2804,214,0.2245,0.344,154633.5,1237067.7,0.429107
awgn,M1_image,5.0,all,test,0.6138,624,0.575,0.6512,195697.6,760961.2,0.263958
awgn,M1_image,5.0,presence,test,0.7854,410,0.7431,0.8224,195759.2,761200.5,0.264041
awgn,M1_image,5.0,counting,test,0.285,214,0.2288,0.3489,195579.7,760502.6,0.263799
awgn,M1_image,10.0,all,test,0.6074,624,0.5685,0.6449,253662.2,586598.5,0.203476
awgn,M1_image,10.0,presence,test,0.7756,410,0.7328,0.8133,253777.8,586865.8,0.203569
awgn,M1_image,10.0,counting,test,0.285,214,0.2288,0.3489,253440.7,586086.3,0.203298
awgn,M1_image,15.0,all,test,0.609,624,0.5701,0.6465,279365.9,444513.3,0.15419
awgn,M1_image,15.0,presence,test,0.7732,410,0.7302,0.8111,279322.9,444444.9,0.154166
awgn,M1_image,15.0,counting,test,0.2944,214,0.2374,0.3587,279448.3,444644.4,0.154236
awgn,M1_image,20.0,all,test,0.6106,624,0.5718,0.648,281595.5,338343.7,0.117363
awgn,M1_image,20.0,presence,test,0.7805,410,0.7379,0.8178,281582.4,338327.9,0.117357
awgn,M1_image,20.0,counting,test,0.285,214,0.2288,0.3489,281620.7,338373.9,0.117373
awgn,M3_token,-5.0,all,test,0.601,624,0.562,0.6387,871.5,13944.2,0.004837
awgn,M3_token,-5.0,presence,test,0.678,410,0.6313,0.7214,817.1,13073.6,0.004535
awgn,M3_token,-5.0,counting,test,0.4533,214,0.388,0.5202,975.8,15612.2,0.005415
awgn,M3_token,0.0,all,test,0.601,624,0.562,0.6387,871.5,13944.2,0.004837
awgn,M3_token,0.0,presence,test,0.678,410,0.6313,0.7214,817.1,13073.6,0.004535
awgn,M3_token,0.0,counting,test,0.4533,214,0.388,0.5202,975.8,15612.2,0.005415
awgn,M3_token,5.0,all,test,0.601,624,0.562,0.6387,871.5,13944.2,0.004837
awgn,M3_token,5.0,presence,test,0.678,410,0.6313,0.7214,817.1,13073.6,0.004535
awgn,M3_token,5.0,counting,test,0.4533,214,0.388,0.5202,975.8,15612.2,0.005415
awgn,M3_token,10.0,all,test,0.601,624,0.562,0.6387,871.5,13944.2,0.004837
awgn,M3_token,10.0,presence,test,0.678,410,0.6313,0.7214,817.1,13073.6,0.004535
awgn,M3_token,10.0,counting,test,0.4533,214,0.388,0.5202,975.8,15612.2,0.005415
awgn,M3_token,15.0,all,test,0.601,624,0.562,0.6387,871.5,13944.2,0.004837
