channel,method,snr_db,qtype,split,accuracy,n,lcb,ucb,mean_payload_bytes,mean_channel_uses,cbr
rician,M1_image,-5.0,all,test,0.6423,710,0.6063,0.6767,69401.2,1451199.6,0.503384
rician,M1_image,-5.0,presence,test,0.8452,239,0.7939,0.8856,67046.1,1401953.9,0.486302
rician,M1_image,-5.0,counting,test,0.3333,177,0.2681,0.4057,71291.7,1490732.4,0.517097
rician,M1_image,-5.0,comparison,test,0.8929,56,0.7853,0.95,80331.9,1679765.8,0.582667
rician,M1_image,-5.0,co_presence,test,0.6723,119,0.5837,0.7501,67788.2,1417471.5,0.491684
rician,M1_image,-5.0,threshold,test,0.5462,119,0.4567,0.6328,67788.2,1417471.5,0.491684
rician,M1_image,0.0,all,test,0.6352,710,0.5992,0.6698,76499.2,651382.8,0.225948
rician,M1_image,0.0,presence,test,0.8285,239,0.7756,0.871,75829.4,645679.5,0.22397
rician,M1_image,0.0,counting,test,0.4181,177,0.3479,0.4917,77074.9,656284.5,0.227648
rician,M1_image,0.0,comparison,test,0.7857,56,0.6618,0.8729,79396.9,676055.9,0.234506
rician,M1_image,0.0,co_presence,test,0.6134,119,0.5237,0.6961,76061.9,647659.4,0.224656
rician,M1_image,0.0,threshold,test,0.521,119,0.432,0.6087,76061.9,647659.4,0.224656
rician,M1_image,5.0,all,test,0.6493,710,0.6135,0.6835,116046.1,486510.5,0.168758
rician,M1_image,5.0,presence,test,0.8326,239,0.7801,0.8746,114917.6,481779.2,0.167117
rician,M1_image,5.0,counting,test,0.435,177,0.3641,0.5087,117004.8,490529.7,0.170152
rician,M1_image,5.0,comparison,test,0.7857,56,0.6618,0.8729,120895.6,506841.2,0.17581
rician,M1_image,5.0,co_presence,test,0.6471,119,0.5578,0.7271,115325.4,483489.0,0.16771
rician,M1_image,5.0,threshold,test,0.5378,119,0.4485,0.6248,115325.4,483489.0,0.16771
rician,M1_image,10.0,all,test,0.6493,710,0.6135,0.6835,135152.3,335142.7,0.116252
rician,M1_image,10.0,presence,test,0.8201,239,0.7664,0.8636,133481.7,331000.0,0.114815
rician,M1_image,10.0,counting,test,0.435,177,0.3641,0.5087,136615.2,338770.2,0.117511
rician,M1_image,10.0,comparison,test,0.8393,56,0.7219,0.9131,142477.5,353307.1,0.122553
rician,M1_image,10.0,co_presence,test,0.6555,119,0.5664,0.7348,134018.5,332331.0,0.115277
rician,M1_image,10.0,threshold,test,0.5294,119,0.4402,0.6168,134018.5,332331.0,0.115277
rician,M1_image,15.0,all,test,0.6338,710,0.5977,0.6684,140636.8,237085.2,0.082239
