method,snr_db,accuracy,n,mean_payload_bytes
M1_image,-5.0,0.6102,354,181945.1
M1_image,0.0,0.6582,354,166381.1
M1_image,5.0,0.6695,354,227412.7
M1_image,10.0,0.6836,354,224728.6
M1_image,15.0,0.6864,354,254585.7
M1_image,20.0,0.6836,354,267017.1
M3_token,-5.0,0.6808,354,841.4
M3_token,0.0,0.6808,354,841.9
M3_token,5.0,0.6808,354,841.7
M3_token,10.0,0.6808,354,841.7
M3_token,15.0,0.6808,354,841.7
M3_token,20.0,0.6808,354,841.7
M4_adaptive,-5.0,0.6864,354,121609.8
M4_adaptive,0.0,0.7232,354,111234.0
M4_adaptive,5.0,0.7316,354,151921.7
M4_adaptive,10.0,0.7458,354,150132.3
M4_adaptive,15.0,0.7514,354,170037.0
M4_adaptive,20.0,0.7514,354,178324.7
M5_oracle,-5.0,0.774,354,18078.0
M5_oracle,0.0,0.7938,354,19720.6
M5_oracle,5.0,0.791,354,26278.7
M5_oracle,10.0,0.8023,354,27552.5
M5_oracle,15.0,0.8079,354,34105.6
M5_oracle,20.0,0.8023,354,34083.8
