method,snr_db,accuracy,n,mean_payload_bytes
M1_image,-5.0,0.555,3261,192707.5
M1_image,0.0,0.5811,3261,153787.7
M1_image,5.0,0.5906,3261,186189.4
M1_image,10.0,0.5961,3261,242599.2
M1_image,15.0,0.5958,3261,272873.6
M1_image,20.0,0.5974,3261,275519.2
M3_token,-5.0,0.6381,3261,880.0
M3_token,0.0,0.6378,3261,880.0
M3_token,5.0,0.6372,3261,879.8
M3_token,10.0,0.6372,3261,879.8
M3_token,15.0,0.6372,3261,879.8
M3_token,20.0,0.6372,3261,879.8
M4_adaptive,-5.0,0.6406,3261,127197.8
M4_adaptive,0.0,0.6599,3261,101344.2
M4_adaptive,5.0,0.6679,3261,122871.0
M4_adaptive,10.0,0.6734,3261,160035.3
M4_adaptive,15.0,0.674,3261,179916.3
M4_adaptive,20.0,0.6749,3261,181678.2
M5_oracle,-5.0,0.7127,3261,15105.3
M5_oracle,0.0,0.7301,3261,13747.6
M5_oracle,5.0,0.7341,3261,18895.8
M5_oracle,10.0,0.7378,3261,24746.2
M5_oracle,15.0,0.739,3261,27832.9
M5_oracle,20.0,0.7412,3261,28764.7
