channel,method,snr_db,qtype,split,accuracy,n,lcb,ucb,mean_payload_bytes,mean_channel_uses,cbr
rician,M1_image,-5.0,all,test,0.5769,468,0.5317,0.6209,196484.0,4108541.2,1.425147
rician,M1_image,-5.0,presence,test,0.6731,104,0.5782,0.7557,195103.3,4079669.5,1.415132
rician,M1_image,-5.0,counting,test,0.3462,52,0.2315,0.482,195103.3,4079669.5,1.415132
rician,M1_image,-5.0,comparison,test,0.5769,104,0.4809,0.6675,197174.4,4122977.0,1.430154
rician,M1_image,-5.0,co_presence,test,0.5865,104,0.4905,0.6765,197174.4,4122977.0,1.430154
rician,M1_image,-5.0,threshold,test,0.5865,104,0.4905,0.6765,197174.4,4122977.0,1.430154
rician,M1_image,0.0,all,test,0.594,468,0.5489,0.6376,165601.7,1410081.4,0.489121
rician,M1_image,0.0,presence,test,0.7308,104,0.6384,0.8067,174936.0,1489562.0,0.516691
rician,M1_image,0.0,counting,test,0.3462,52,0.2315,0.482,174936.0,1489562.0,0.516691
rician,M1_image,0.0,comparison,test,0.5673,104,0.4714,0.6585,160934.6,1370341.2,0.475336
rician,M1_image,0.0,co_presence,test,0.5385,104,0.443,0.6312,160934.6,1370341.2,0.475336
rician,M1_image,0.0,threshold,test,0.6635,104,0.5683,0.747,160934.6,1370341.2,0.475336
rician,M1_image,5.0,all,test,0.6068,468,0.5619,0.6501,193593.1,811617.4,0.281529
rician,M1_image,5.0,presence,test,0.7115,104,0.6182,0.7898,206862.8,867249.4,0.300826
rician,M1_image,5.0,counting,test,0.4038,52,0.2816,0.5393,206862.8,867249.4,0.300826
rician,M1_image,5.0,comparison,test,0.6635,104,0.5683,0.747,186958.2,783801.4,0.27188
rician,M1_image,5.0,co_presence,test,0.5096,104,0.4149,0.6036,186958.2,783801.4,0.27188
rician,M1_image,5.0,threshold,test,0.6442,104,0.5486,0.7296,186958.2,783801.4,0.27188
rician,M1_image,10.0,all,test,0.6068,468,0.5619,0.6501,240164.0,595544.4,0.206579
rician,M1_image,10.0,presence,test,0.7212,104,0.6283,0.7983,230596.3,571819.0,0.198349
rician,M1_image,10.0,counting,test,0.4231,52,0.2987,0.5581,230596.3,571819.0,0.198349
rician,M1_image,10.0,comparison,test,0.625,104,0.5291,0.712,244947.8,607407.0,0.210694
rician,M1_image,10.0,co_presence,test,0.5288,104,0.4336,0.622,244947.8,607407.0,0.210694
rician,M1_image,10.0,threshold,test,0.6442,104,0.5486,0.7296,244947.8,607407.0,0.210694
rician,M1_image,15.0,all,test,0.594,468,0.5489,0.6376,271335.4,457416.6,0.158666
