channel,method,snr_db,qtype,split,accuracy,n,lcb,ucb,mean_payload_bytes,mean_channel_uses,cbr
awgn,M1_image,-5.0,all,test,0.5748,936,0.5429,0.6061,198819.8,4012416.8,1.391804
awgn,M1_image,-5.0,presence,test,0.7195,410,0.6741,0.7608,198929.9,4014636.9,1.392574
awgn,M1_image,-5.0,counting,test,0.243,214,0.1904,0.3047,198609.1,4008163.4,1.390328
awgn,M1_image,-5.0,comparison,test,0.6731,104,0.5782,0.7557,198819.8,4012416.8,1.391804
awgn,M1_image,-5.0,co_presence,test,0.5673,104,0.4714,0.6585,198819.8,4012416.8,1.391804
awgn,M1_image,-5.0,threshold,test,0.5962,104,0.5001,0.6854,198819.8,4012416.8,1.391804
awgn,M1_image,0.0,all,test,0.6004,936,0.5687,0.6313,155119.3,1240954.4,0.430455
awgn,M1_image,0.0,presence,test,0.7537,410,0.7097,0.7929,155372.9,1242983.0,0.431159
awgn,M1_image,0.0,counting,test,0.2804,214,0.2245,0.344,154633.5,1237067.7,0.429107
awgn,M1_image,0.0,comparison,test,0.6827,104,0.5881,0.7643,155119.3,1240954.4,0.430455
awgn,M1_image,0.0,co_presence,test,0.5192,104,0.4242,0.6128,155119.3,1240954.4,0.430455
awgn,M1_image,0.0,threshold,test,0.6538,104,0.5584,0.7383,155119.3,1240954.4,0.430455
awgn,M1_image,5.0,all,test,0.6207,936,0.5892,0.6513,195697.6,760961.2,0.263958
awgn,M1_image,5.0,presence,test,0.7854,410,0.7431,0.8224,195759.2,761200.5,0.264041
awgn,M1_image,5.0,counting,test,0.285,214,0.2288,0.3489,195579.7,760502.6,0.263799
awgn,M1_image,5.0,comparison,test,0.7308,104,0.6384,0.8067,195697.6,760961.2,0.263958
awgn,M1_image,5.0,co_presence,test,0.5481,104,0.4524,0.6403,195697.6,760961.2,0.263958
awgn,M1_image,5.0,threshold,test,0.625,104,0.5291,0.712,195697.6,760961.2,0.263958
awgn,M1_image,10.0,all,test,0.6122,936,0.5806,0.6429,253662.2,586598.5,0.203476
awgn,M1_image,10.0,presence,test,0.7756,410,0.7328,0.8133,253777.8,586865.8,0.203569
awgn,M1_image,10.0,counting,test,0.285,214,0.2288,0.3489,253440.7,586086.3,0.203298
awgn,M1_image,10.0,comparison,test,0.7019,104,0.6081,0.7814,253662.2,586598.5,0.203476
awgn,M1_image,10.0,co_presence,test,0.5385,104,0.443,0.6312,253662.2,586598.5,0.203476
awgn,M1_image,10.0,threshold,test,0.625,104,0.5291,0.712,253662.2,586598.5,0.203476
awgn,M1_image,15.0,all,test,0.6068,936,0.5752,0.6376,279365.9,444513.3,0.15419
awgn,M1_image,15.0,presence,test,0.7732,410,0.7302,0.8111,279322.9,444444.9,0.154166
awgn,M1_image,15.0,counting,test,0.2944,214,0.2374,0.3587,279448.3,444644.4,0.154236
awgn,M1_image,15.0,comparison,test,0.6923,104,0.5981,0.7728,279365.9,444513.3,0.15419
awgn,M1_image,15.0,co_presence,test,0.5385,104,0.443,0.6312,279365.9,444513.3,0.15419
awgn,M1_image,15.0,threshold,test,0.5769,104,0.4809,0.6675,279365.9,444513.3,0.15419
awgn,M1_image,20.0,all,test,0.6111,936,0.5795,0.6418,281595.5,338343.7,0.117363
awgn,M1_image,20.0,presence,test,0.7805,410,0.7379,0.8178,281582.4,338327.9,0.117357
awgn,M1_image,20.0,counting,test,0.285,214,0.2288,0.3489,281620.7,338373.9,0.117373
awgn,M1_image,20.0,comparison,test,0.6923,104,0.5981,0.7728,281595.5,338343.7,0.117363
awgn,M1_image,20.0,co_presence,test,0.5577,104,0.4619,0.6494,281595.5,338343.7,0.117363
awgn,M1_image,20.0,threshold,test,0.5865,104,0.4905,0.6765,281595.5,338343.7,0.117363
awgn,M3_token,-5.0,all,test,0.6346,936,0.6033,0.6649,910.1,14561.3,0.005051
awgn,M3_token,-5.0,presence,test,0.678,410,0.6313,0.7214,817.1,13073.6,0.004535
awgn,M3_token,-5.0,counting,test,0.4533,214,0.388,0.5202,975.8,15612.2,0.005415
awgn,M3_token,-5.0,comparison,test,0.8462,104,0.7646,0.903,1072.4,17159.1,0.005952
awgn,M3_token,-5.0,co_presence,test,0.6635,104,0.5683,0.747,945.6,15129.5,0.005248
awgn,M3_token,-5.0,threshold,test,0.5962,104,0.5001,0.6854,943.6,15097.5,0.005237
awgn,M3_token,0.0,all,test,0.6346,936,0.6033,0.6649,910.1,14561.3,0.005051
awgn,M3_token,0.0,presence,test,0.678,410,0.6313,0.7214,817.1,13073.6,0.004535
awgn,M3_token,0.0,counting,test,0.4533,214,0.388,0.5202,975.8,15612.2,0.005415
awgn,M3_token,0.0,comparison,test,0.8462,104,0.7646,0.903,1072.4,17159.1,0.005952
awgn,M3_token,0.0,co_presence,test,0.6635,104,0.5683,0.747,945.6,15129.5,0.005248
awgn,M3_token,0.0,threshold,test,0.5962,104,0.5001,0.6854,943.6,15097.5,0.005237
awgn,M3_token,5.0,all,test,0.6346,936,0.6033,0.6649,910.1,14561.3,0.005051
awgn,M3_token,5.0,presence,test,0.678,410,0.6313,0.7214,817.1,13073.6,0.004535
awgn,M3_token,5.0,counting,test,0.4533,214,0.388,0.5202,975.8,15612.2,0.005415
awgn,M3_token,5.0,comparison,test,0.8462,104,0.7646,0.903,1072.4,17159.1,0.005952
awgn,M3_token,5.0,co_presence,test,0.6635,104,0.5683,0.747,945.6,15129.5,0.005248
awgn,M3_token,5.0,threshold,test,0.5962,104,0.5001,0.6854,943.6,15097.5,0.005237
awgn,M3_token,10.0,all,test,0.6346,936,0.6033,0.6649,910.1,14561.3,0.005051
awgn,M3_token,10.0,presence,test,0.678,410,0.6313,0.7214,817.1,13073.6,0.004535
awgn,M3_token,10.0,counting,test,0.4533,214,0.388,0.5202,975.8,15612.2,0.005415
awgn,M3_token,10.0,comparison,test,0.8462,104,0.7646,0.903,1072.4,17159.1,0.005952
awgn,M3_token,10.0,co_presence,test,0.6635,104,0.5683,0.747,945.6,15129.5,0.005248
awgn,M3_token,10.0,threshold,test,0.5962,104,0.5001,0.6854,943.6,15097.5,0.005237
awgn,M3_token,15.0,all,test,0.6346,936,0.6033,0.6649,910.1,14561.3,0.005051
awgn,M3_token,15.0,presence,test,0.678,410,0.6313,0.7214,817.1,13073.6,0.004535
awgn,M3_token,15.0,counting,test,0.4533,214,0.388,0.5202,975.8,15612.2,0.005415
awgn,M3_token,15.0,comparison,test,0.8462,104,0.7646,0.903,1072.4,17159.1,0.005952
awgn,M3_token,15.0,co_presence,test,0.6635,104,0.5683,0.747,945.6,15129.5,0.005248
awgn,M3_token,15.0,threshold,test,0.5962,104,0.5001,0.6854,943.6,15097.5,0.005237
awgn,M3_token,20.0,all,test,0.6346,936,0.6033,0.6649,910.1,14561.3,0.005051
awgn,M3_token,20.0,presence,test,0.678,410,0.6313,0.7214,817.1,13073.6,0.004535
awgn,M3_token,20.0,counting,test,0.4533,214,0.388,0.5202,975.8,15612.2,0.005415
awgn,M3_token,20.0,comparison,test,0.8462,104,0.7646,0.903,1072.4,17159.1,0.005952
awgn,M3_token,20.0,co_presence,test,0.6635,104,0.5683,0.747,945.6,15129.5,0.005248
awgn,M3_token,20.0,threshold,test,0.5962,104,0.5001,0.6854,943.6,15097.5,0.005237
awgn,M4_adaptive,-5.0,all,test,0.6528,936,0.6217,0.6826,87690.2,1767382.8,0.613059
awgn,M4_adaptive,-5.0,presence,test,0.7195,410,0.6741,0.7608,198929.9,4014636.9,1.392574
awgn,M4_adaptive,-5.0,counting,test,0.4533,214,0.388,0.5202,975.8,15612.2,0.005415
awgn,M4_adaptive,-5.0,comparison,test,0.8462,104,0.7646,0.903,1072.4,17159.1,0.005952
awgn,M4_adaptive,-5.0,co_presence,test,0.6635,104,0.5683,0.747,945.6,15129.5,0.005248
awgn,M4_adaptive,-5.0,threshold,test,0.5962,104,0.5001,0.6854,943.6,15097.5,0.005237
awgn,M4_adaptive,0.0,all,test,0.6741,936,0.6435,0.7034,85741.4,689510.0,0.239173
awgn,M4_adaptive,0.0,presence,test,0.7537,410,0.7097,0.7929,155372.9,1242983.0,0.431159
awgn,M4_adaptive,0.0,counting,test,0.4533,214,0.388,0.5202,975.8,15612.2,0.005415
awgn,M4_adaptive,0.0,comparison,test,0.8462,104,0.7646,0.903,1072.4,17159.1,0.005952
awgn,M4_adaptive,0.0,co_presence,test,0.6635,104,0.5683,0.747,945.6,15129.5,0.005248
awgn,M4_adaptive,0.0,threshold,test,0.6538,104,0.5584,0.7383,155119.3,1240954.4,0.430455
awgn,M4_adaptive,5.0,all,test,0.6848,936,0.6544,0.7138,107940.7,425140.2,0.14747
awgn,M4_adaptive,5.0,presence,test,0.7854,410,0.7431,0.8224,195759.2,761200.5,0.264041
awgn,M4_adaptive,5.0,counting,test,0.4533,214,0.388,0.5202,975.8,15612.2,0.005415
awgn,M4_adaptive,5.0,comparison,test,0.8462,104,0.7646,0.903,1072.4,17159.1,0.005952
awgn,M4_adaptive,5.0,co_presence,test,0.6635,104,0.5683,0.747,945.6,15129.5,0.005248
awgn,M4_adaptive,5.0,threshold,test,0.625,104,0.5291,0.712,195697.6,760961.2,0.263958
awgn,M4_adaptive,10.0,all,test,0.6806,936,0.65,0.7096,139795.3,329402.0,0.114261
awgn,M4_adaptive,10.0,presence,test,0.7756,410,0.7328,0.8133,253777.8,586865.8,0.203569
awgn,M4_adaptive,10.0,counting,test,0.4533,214,0.388,0.5202,975.8,15612.2,0.005415
