t_budget,conf_bin_lo,conf_bin_hi,n,mean_confidence,accuracy,gap
1,0.0,0.5,102,0.3586,0.8725,0.514
1,0.5,0.6,13,0.5755,0.9231,0.3476
1,0.6,0.7,191,0.6546,0.644,-0.0107
1,0.7,0.8,292,0.7463,0.5342,-0.2121
1,0.8,0.9,26,0.815,0.3462,-0.4689
16,0.0,0.5,152,0.3932,0.7566,0.3634
16,0.5,0.6,62,0.5555,0.7581,0.2026
16,0.6,0.7,200,0.6525,0.625,-0.0275
16,0.7,0.8,202,0.7466,0.5792,-0.1674
16,0.8,0.9,8,0.8136,0.5,-0.3136
2,0.0,0.5,120,0.3386,0.4083,0.0698
2,0.5,0.6,25,0.5802,0.72,0.1398
2,0.6,0.7,171,0.6595,0.6374,-0.0221
2,0.7,0.8,263,0.7505,0.5627,-0.1878
2,0.8,0.9,45,0.8106,0.4222,-0.3883
32,0.0,0.5,160,0.3798,0.6625,0.2827
32,0.5,0.6,67,0.5537,0.8358,0.2821
32,0.6,0.7,204,0.6518,0.6716,0.0198
32,0.7,0.8,182,0.7415,0.5824,-0.1591
32,0.8,0.9,11,0.8141,0.2727,-0.5414
4,0.0,0.5,119,0.3928,0.7815,0.3887
4,0.5,0.6,36,0.5686,0.6667,0.0981
4,0.6,0.7,182,0.6585,0.6264,-0.0321
4,0.7,0.8,255,0.7506,0.5804,-0.1703
4,0.8,0.9,32,0.8133,0.3125,-0.5008
8,0.0,0.5,123,0.402,0.8049,0.4029
8,0.5,0.6,56,0.5469,0.8214,0.2746
8,0.6,0.7,183,0.6577,0.6393,-0.0183
8,0.7,0.8,226,0.7485,0.5752,-0.1733
8,0.8,0.9,36,0.8125,0.2778,-0.5347
all,0.0,0.5,967,0.3783,0.698,0.3197
all,0.5,0.6,362,0.5571,0.7956,0.2385
all,0.6,0.7,1331,0.6546,0.6484,-0.0062
all,0.7,0.8,1548,0.7469,0.5627,-0.1842
all,0.8,0.9,160,0.8126,0.3438,-0.4688
full,0.0,0.5,191,0.3767,0.6492,0.2725
full,0.5,0.6,103,0.5538,0.8252,0.2714
full,0.6,0.7,200,0.649,0.69,0.041
full,0.7,0.8,128,0.7381,0.5156,-0.2225
full,0.8,0.9,2,0.8024,0.0,-0.8024
