channel,method,snr_db,upload_s,txside_s,inference_s,total_s
awgn,M1_image,-5.0,4.0124,0.0,0.5975,4.61
awgn,M3_token,-5.0,0.0146,0.0372,0.0372,0.0889
awgn,M4_adaptive,-5.0,1.7674,0.0127,0.4054,2.1855
awgn,M1_image,0.0,1.241,0.0,0.5971,1.8381
awgn,M3_token,0.0,0.0146,0.0372,0.0372,0.0889
awgn,M4_adaptive,0.0,0.6895,0.0127,0.4051,1.1073
awgn,M1_image,5.0,0.761,0.0,0.5979,1.3589
awgn,M3_token,5.0,0.0146,0.0372,0.0372,0.0889
awgn,M4_adaptive,5.0,0.4251,0.0127,0.4056,0.8435
awgn,M1_image,10.0,0.5866,0.0,0.5984,1.185
awgn,M3_token,10.0,0.0146,0.0372,0.0372,0.0889
awgn,M4_adaptive,10.0,0.3294,0.0127,0.4059,0.748
awgn,M1_image,15.0,0.4445,0.0,0.5984,1.0429
awgn,M3_token,15.0,0.0146,0.0372,0.0372,0.0889
awgn,M4_adaptive,15.0,0.2035,0.0127,0.4059,0.6222
awgn,M1_image,20.0,0.3383,0.0,0.5987,0.937
awgn,M3_token,20.0,0.0146,0.0372,0.0372,0.0889
awgn,M4_adaptive,20.0,0.157,0.0127,0.4061,0.5759
awgn,M2_analog,-5.0,0.3,0.0,0.0,0.3
awgn,M2_analog,0.0,0.3,0.0,0.0,0.3
awgn,M2_analog,5.0,0.3,0.0,0.0,0.3
awgn,M2_analog,10.0,0.3,0.0,0.0,0.3
awgn,M2_analog,15.0,0.3,0.0,0.0,0.3
awgn,M2_analog,20.0,0.3,0.0,0.0,0.3
awgn,M0_naive,-5.0,5.3209,0.0,0.5877,5.9086
awgn,M0_naive,0.0,5.3209,0.0,0.5884,5.9093
awgn,M0_naive,5.0,5.3209,0.0,0.5908,5.9116
awgn,M0_naive,10.0,5.3209,0.0,0.5913,5.9121
awgn,M0_naive,15.0,5.3209,0.0,0.5913,5.9121
awgn,M0_naive,20.0,5.3209,0.0,0.5911,5.912
rayleigh,M1_image,-5.0,3.7201,0.0,0.597,4.3171
rayleigh,M3_token,-5.0,0.0146,0.0373,0.0373,0.0892
rayleigh,M4_adaptive,-5.0,1.6443,0.0128,0.4051,2.0622
rayleigh,M1_image,0.0,1.6344,0.0,0.5975,2.2319
rayleigh,M3_token,0.0,0.0146,0.0373,0.0373,0.0891
rayleigh,M4_adaptive,0.0,0.9042,0.0128,0.4054,1.3223
rayleigh,M1_image,5.0,0.8311,0.0,0.5977,1.4288
rayleigh,M3_token,5.0,0.0146,0.0373,0.0373,0.0891
rayleigh,M4_adaptive,5.0,0.464,0.0128,0.4055,0.8823
rayleigh,M1_image,10.0,0.6421,0.0,0.5983,1.2404
rayleigh,M3_token,10.0,0.0146,0.0373,0.0373,0.0891
rayleigh,M4_adaptive,10.0,0.3597,0.0128,0.4059,0.7784
rayleigh,M1_image,15.0,0.5091,0.0,0.5985,1.1076
rayleigh,M3_token,15.0,0.0146,0.0373,0.0373,0.0891
rayleigh,M4_adaptive,15.0,0.2317,0.0128,0.406,0.6505
rayleigh,M1_image,20.0,0.3806,0.0,0.5985,0.9791
rayleigh,M3_token,20.0,0.0146,0.0373,0.0373,0.0891
rayleigh,M4_adaptive,20.0,0.1756,0.0128,0.406,0.5944
rayleigh,M2_analog,-5.0,0.3,0.0,0.0,0.3
rayleigh,M2_analog,0.0,0.3,0.0,0.0,0.3
rayleigh,M2_analog,5.0,0.3,0.0,0.0,0.3
rayleigh,M2_analog,10.0,0.3,0.0,0.0,0.3
rayleigh,M2_analog,15.0,0.3,0.0,0.0,0.3
rayleigh,M2_analog,20.0,0.3,0.0,0.0,0.3
rayleigh,M0_naive,-5.0,5.2828,0.0,0.5882,5.871
rayleigh,M0_naive,0.0,5.2828,0.0,0.5889,5.8718
rayleigh,M0_naive,5.0,5.2828,0.0,0.5902,5.8731
rayleigh,M0_naive,10.0,5.2828,0.0,0.5908,5.8736
rayleigh,M0_naive,15.0,5.2828,0.0,0.5909,5.8737
rayleigh,M0_naive,20.0,5.2828,0.0,0.591,5.8739
rician,M1_image,-5.0,4.123,0.0,0.5988,4.7218
rician,M3_token,-5.0,0.0146,0.0393,0.0393,0.0931
rician,M4_adaptive,-5.0,1.8159,0.0135,0.4069,2.2363
rician,M1_image,0.0,1.3703,0.0,0.5981,1.9685
rician,M3_token,0.0,0.0146,0.0393,0.0393,0.0931
rician,M4_adaptive,0.0,0.7581,0.0135,0.4065,1.1781
rician,M1_image,5.0,0.7838,0.0,0.5987,1.3825
rician,M3_token,5.0,0.0146,0.0393,0.0393,0.0931
rician,M4_adaptive,5.0,0.4379,0.0135,0.4068,0.8582
rician,M1_image,10.0,0.6074,0.0,0.5991,1.2065
rician,M3_token,10.0,0.0146,0.0393,0.0393,0.0931
rician,M4_adaptive,10.0,0.3407,0.0135,0.4071,0.7613
rician,M1_image,15.0,0.4679,0.0,0.5994,1.0673
rician,M3_token,15.0,0.0146,0.0393,0.0393,0.0931
rician,M4_adaptive,15.0,0.2137,0.0135,0.4073,0.6345
rician,M1_image,20.0,0.3527,0.0,0.5996,0.9523
rician,M3_token,20.0,0.0146,0.0393,0.0393,0.0931
rician,M4_adaptive,20.0,0.1634,0.0135,0.4074,0.5842
rician,M2_analog,-5.0,0.3,0.0,0.0,0.3
rician,M2_analog,0.0,0.3,0.0,0.0,0.3
rician,M2_analog,5.0,0.3,0.0,0.0,0.3
rician,M2_analog,10.0,0.3,0.0,0.0,0.3
rician,M2_analog,15.0,0.3,0.0,0.0,0.3
rician,M2_analog,20.0,0.3,0.0,0.0,0.3
rician,M0_naive,-5.0,5.3206,0.0,0.5882,5.9087
rician,M0_naive,0.0,5.3206,0.0,0.5894,5.91
rician,M0_naive,5.0,5.3206,0.0,0.5909,5.9115
rician,M0_naive,10.0,5.3206,0.0,0.5914,5.9119
rician,M0_naive,15.0,5.3206,0.0,0.5915,5.9121
rician,M0_naive,20.0,5.3206,0.0,0.5916,5.9122
