channel,snr_assumed_db,snr_true_db,qtype,accuracy,n,mean_payload_bytes,mean_channel_uses
awgn,-5.0,-5.0,all,0.6528,936,87690.2,1767382.8
awgn,-5.0,-5.0,co_presence,0.6635,104,945.6,15129.5
awgn,-5.0,-5.0,comparison,0.8462,104,1072.4,17159.1
awgn,-5.0,-5.0,counting,0.4533,214,975.8,15612.2
awgn,-5.0,-5.0,presence,0.7195,410,198929.9,4014636.9
awgn,-5.0,-5.0,threshold,0.5962,104,943.6,15097.5
awgn,-5.0,0.0,all,0.6677,936,68610.8,553303.6
awgn,-5.0,0.0,co_presence,0.6635,104,945.6,15129.5
awgn,-5.0,0.0,comparison,0.8462,104,1072.4,17159.1
awgn,-5.0,0.0,counting,0.4533,214,975.8,15612.2
awgn,-5.0,0.0,presence,0.7537,410,155372.9,1242983.0
awgn,-5.0,0.0,threshold,0.5962,104,943.6,15097.5
awgn,-5.0,5.0,all,0.6816,936,86301.4,342266.4
awgn,-5.0,5.0,co_presence,0.6635,104,945.6,15129.5
awgn,-5.0,5.0,comparison,0.8462,104,1072.4,17159.1
awgn,-5.0,5.0,counting,0.4533,214,975.8,15612.2
awgn,-5.0,5.0,presence,0.7854,410,195759.2,761200.5
awgn,-5.0,5.0,threshold,0.5962,104,943.6,15097.5
awgn,-5.0,10.0,all,0.6774,936,111715.5,265901.9
awgn,-5.0,10.0,co_presence,0.6635,104,945.6,15129.5
awgn,-5.0,10.0,comparison,0.8462,104,1072.4,17159.1
awgn,-5.0,10.0,counting,0.4533,214,975.8,15612.2
awgn,-5.0,10.0,presence,0.7756,410,253777.8,586865.8
awgn,-5.0,10.0,threshold,0.5962,104,943.6,15097.5
awgn,-5.0,15.0,all,0.6763,936,122905.2,203516.6
awgn,-5.0,15.0,co_presence,0.6635,104,945.6,15129.5
awgn,-5.0,15.0,comparison,0.8462,104,1072.4,17159.1
awgn,-5.0,15.0,counting,0.4533,214,975.8,15612.2
awgn,-5.0,15.0,presence,0.7732,410,279322.9,444444.9
awgn,-5.0,15.0,threshold,0.5962,104,943.6,15097.5
awgn,-5.0,20.0,all,0.6795,936,123894.9,157033.8
awgn,-5.0,20.0,co_presence,0.6635,104,945.6,15129.5
awgn,-5.0,20.0,comparison,0.8462,104,1072.4,17159.1
awgn,-5.0,20.0,counting,0.4533,214,975.8,15612.2
awgn,-5.0,20.0,presence,0.7805,410,281582.4,338327.9
awgn,-5.0,20.0,threshold,0.5962,104,943.6,15097.5
awgn,0.0,-5.0,all,0.6528,936,109676.5,2211529.4
awgn,0.0,-5.0,co_presence,0.6635,104,945.6,15129.5
awgn,0.0,-5.0,comparison,0.8462,104,1072.4,17159.1
awgn,0.0,-5.0,counting,0.4533,214,975.8,15612.2
awgn,0.0,-5.0,presence,0.7195,410,198929.9,4014636.9
awgn,0.0,-5.0,threshold,0.5962,104,198819.8,4012416.8
awgn,0.0,0.0,all,0.6741,936,85741.4,689510.0
awgn,0.0,0.0,co_presence,0.6635,104,945.6,15129.5
awgn,0.0,0.0,comparison,0.8462,104,1072.4,17159.1
awgn,0.0,0.0,counting,0.4533,214,975.8,15612.2
awgn,0.0,0.0,presence,0.7537,410,155372.9,1242983.0
awgn,0.0,0.0,threshold,0.6538,104,155119.3,1240954.4
awgn,0.0,5.0,all,0.6848,936,107940.7,425140.2
awgn,0.0,5.0,co_presence,0.6635,104,945.6,15129.5
awgn,0.0,5.0,comparison,0.8462,104,1072.4,17159.1
awgn,0.0,5.0,counting,0.4533,214,975.8,15612.2
awgn,0.0,5.0,presence,0.7854,410,195759.2,761200.5
awgn,0.0,5.0,threshold,0.625,104,195697.6,760961.2
awgn,0.0,10.0,all,0.6806,936,139795.3,329402.0
awgn,0.0,10.0,co_presence,0.6635,104,945.6,15129.5
awgn,0.0,10.0,comparison,0.8462,104,1072.4,17159.1
awgn,0.0,10.0,counting,0.4533,214,975.8,15612.2
awgn,0.0,10.0,presence,0.7756,410,253777.8,586865.8
awgn,0.0,10.0,threshold,0.625,104,253662.2,586598.5
awgn,0.0,15.0,all,0.6741,936,153841.0,251229.5
awgn,0.0,15.0,co_presence,0.6635,104,945.6,15129.5
awgn,0.0,15.0,comparison,0.8462,104,1072.4,17159.1
awgn,0.0,15.0,counting,0.4533,214,975.8,15612.2
awgn,0.0,15.0,presence,0.7732,410,279322.9,444444.9
awgn,0.0,15.0,threshold,0.5769,104,279365.9,444513.3
awgn,0.0,20.0,all,0.6784,936,155078.4,192950.0
awgn,0.0,20.0,co_presence,0.6635,104,945.6,15129.5
awgn,0.0,20.0,comparison,0.8462,104,1072.4,17159.1
awgn,0.0,20.0,counting,0.4533,214,975.8,15612.2
awgn,0.0,20.0,presence,0.7805,410,281582.4,338327.9
awgn,0.0,20.0,threshold,0.5865,104,281595.5,338343.7
awgn,5.0,-5.0,all,0.6528,936,109676.5,2211529.4
awgn,5.0,-5.0,co_presence,0.6635,104,945.6,15129.5
awgn,5.0,-5.0,comparison,0.8462,104,1072.4,17159.1
