channel,method,qtype,accuracy,n,mean_payload_bytes
awgn,M3_token,all,0.6346,5616,0.0
awgn,M1_image,all,0.6043,5616,0.0
awgn,M4_lut,all,0.6747,5616,111328.0
awgn,ML_persample,all,0.6832,5616,58133.4
awgn,M5_oracle,all,0.7472,5616,0.0
awgn,delta_ml_vs_lut,presence,0.0179,2460,0
awgn,delta_ml_vs_lut,counting,0.0117,1284,0
awgn,delta_ml_vs_lut,comparison,-0.008,624,0
awgn,delta_ml_vs_lut,co_presence,-0.0064,624,0
awgn,delta_ml_vs_lut,threshold,-0.0032,624,0
rayleigh,M3_token,all,0.6339,5616,0.0
rayleigh,M1_image,all,0.6015,5616,0.0
rayleigh,M4_lut,all,0.669,5616,107067.9
rayleigh,ML_persample,all,0.6804,5616,55634.8
rayleigh,M5_oracle,all,0.7455,5616,0.0
rayleigh,delta_ml_vs_lut,presence,0.0244,2460,0
rayleigh,delta_ml_vs_lut,counting,0.0125,1284,0
rayleigh,delta_ml_vs_lut,comparison,-0.008,624,0
rayleigh,delta_ml_vs_lut,co_presence,-0.0048,624,0
rayleigh,delta_ml_vs_lut,threshold,-0.0064,624,0
rician,M3_token,all,0.6339,5616,0.0
rician,M1_image,all,0.6063,5616,0.0
rician,M4_lut,all,0.6727,5616,109856.7
rician,ML_persample,all,0.6798,5616,59509.9
rician,M5_oracle,all,0.745,5616,0.0
rician,delta_ml_vs_lut,presence,0.0146,2460,0
rician,delta_ml_vs_lut,counting,0.0125,1284,0
rician,delta_ml_vs_lut,comparison,-0.0064,624,0
rician,delta_ml_vs_lut,co_presence,-0.0064,624,0
rician,delta_ml_vs_lut,threshold,-0.0064,624,0
