qtype,service,method,snr_db,accuracy,lcb,ucb,mean_payload_bytes,mean_payload_kb,mean_channel_uses,cbr
all,s2_image,M1_image,-5.0,0.5769,0.5317,0.6209,196484.0,191.879,4108541.2,1.425147
all,s2_image,M1_image,0.0,0.594,0.5489,0.6376,165601.7,161.720,1410081.4,0.489121
all,s2_image,M1_image,5.0,0.6068,0.5619,0.6501,193593.1,189.056,811617.4,0.281529
all,s2_image,M1_image,10.0,0.6068,0.5619,0.6501,240164.0,234.535,595544.4,0.206579
all,s2_image,M1_image,15.0,0.594,0.5489,0.6376,271335.4,264.976,457416.6,0.158666
all,s2_image,M1_image,20.0,0.5791,0.5339,0.623,277217.2,270.720,349020.1,0.121066
all,s1_token,M3_token,-5.0,0.6709,0.6271,0.712,943.1,0.921,15090.4,0.005234
all,s1_token,M3_token,0.0,0.6709,0.6271,0.712,943.1,0.921,15089.8,0.005234
all,s1_token,M3_token,5.0,0.6709,0.6271,0.712,943.0,0.921,15088.7,0.005234
all,s1_token,M3_token,10.0,0.6709,0.6271,0.712,943.0,0.921,15088.7,0.005234
all,s1_token,M3_token,15.0,0.6709,0.6271,0.712,943.0,0.921,15088.7,0.005234
all,s1_token,M3_token,20.0,0.6709,0.6271,0.712,943.0,0.921,15088.7,0.005234
all,s3_roi,M6_roi,-5.0,0.5833,0.5382,0.6271,11419.6,11.152,238788.0,0.082829
all,s3_roi,M6_roi,0.0,0.5791,0.5339,0.623,16682.8,16.292,142052.1,0.049274
all,s3_roi,M6_roi,5.0,0.5726,0.5274,0.6167,21447.9,20.945,89917.8,0.03119
all,s3_roi,M6_roi,10.0,0.5684,0.5231,0.6125,28183.5,27.523,69887.9,0.024242
all,s3_roi,M6_roi,15.0,0.5769,0.5317,0.6209,38625.7,37.720,65115.1,0.022587
all,s3_roi,M6_roi,20.0,0.562,0.5167,0.6062,70289.4,68.642,88495.2,0.030697
presence,s2_image,M1_image,-5.0,0.6731,0.5782,0.7557,195103.3,190.531,4079669.5,1.415132
presence,s2_image,M1_image,0.0,0.7308,0.6384,0.8067,174936.0,170.836,1489562.0,0.516691
presence,s2_image,M1_image,5.0,0.7115,0.6182,0.7898,206862.8,202.014,867249.4,0.300826
presence,s2_image,M1_image,10.0,0.7212,0.6283,0.7983,230596.3,225.192,571819.0,0.198349
presence,s2_image,M1_image,15.0,0.75,0.6589,0.8233,258852.0,252.785,436372.1,0.151366
presence,s2_image,M1_image,20.0,0.7596,0.6692,0.8315,271346.4,264.987,341628.7,0.118502
presence,s1_token,M3_token,-5.0,0.7115,0.6182,0.7898,802.5,0.784,12840.2,0.004454
presence,s1_token,M3_token,0.0,0.7115,0.6182,0.7898,802.5,0.784,12840.2,0.004454
presence,s1_token,M3_token,5.0,0.7115,0.6182,0.7898,802.5,0.784,12840.2,0.004454
presence,s1_token,M3_token,10.0,0.7115,0.6182,0.7898,802.5,0.784,12840.2,0.004454
presence,s1_token,M3_token,15.0,0.7115,0.6182,0.7898,802.5,0.784,12840.2,0.004454
presence,s1_token,M3_token,20.0,0.7115,0.6182,0.7898,802.5,0.784,12840.2,0.004454
presence,s3_roi,M6_roi,-5.0,0.7019,0.6081,0.7814,6239.1,6.093,130462.2,0.045254
presence,s3_roi,M6_roi,0.0,0.7115,0.6182,0.7898,9134.2,8.920,77776.9,0.026979
presence,s3_roi,M6_roi,5.0,0.7212,0.6283,0.7983,11709.7,11.435,49091.4,0.017029
presence,s3_roi,M6_roi,10.0,0.7212,0.6283,0.7983,15226.7,14.870,37758.2,0.013097
presence,s3_roi,M6_roi,15.0,0.7115,0.6182,0.7898,20683.5,20.199,34868.2,0.012095
presence,s3_roi,M6_roi,20.0,0.7308,0.6384,0.8067,38636.6,37.731,48644.0,0.016873
