scenario,policy,metric_group,dimension,category,service_level,count,ratio,mean,std,min,p25,median,p75,max,notes
nominal_patrol,proposed_ppo,distribution,question_type,counting,,864,0.480000,,,,,,,,
nominal_patrol,proposed_ppo,distribution,question_type,presence,,936,0.520000,,,,,,,,
nominal_patrol,proposed_ppo,distribution,risk_level,critical,,1418,0.787778,,,,,,,,
nominal_patrol,proposed_ppo,distribution,risk_level,normal,,382,0.212222,,,,,,,,
nominal_patrol,proposed_ppo,distribution,snr_bin,-5dB,,661,0.367222,,,,,,,,
nominal_patrol,proposed_ppo,distribution,snr_bin,20dB,,1139,0.632778,,,,,,,,
nominal_patrol,proposed_ppo,distribution,view_quality_bin,good,,215,0.119444,,,,,,,,
nominal_patrol,proposed_ppo,distribution,view_quality_bin,medium,,1585,0.880556,,,,,,,,
nominal_patrol,proposed_ppo,distribution,freshness_bin,expired,,1206,0.670000,,,,,,,,
nominal_patrol,proposed_ppo,distribution,freshness_bin,fresh,,292,0.162222,,,,,,,,
nominal_patrol,proposed_ppo,distribution,freshness_bin,stale,,302,0.167778,,,,,,,,
nominal_patrol,proposed_ppo,distribution,service_level,0,,661,0.367222,,,,,,,,
nominal_patrol,proposed_ppo,distribution,service_level,1,,811,0.450556,,,,,,,,
nominal_patrol,proposed_ppo,distribution,service_level,2,,328,0.182222,,,,,,,,
nominal_patrol,proposed_ppo,numeric_summary,epsilon_k_estimated,_epsilon_est,,1800,,0.772567,0.065331,0.580000,0.760000,0.760000,0.820000,0.820000,Failed rows use exact LCB+gap; successful rows use scenario risk floor because epsilon_k is not persisted in rollout CSV.
nominal_patrol,proposed_ppo,numeric_summary,failed_quality_gap_only,semantic_quality_gap,,1254,,0.267364,0.164698,0.009935,0.059048,0.315574,0.404775,0.520263,Rows with semantic_quality_gap>0; exact shortfall against epsilon_k.
nominal_patrol,always_cache,service_semantic_utility,semantic_accuracy_mean,s=0,0,1800,1.000000,0.432735,0.222469,0.230769,0.230769,0.230769,0.615385,0.846154,
nominal_patrol,always_cache,service_semantic_utility,semantic_accuracy_lcb,s=0,0,1800,1.000000,0.339639,0.209274,0.151254,0.151254,0.151254,0.504426,0.750065,
nominal_patrol,always_cache,service_semantic_utility,semantic_uncertainty,s=0,0,1800,1.000000,0.373604,0.007318,0.357190,0.369503,0.369503,0.382893,0.382893,
nominal_patrol,always_cache,service_semantic_utility,semantic_sample_count,s=0,0,1800,1.000000,13.000000,0.000000,13.000000,13.000000,13.000000,13.000000,13.000000,
nominal_patrol,always_cache,service_semantic_utility,semantic_payload_kb,s=0,0,1800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
nominal_patrol,always_cache,service_semantic_utility,semantic_quality_gap,s=0,0,1800,1.000000,0.449628,0.213038,0.009935,0.255574,0.608746,0.668746,0.668746,
nominal_patrol,always_cache,service_semantic_utility,delay_s,s=0,0,1800,1.000000,0.184914,0.048807,0.147663,0.150774,0.161535,0.200717,0.362602,
nominal_patrol,always_cache,service_semantic_utility,energy_j,s=0,0,1800,1.000000,7.850000,0.000000,7.850000,7.850000,7.850000,7.850000,7.850000,
nominal_patrol,always_cache,service_event_rate,semantic_success,s=0,0,1800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
nominal_patrol,always_cache,service_event_rate,success,s=0,0,1800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
nominal_patrol,always_cache,service_event_rate,quality_violation,s=0,0,1800,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,
nominal_patrol,always_cache,service_event_rate,deadline_violation,s=0,0,1800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
nominal_patrol,always_cache,service_event_rate,utm_conflict_violation,s=0,0,1800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
nominal_patrol,always_cache,service_event_rate,resource_violation,s=0,0,1800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
nominal_patrol,always_cache,service_semantic_utility,selected_service_level,s=1,1,0,0.000000,,,,,,,,not selected by this policy in available rollout rows
nominal_patrol,always_cache,service_semantic_utility,selected_service_level,s=2,2,0,0.000000,,,,,,,,not selected by this policy in available rollout rows
nominal_patrol,always_semantic_token,service_semantic_utility,selected_service_level,s=0,0,0,0.000000,,,,,,,,not selected by this policy in available rollout rows
nominal_patrol,always_semantic_token,service_semantic_utility,semantic_accuracy_mean,s=1,1,1800,1.000000,0.732190,0.167268,0.615385,0.615385,0.615385,0.900000,1.000000,
nominal_patrol,always_semantic_token,service_semantic_utility,semantic_accuracy_lcb,s=1,1,1800,1.000000,0.494877,0.195689,0.355225,0.355225,0.355225,0.771898,0.791011,
nominal_patrol,always_semantic_token,service_semantic_utility,semantic_uncertainty,s=1,1,1800,1.000000,0.415352,0.071229,0.182008,0.391401,0.454021,0.454021,0.454021,
nominal_patrol,always_semantic_token,service_semantic_utility,semantic_sample_count,s=1,1,1800,1.000000,17.827778,15.444571,13.000000,13.000000,13.000000,13.000000,87.000000,
nominal_patrol,always_semantic_token,service_semantic_utility,semantic_payload_kb,s=1,1,1800,1.000000,1.142354,0.132902,0.740326,1.188101,1.188401,1.188401,1.188401,
nominal_patrol,always_semantic_token,service_semantic_utility,semantic_quality_gap,s=1,1,1800,1.000000,0.303927,0.193342,0.000000,0.048102,0.404775,0.464775,0.464775,
nominal_patrol,always_semantic_token,service_semantic_utility,delay_s,s=1,1,1800,1.000000,3.200710,2.666710,0.709946,0.725106,2.646751,4.752159,13.189419,
nominal_patrol,always_semantic_token,service_semantic_utility,energy_j,s=1,1,1800,1.000000,407.329177,398.220340,34.896532,34.896577,323.578668,645.604338,1887.466023,
nominal_patrol,always_semantic_token,service_event_rate,semantic_success,s=1,1,1800,1.000000,0.105556,0.307268,0.000000,0.000000,0.000000,0.000000,1.000000,
nominal_patrol,always_semantic_token,service_event_rate,success,s=1,1,1800,1.000000,0.061111,0.239534,0.000000,0.000000,0.000000,0.000000,1.000000,
nominal_patrol,always_semantic_token,service_event_rate,quality_violation,s=1,1,1800,1.000000,0.894444,0.307268,0.000000,1.000000,1.000000,1.000000,1.000000,
nominal_patrol,always_semantic_token,service_event_rate,deadline_violation,s=1,1,1800,1.000000,0.358333,0.479511,0.000000,0.000000,0.000000,1.000000,1.000000,
nominal_patrol,always_semantic_token,service_event_rate,utm_conflict_violation,s=1,1,1800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
nominal_patrol,always_semantic_token,service_event_rate,resource_violation,s=1,1,1800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
nominal_patrol,always_semantic_token,service_semantic_utility,selected_service_level,s=2,2,0,0.000000,,,,,,,,not selected by this policy in available rollout rows
nominal_patrol,always_image,service_semantic_utility,selected_service_level,s=0,0,0,0.000000,,,,,,,,not selected by this policy in available rollout rows
nominal_patrol,always_image,service_semantic_utility,selected_service_level,s=1,1,0,0.000000,,,,,,,,not selected by this policy in available rollout rows
