channel,service,snr_db,traffic_class,sigma_band,upload_airtime_s,queue_wait_W_s,T4_comm_mean_s,load,c2_mode,comm_latency_s,T4_mean_s,T4_s,d_TC_m,d_TC_default_m,rel_capacity,N_ref_illustrative
awgn,M1_image,-5.0,SAIL I-II,0,4.0124,2.1399,3.9399,peak,shared,4.0124,9.96,9.96,254.43,228.75,0.8991,4.407
awgn,M1_image,-5.0,SAIL I-II,1,4.0124,2.1399,3.9399,peak,shared,4.0124,9.96,14.197,325.3,299.62,0.9211,4.491
awgn,M1_image,-5.0,SAIL I-II,2,4.0124,2.1399,3.9399,peak,shared,4.0124,9.96,18.434,396.17,370.49,0.9352,4.544
awgn,M3_token,-5.0,SAIL I-II,0,0.0146,0.0078,1.8078,peak,shared,0.0518,7.828,7.828,228.84,228.75,0.9996,4.788
awgn,M3_token,-5.0,SAIL I-II,1,0.0146,0.0078,1.8078,peak,shared,0.0518,7.828,12.065,299.71,299.62,0.9997,4.789
awgn,M3_token,-5.0,SAIL I-II,2,0.0146,0.0078,1.8078,peak,shared,0.0518,7.828,16.301,370.58,370.49,0.9997,4.789
awgn,M4_adaptive,-5.0,SAIL I-II,0,1.7674,0.9426,2.7426,peak,shared,1.7801,8.763,8.763,240.06,228.75,0.9529,4.611
awgn,M4_adaptive,-5.0,SAIL I-II,1,1.7674,0.9426,2.7426,peak,shared,1.7801,8.763,12.999,310.93,299.62,0.9636,4.652
awgn,M4_adaptive,-5.0,SAIL I-II,2,1.7674,0.9426,2.7426,peak,shared,1.7801,8.763,17.236,381.8,370.49,0.9704,4.678
awgn,M1_image,0.0,SAIL I-II,0,1.241,0.6619,2.4619,peak,shared,1.241,8.482,8.482,236.69,228.75,0.9664,4.663
awgn,M1_image,0.0,SAIL I-II,1,1.241,0.6619,2.4619,peak,shared,1.241,8.482,12.719,307.56,299.62,0.9742,4.692
awgn,M1_image,0.0,SAIL I-II,2,1.241,0.6619,2.4619,peak,shared,1.241,8.482,16.955,378.43,370.49,0.979,4.71
awgn,M3_token,0.0,SAIL I-II,0,0.0146,0.0078,1.8078,peak,shared,0.0518,7.828,7.828,228.84,228.75,0.9996,4.788
