channel,service,snr_db,traffic_class,sigma_band,upload_airtime_s,queue_wait_W_s,T4_comm_mean_s,load,c2_mode,comm_latency_s,T4_mean_s,T4_s,d_TC_m,d_TC_default_m,rel_capacity,N_ref_illustrative
rayleigh,M1_image,-5.0,SAIL I-II,0,3.7201,0.7832,2.5832,nominal,dedicated,3.7201,8.603,8.603,238.14,228.75,0.9605,4.64
rayleigh,M1_image,-5.0,SAIL I-II,1,3.7201,0.7832,2.5832,nominal,dedicated,3.7201,8.603,12.84,309.01,299.62,0.9696,4.675
rayleigh,M1_image,-5.0,SAIL I-II,2,3.7201,0.7832,2.5832,nominal,dedicated,3.7201,8.603,17.077,379.88,370.49,0.9753,4.696
rayleigh,M3_token,-5.0,SAIL I-II,0,0.014,0.0029,1.8029,nominal,dedicated,0.0513,7.823,7.823,228.78,228.75,0.9998,4.789
rayleigh,M3_token,-5.0,SAIL I-II,1,0.014,0.0029,1.8029,nominal,dedicated,0.0513,7.823,12.06,299.65,299.62,0.9999,4.79
rayleigh,M3_token,-5.0,SAIL I-II,2,0.014,0.0029,1.8029,nominal,dedicated,0.0513,7.823,16.297,370.52,370.49,0.9999,4.79
rayleigh,M4_adaptive,-5.0,SAIL I-II,0,2.4586,0.5176,2.3176,nominal,dedicated,2.4714,8.338,8.338,234.96,228.75,0.9736,4.69
rayleigh,M4_adaptive,-5.0,SAIL I-II,1,2.4586,0.5176,2.3176,nominal,dedicated,2.4714,8.338,12.574,305.83,299.62,0.9797,4.713
rayleigh,M4_adaptive,-5.0,SAIL I-II,2,2.4586,0.5176,2.3176,nominal,dedicated,2.4714,8.338,16.811,376.7,370.49,0.9835,4.728
rayleigh,M1_image,0.0,SAIL I-II,0,1.6344,0.3441,2.1441,nominal,dedicated,1.6344,8.164,8.164,232.87,228.75,0.9823,4.723
rayleigh,M1_image,0.0,SAIL I-II,1,1.6344,0.3441,2.1441,nominal,dedicated,1.6344,8.164,12.401,303.74,299.62,0.9864,4.738
rayleigh,M1_image,0.0,SAIL I-II,2,1.6344,0.3441,2.1441,nominal,dedicated,1.6344,8.164,16.638,374.61,370.49,0.989,4.748
rayleigh,M3_token,0.0,SAIL I-II,0,0.0139,0.0029,1.8029,nominal,dedicated,0.0512,7.823,7.823,228.78,228.75,0.9998,4.789
rayleigh,M3_token,0.0,SAIL I-II,1,0.0139,0.0029,1.8029,nominal,dedicated,0.0512,7.823,12.06,299.65,299.62,0.9999,4.79
rayleigh,M3_token,0.0,SAIL I-II,2,0.0139,0.0029,1.8029,nominal,dedicated,0.0512,7.823,16.297,370.52,370.49,0.9999,4.79
rayleigh,M4_adaptive,0.0,SAIL I-II,0,1.0785,0.2271,2.0271,nominal,dedicated,1.0913,8.047,8.047,231.47,228.75,0.9882,4.745
rayleigh,M4_adaptive,0.0,SAIL I-II,1,1.0785,0.2271,2.0271,nominal,dedicated,1.0913,8.047,12.284,302.34,299.62,0.991,4.756
rayleigh,M4_adaptive,0.0,SAIL I-II,2,1.0785,0.2271,2.0271,nominal,dedicated,1.0913,8.047,16.521,373.21,370.49,0.9927,4.762
rayleigh,M1_image,5.0,SAIL I-II,0,0.8311,0.175,1.975,nominal,dedicated,0.8311,7.995,7.995,230.85,228.75,0.9909,4.756
rayleigh,M1_image,5.0,SAIL I-II,1,0.8311,0.175,1.975,nominal,dedicated,0.8311,7.995,12.232,301.72,299.62,0.993,4.764
rayleigh,M1_image,5.0,SAIL I-II,2,0.8311,0.175,1.975,nominal,dedicated,0.8311,7.995,16.469,372.59,370.49,0.9944,4.769
rayleigh,M3_token,5.0,SAIL I-II,0,0.0139,0.0029,1.8029,nominal,dedicated,0.0512,7.823,7.823,228.78,228.75,0.9998,4.789
rayleigh,M3_token,5.0,SAIL I-II,1,0.0139,0.0029,1.8029,nominal,dedicated,0.0512,7.823,12.06,299.65,299.62,0.9999,4.79
rayleigh,M3_token,5.0,SAIL I-II,2,0.0139,0.0029,1.8029,nominal,dedicated,0.0512,7.823,16.297,370.52,370.49,0.9999,4.79
rayleigh,M4_adaptive,5.0,SAIL I-II,0,0.5521,0.1162,1.9162,nominal,dedicated,0.5649,7.936,7.936,230.14,228.75,0.9939,4.767
rayleigh,M4_adaptive,5.0,SAIL I-II,1,0.5521,0.1162,1.9162,nominal,dedicated,0.5649,7.936,12.173,301.01,299.62,0.9954,4.772
rayleigh,M4_adaptive,5.0,SAIL I-II,2,0.5521,0.1162,1.9162,nominal,dedicated,0.5649,7.936,16.41,371.88,370.49,0.9962,4.776
rayleigh,M1_image,10.0,SAIL I-II,0,0.6421,0.1352,1.9352,nominal,dedicated,0.6421,7.955,7.955,230.37,228.75,0.993,4.763
rayleigh,M1_image,10.0,SAIL I-II,1,0.6421,0.1352,1.9352,nominal,dedicated,0.6421,7.955,12.192,301.24,299.62,0.9946,4.77
rayleigh,M1_image,10.0,SAIL I-II,2,0.6421,0.1352,1.9352,nominal,dedicated,0.6421,7.955,16.429,372.11,370.49,0.9956,4.773
rayleigh,M3_token,10.0,SAIL I-II,0,0.0139,0.0029,1.8029,nominal,dedicated,0.0512,7.823,7.823,228.78,228.75,0.9998,4.789
rayleigh,M3_token,10.0,SAIL I-II,1,0.0139,0.0029,1.8029,nominal,dedicated,0.0512,7.823,12.06,299.65,299.62,0.9999,4.79
rayleigh,M3_token,10.0,SAIL I-II,2,0.0139,0.0029,1.8029,nominal,dedicated,0.0512,7.823,16.297,370.52,370.49,0.9999,4.79
rayleigh,M4_adaptive,10.0,SAIL I-II,0,0.4272,0.0899,1.8899,nominal,dedicated,0.44,7.91,7.91,229.82,228.75,0.9953,4.772
rayleigh,M4_adaptive,10.0,SAIL I-II,1,0.4272,0.0899,1.8899,nominal,dedicated,0.44,7.91,12.147,300.7,299.62,0.9964,4.776
rayleigh,M4_adaptive,10.0,SAIL I-II,2,0.4272,0.0899,1.8899,nominal,dedicated,0.44,7.91,16.384,371.57,370.49,0.9971,4.779
rayleigh,M1_image,15.0,SAIL I-II,0,0.5091,0.1072,1.9072,nominal,dedicated,0.5091,7.927,7.927,230.03,228.75,0.9944,4.769
rayleigh,M1_image,15.0,SAIL I-II,1,0.5091,0.1072,1.9072,nominal,dedicated,0.5091,7.927,12.164,300.9,299.62,0.9957,4.774
rayleigh,M1_image,15.0,SAIL I-II,2,0.5091,0.1072,1.9072,nominal,dedicated,0.5091,7.927,16.401,371.77,370.49,0.9965,4.777
