channel,service,snr_db,traffic_class,sigma_band,upload_airtime_s,queue_wait_W_s,T4_comm_mean_s,load,c2_mode,comm_latency_s,T4_mean_s,T4_s,d_TC_m,d_TC_default_m,rel_capacity,N_ref_illustrative
rayleigh,M1_image,-5.0,SAIL I-II,0,3.7201,0.93,2.73,nominal,shared,3.7201,8.75,8.75,239.91,228.75,0.9535,4.614
rayleigh,M1_image,-5.0,SAIL I-II,1,3.7201,0.93,2.73,nominal,shared,3.7201,8.75,12.987,310.78,299.62,0.9641,4.654
rayleigh,M1_image,-5.0,SAIL I-II,2,3.7201,0.93,2.73,nominal,shared,3.7201,8.75,17.224,381.65,370.49,0.9708,4.679
rayleigh,M3_token,-5.0,SAIL I-II,0,0.014,0.0035,1.8035,nominal,shared,0.0513,7.824,7.824,228.79,228.75,0.9998,4.789
rayleigh,M3_token,-5.0,SAIL I-II,1,0.014,0.0035,1.8035,nominal,shared,0.0513,7.824,12.06,299.66,299.62,0.9999,4.789
rayleigh,M3_token,-5.0,SAIL I-II,2,0.014,0.0035,1.8035,nominal,shared,0.0513,7.824,16.297,370.53,370.49,0.9999,4.79
rayleigh,M4_adaptive,-5.0,SAIL I-II,0,2.4586,0.6146,2.4146,nominal,shared,2.4714,8.435,8.435,236.12,228.75,0.9688,4.672
rayleigh,M4_adaptive,-5.0,SAIL I-II,1,2.4586,0.6146,2.4146,nominal,shared,2.4714,8.435,12.671,306.99,299.62,0.976,4.699
rayleigh,M4_adaptive,-5.0,SAIL I-II,2,2.4586,0.6146,2.4146,nominal,shared,2.4714,8.435,16.908,377.86,370.49,0.9805,4.716
rayleigh,M1_image,0.0,SAIL I-II,0,1.6344,0.4086,2.2086,nominal,shared,1.6344,8.229,8.229,233.65,228.75,0.979,4.71
rayleigh,M1_image,0.0,SAIL I-II,1,1.6344,0.4086,2.2086,nominal,shared,1.6344,8.229,12.465,304.52,299.62,0.9839,4.729
rayleigh,M1_image,0.0,SAIL I-II,2,1.6344,0.4086,2.2086,nominal,shared,1.6344,8.229,16.702,375.39,370.49,0.9869,4.74
rayleigh,M3_token,0.0,SAIL I-II,0,0.0139,0.0035,1.8035,nominal,shared,0.0512,7.823,7.823,228.79,228.75,0.9998,4.789
rayleigh,M3_token,0.0,SAIL I-II,1,0.0139,0.0035,1.8035,nominal,shared,0.0512,7.823,12.06,299.66,299.62,0.9999,4.789
rayleigh,M3_token,0.0,SAIL I-II,2,0.0139,0.0035,1.8035,nominal,shared,0.0512,7.823,16.297,370.53,370.49,0.9999,4.79
rayleigh,M4_adaptive,0.0,SAIL I-II,0,1.0785,0.2696,2.0696,nominal,shared,1.0913,8.09,8.09,231.98,228.75,0.9861,4.737
rayleigh,M4_adaptive,0.0,SAIL I-II,1,1.0785,0.2696,2.0696,nominal,shared,1.0913,8.09,12.326,302.85,299.62,0.9893,4.75
rayleigh,M4_adaptive,0.0,SAIL I-II,2,1.0785,0.2696,2.0696,nominal,shared,1.0913,8.09,16.563,373.72,370.49,0.9913,4.757
rayleigh,M1_image,5.0,SAIL I-II,0,0.8311,0.2078,2.0078,nominal,shared,0.8311,8.028,8.028,231.24,228.75,0.9892,4.749
rayleigh,M1_image,5.0,SAIL I-II,1,0.8311,0.2078,2.0078,nominal,shared,0.8311,8.028,12.265,302.11,299.62,0.9917,4.759
rayleigh,M1_image,5.0,SAIL I-II,2,0.8311,0.2078,2.0078,nominal,shared,0.8311,8.028,16.501,372.98,370.49,0.9933,4.765
rayleigh,M3_token,5.0,SAIL I-II,0,0.0139,0.0035,1.8035,nominal,shared,0.0512,7.823,7.823,228.79,228.75,0.9998,4.789
rayleigh,M3_token,5.0,SAIL I-II,1,0.0139,0.0035,1.8035,nominal,shared,0.0512,7.823,12.06,299.66,299.62,0.9999,4.789
rayleigh,M3_token,5.0,SAIL I-II,2,0.0139,0.0035,1.8035,nominal,shared,0.0512,7.823,16.297,370.53,370.49,0.9999,4.79
rayleigh,M4_adaptive,5.0,SAIL I-II,0,0.5521,0.138,1.938,nominal,shared,0.5649,7.958,7.958,230.4,228.75,0.9928,4.763
rayleigh,M4_adaptive,5.0,SAIL I-II,1,0.5521,0.138,1.938,nominal,shared,0.5649,7.958,12.195,301.27,299.62,0.9945,4.769
rayleigh,M4_adaptive,5.0,SAIL I-II,2,0.5521,0.138,1.938,nominal,shared,0.5649,7.958,16.432,372.14,370.49,0.9955,4.773
rayleigh,M1_image,10.0,SAIL I-II,0,0.6421,0.1605,1.9605,nominal,shared,0.6421,7.981,7.981,230.67,228.75,0.9916,4.758
rayleigh,M1_image,10.0,SAIL I-II,1,0.6421,0.1605,1.9605,nominal,shared,0.6421,7.981,12.217,301.54,299.62,0.9936,4.766
