channel,service,snr_db,traffic_class,sigma_band,upload_airtime_s,queue_wait_W_s,T4_comm_mean_s,load,c2_mode,comm_latency_s,T4_mean_s,T4_s,d_TC_m,d_TC_default_m,rel_capacity,N_ref_illustrative
rayleigh,M1_image,-5.0,SAIL I-II,0,3.7201,1.4349,3.2349,peak,dedicated,3.7201,9.255,9.255,245.96,228.75,0.93,4.525
rayleigh,M1_image,-5.0,SAIL I-II,1,3.7201,1.4349,3.2349,peak,dedicated,3.7201,9.255,13.492,316.83,299.62,0.9457,4.584
rayleigh,M1_image,-5.0,SAIL I-II,2,3.7201,1.4349,3.2349,peak,dedicated,3.7201,9.255,17.728,387.7,370.49,0.9556,4.622
rayleigh,M3_token,-5.0,SAIL I-II,0,0.014,0.0054,1.8054,peak,dedicated,0.0513,7.825,7.825,228.81,228.75,0.9997,4.789
rayleigh,M3_token,-5.0,SAIL I-II,1,0.014,0.0054,1.8054,peak,dedicated,0.0513,7.825,12.062,299.68,299.62,0.9998,4.789
rayleigh,M3_token,-5.0,SAIL I-II,2,0.014,0.0054,1.8054,peak,dedicated,0.0513,7.825,16.299,370.55,370.49,0.9998,4.789
rayleigh,M4_adaptive,-5.0,SAIL I-II,0,2.4586,0.9483,2.7483,peak,dedicated,2.4714,8.768,8.768,240.13,228.75,0.9526,4.61
rayleigh,M4_adaptive,-5.0,SAIL I-II,1,2.4586,0.9483,2.7483,peak,dedicated,2.4714,8.768,13.005,311.0,299.62,0.9634,4.651
rayleigh,M4_adaptive,-5.0,SAIL I-II,2,2.4586,0.9483,2.7483,peak,dedicated,2.4714,8.768,17.242,381.87,370.49,0.9702,4.677
rayleigh,M1_image,0.0,SAIL I-II,0,1.6344,0.6304,2.4304,peak,dedicated,1.6344,8.45,8.45,236.31,228.75,0.968,4.669
rayleigh,M1_image,0.0,SAIL I-II,1,1.6344,0.6304,2.4304,peak,dedicated,1.6344,8.45,12.687,307.18,299.62,0.9754,4.697
rayleigh,M1_image,0.0,SAIL I-II,2,1.6344,0.6304,2.4304,peak,dedicated,1.6344,8.45,16.924,378.05,370.49,0.98,4.714
rayleigh,M3_token,0.0,SAIL I-II,0,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,7.825,228.81,228.75,0.9997,4.789
rayleigh,M3_token,0.0,SAIL I-II,1,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,12.062,299.68,299.62,0.9998,4.789
rayleigh,M3_token,0.0,SAIL I-II,2,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,16.299,370.55,370.49,0.9998,4.789
rayleigh,M4_adaptive,0.0,SAIL I-II,0,1.0785,0.416,2.216,peak,dedicated,1.0913,8.236,8.236,233.74,228.75,0.9786,4.709
rayleigh,M4_adaptive,0.0,SAIL I-II,1,1.0785,0.416,2.216,peak,dedicated,1.0913,8.236,12.473,304.61,299.62,0.9836,4.728
rayleigh,M4_adaptive,0.0,SAIL I-II,2,1.0785,0.416,2.216,peak,dedicated,1.0913,8.236,16.71,375.48,370.49,0.9867,4.74
rayleigh,M1_image,5.0,SAIL I-II,0,0.8311,0.3206,2.1206,peak,dedicated,0.8311,8.141,8.141,232.59,228.75,0.9835,4.727
rayleigh,M1_image,5.0,SAIL I-II,1,0.8311,0.3206,2.1206,peak,dedicated,0.8311,8.141,12.377,303.46,299.62,0.9873,4.742
rayleigh,M1_image,5.0,SAIL I-II,2,0.8311,0.3206,2.1206,peak,dedicated,0.8311,8.141,16.614,374.33,370.49,0.9897,4.751
rayleigh,M3_token,5.0,SAIL I-II,0,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,7.825,228.81,228.75,0.9997,4.789
rayleigh,M3_token,5.0,SAIL I-II,1,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,12.062,299.68,299.62,0.9998,4.789
rayleigh,M3_token,5.0,SAIL I-II,2,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,16.299,370.55,370.49,0.9998,4.789
rayleigh,M4_adaptive,5.0,SAIL I-II,0,0.5521,0.213,2.013,peak,dedicated,0.5649,8.033,8.033,231.3,228.75,0.989,4.748
rayleigh,M4_adaptive,5.0,SAIL I-II,1,0.5521,0.213,2.013,peak,dedicated,0.5649,8.033,12.27,302.17,299.62,0.9915,4.758
rayleigh,M4_adaptive,5.0,SAIL I-II,2,0.5521,0.213,2.013,peak,dedicated,0.5649,8.033,16.507,373.04,370.49,0.9931,4.764
rayleigh,M1_image,10.0,SAIL I-II,0,0.6421,0.2477,2.0477,peak,dedicated,0.6421,8.068,8.068,231.72,228.75,0.9872,4.741
rayleigh,M1_image,10.0,SAIL I-II,1,0.6421,0.2477,2.0477,peak,dedicated,0.6421,8.068,12.304,302.59,299.62,0.9902,4.753
rayleigh,M1_image,10.0,SAIL I-II,2,0.6421,0.2477,2.0477,peak,dedicated,0.6421,8.068,16.541,373.46,370.49,0.992,4.76
rayleigh,M3_token,10.0,SAIL I-II,0,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,7.825,228.81,228.75,0.9997,4.789
rayleigh,M3_token,10.0,SAIL I-II,1,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,12.062,299.68,299.62,0.9998,4.789
rayleigh,M3_token,10.0,SAIL I-II,2,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,16.299,370.55,370.49,0.9998,4.789
rayleigh,M4_adaptive,10.0,SAIL I-II,0,0.4272,0.1648,1.9648,peak,dedicated,0.44,7.985,7.985,230.72,228.75,0.9914,4.758
rayleigh,M4_adaptive,10.0,SAIL I-II,1,0.4272,0.1648,1.9648,peak,dedicated,0.44,7.985,12.222,301.59,299.62,0.9934,4.765
rayleigh,M4_adaptive,10.0,SAIL I-II,2,0.4272,0.1648,1.9648,peak,dedicated,0.44,7.985,16.458,372.46,370.49,0.9947,4.77
rayleigh,M1_image,15.0,SAIL I-II,0,0.5091,0.1964,1.9964,peak,dedicated,0.5091,8.016,8.016,231.1,228.75,0.9898,4.751
rayleigh,M1_image,15.0,SAIL I-II,1,0.5091,0.1964,1.9964,peak,dedicated,0.5091,8.016,12.253,301.97,299.62,0.9922,4.76
rayleigh,M1_image,15.0,SAIL I-II,2,0.5091,0.1964,1.9964,peak,dedicated,0.5091,8.016,16.49,372.84,370.49,0.9937,4.766
rayleigh,M3_token,15.0,SAIL I-II,0,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,7.825,228.81,228.75,0.9997,4.789
rayleigh,M3_token,15.0,SAIL I-II,1,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,12.062,299.68,299.62,0.9998,4.789
rayleigh,M3_token,15.0,SAIL I-II,2,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,16.299,370.55,370.49,0.9998,4.789
rayleigh,M4_adaptive,15.0,SAIL I-II,0,0.3396,0.131,1.931,peak,dedicated,0.3524,7.951,7.951,230.32,228.75,0.9932,4.764
rayleigh,M4_adaptive,15.0,SAIL I-II,1,0.3396,0.131,1.931,peak,dedicated,0.3524,7.951,12.188,301.19,299.62,0.9948,4.77
rayleigh,M4_adaptive,15.0,SAIL I-II,2,0.3396,0.131,1.931,peak,dedicated,0.3524,7.951,16.425,372.06,370.49,0.9958,4.774
rayleigh,M1_image,20.0,SAIL I-II,0,0.3806,0.1468,1.9468,peak,dedicated,0.3806,7.967,7.967,230.51,228.75,0.9924,4.761
rayleigh,M1_image,20.0,SAIL I-II,1,0.3806,0.1468,1.9468,peak,dedicated,0.3806,7.967,12.204,301.38,299.62,0.9942,4.768
rayleigh,M1_image,20.0,SAIL I-II,2,0.3806,0.1468,1.9468,peak,dedicated,0.3806,7.967,16.44,372.25,370.49,0.9953,4.772
rayleigh,M3_token,20.0,SAIL I-II,0,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,7.825,228.81,228.75,0.9997,4.789
rayleigh,M3_token,20.0,SAIL I-II,1,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,12.062,299.68,299.62,0.9998,4.789
rayleigh,M3_token,20.0,SAIL I-II,2,0.0139,0.0054,1.8054,peak,dedicated,0.0512,7.825,16.299,370.55,370.49,0.9998,4.789
rayleigh,M4_adaptive,20.0,SAIL I-II,0,0.2555,0.0986,1.8985,peak,dedicated,0.2683,7.919,7.919,229.93,228.75,0.9949,4.771
rayleigh,M4_adaptive,20.0,SAIL I-II,1,0.2555,0.0986,1.8985,peak,dedicated,0.2683,7.919,12.155,300.8,299.62,0.9961,4.775
rayleigh,M4_adaptive,20.0,SAIL I-II,2,0.2555,0.0986,1.8985,peak,dedicated,0.2683,7.919,16.392,371.67,370.49,0.9968,4.778
