channel,service,snr_db,traffic_class,sigma_band,upload_airtime_s,queue_wait_W_s,T4_comm_mean_s,load,c2_mode,comm_latency_s,T4_mean_s,T4_s,d_TC_m,d_TC_default_m,rel_capacity,N_ref_illustrative
rayleigh,M1_image,-5.0,SAIL I-II,0,3.7201,1.9841,3.7841,peak,shared,3.7201,9.804,9.804,252.55,228.75,0.9057,4.433
rayleigh,M1_image,-5.0,SAIL I-II,1,3.7201,1.9841,3.7841,peak,shared,3.7201,9.804,14.041,323.42,299.62,0.9264,4.511
rayleigh,M1_image,-5.0,SAIL I-II,2,3.7201,1.9841,3.7841,peak,shared,3.7201,9.804,18.278,394.29,370.49,0.9396,4.561
rayleigh,M3_token,-5.0,SAIL I-II,0,0.014,0.0075,1.8075,peak,shared,0.0513,7.827,7.827,228.84,228.75,0.9996,4.789
rayleigh,M3_token,-5.0,SAIL I-II,1,0.014,0.0075,1.8075,peak,shared,0.0513,7.827,12.064,299.71,299.62,0.9997,4.789
rayleigh,M3_token,-5.0,SAIL I-II,2,0.014,0.0075,1.8075,peak,shared,0.0513,7.827,16.301,370.58,370.49,0.9998,4.789
rayleigh,M4_adaptive,-5.0,SAIL I-II,0,2.4586,1.3113,3.1113,peak,shared,2.4714,9.131,9.131,244.48,228.75,0.9356,4.546
rayleigh,M4_adaptive,-5.0,SAIL I-II,1,2.4586,1.3113,3.1113,peak,shared,2.4714,9.131,13.368,315.35,299.62,0.9501,4.601
rayleigh,M4_adaptive,-5.0,SAIL I-II,2,2.4586,1.3113,3.1113,peak,shared,2.4714,9.131,17.605,386.22,370.49,0.9593,4.636
rayleigh,M1_image,0.0,SAIL I-II,0,1.6344,0.8717,2.6717,peak,shared,1.6344,8.692,8.692,239.21,228.75,0.9563,4.624
rayleigh,M1_image,0.0,SAIL I-II,1,1.6344,0.8717,2.6717,peak,shared,1.6344,8.692,12.928,310.08,299.62,0.9663,4.662
rayleigh,M1_image,0.0,SAIL I-II,2,1.6344,0.8717,2.6717,peak,shared,1.6344,8.692,17.165,380.95,370.49,0.9725,4.686
rayleigh,M3_token,0.0,SAIL I-II,0,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,7.827,228.83,228.75,0.9996,4.789
rayleigh,M3_token,0.0,SAIL I-II,1,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,12.064,299.7,299.62,0.9997,4.789
rayleigh,M3_token,0.0,SAIL I-II,2,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,16.301,370.57,370.49,0.9998,4.789
rayleigh,M4_adaptive,0.0,SAIL I-II,0,1.0785,0.5752,2.3752,peak,shared,1.0913,8.395,8.395,235.65,228.75,0.9707,4.679
rayleigh,M4_adaptive,0.0,SAIL I-II,1,1.0785,0.5752,2.3752,peak,shared,1.0913,8.395,12.632,306.52,299.62,0.9775,4.705
rayleigh,M4_adaptive,0.0,SAIL I-II,2,1.0785,0.5752,2.3752,peak,shared,1.0913,8.395,16.869,377.39,370.49,0.9817,4.721
rayleigh,M1_image,5.0,SAIL I-II,0,0.8311,0.4433,2.2433,peak,shared,0.8311,8.263,8.263,234.06,228.75,0.9773,4.704
rayleigh,M1_image,5.0,SAIL I-II,1,0.8311,0.4433,2.2433,peak,shared,0.8311,8.263,12.5,304.93,299.62,0.9826,4.724
rayleigh,M1_image,5.0,SAIL I-II,2,0.8311,0.4433,2.2433,peak,shared,0.8311,8.263,16.737,375.8,370.49,0.9858,4.736
rayleigh,M3_token,5.0,SAIL I-II,0,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,7.827,228.83,228.75,0.9996,4.789
rayleigh,M3_token,5.0,SAIL I-II,1,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,12.064,299.7,299.62,0.9997,4.789
rayleigh,M3_token,5.0,SAIL I-II,2,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,16.301,370.57,370.49,0.9998,4.789
rayleigh,M4_adaptive,5.0,SAIL I-II,0,0.5521,0.2945,2.0945,peak,shared,0.5649,8.114,8.114,232.28,228.75,0.9848,4.732
rayleigh,M4_adaptive,5.0,SAIL I-II,1,0.5521,0.2945,2.0945,peak,shared,0.5649,8.114,12.351,303.15,299.62,0.9883,4.746
rayleigh,M4_adaptive,5.0,SAIL I-II,2,0.5521,0.2945,2.0945,peak,shared,0.5649,8.114,16.588,374.02,370.49,0.9906,4.754
rayleigh,M1_image,10.0,SAIL I-II,0,0.6421,0.3425,2.1425,peak,shared,0.6421,8.162,8.162,232.86,228.75,0.9824,4.723
rayleigh,M1_image,10.0,SAIL I-II,1,0.6421,0.3425,2.1425,peak,shared,0.6421,8.162,12.399,303.73,299.62,0.9865,4.739
rayleigh,M1_image,10.0,SAIL I-II,2,0.6421,0.3425,2.1425,peak,shared,0.6421,8.162,16.636,374.6,370.49,0.989,4.748
rayleigh,M3_token,10.0,SAIL I-II,0,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,7.827,228.83,228.75,0.9996,4.789
rayleigh,M3_token,10.0,SAIL I-II,1,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,12.064,299.7,299.62,0.9997,4.789
rayleigh,M3_token,10.0,SAIL I-II,2,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,16.301,370.57,370.49,0.9998,4.789
rayleigh,M4_adaptive,10.0,SAIL I-II,0,0.4272,0.2278,2.0278,peak,shared,0.44,8.048,8.048,231.48,228.75,0.9882,4.745
rayleigh,M4_adaptive,10.0,SAIL I-II,1,0.4272,0.2278,2.0278,peak,shared,0.44,8.048,12.285,302.35,299.62,0.991,4.756
rayleigh,M4_adaptive,10.0,SAIL I-II,2,0.4272,0.2278,2.0278,peak,shared,0.44,8.048,16.521,373.22,370.49,0.9927,4.762
rayleigh,M1_image,15.0,SAIL I-II,0,0.5091,0.2715,2.0715,peak,shared,0.5091,8.092,8.092,232.0,228.75,0.986,4.737
rayleigh,M1_image,15.0,SAIL I-II,1,0.5091,0.2715,2.0715,peak,shared,0.5091,8.092,12.328,302.87,299.62,0.9892,4.749
rayleigh,M1_image,15.0,SAIL I-II,2,0.5091,0.2715,2.0715,peak,shared,0.5091,8.092,16.565,373.74,370.49,0.9913,4.757
rayleigh,M3_token,15.0,SAIL I-II,0,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,7.827,228.83,228.75,0.9996,4.789
rayleigh,M3_token,15.0,SAIL I-II,1,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,12.064,299.7,299.62,0.9997,4.789
rayleigh,M3_token,15.0,SAIL I-II,2,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,16.301,370.57,370.49,0.9998,4.789
rayleigh,M4_adaptive,15.0,SAIL I-II,0,0.3396,0.1811,1.9811,peak,shared,0.3524,8.001,8.001,230.92,228.75,0.9906,4.754
rayleigh,M4_adaptive,15.0,SAIL I-II,1,0.3396,0.1811,1.9811,peak,shared,0.3524,8.001,12.238,301.79,299.62,0.9928,4.763
rayleigh,M4_adaptive,15.0,SAIL I-II,2,0.3396,0.1811,1.9811,peak,shared,0.3524,8.001,16.475,372.66,370.49,0.9942,4.768
rayleigh,M1_image,20.0,SAIL I-II,0,0.3806,0.203,2.003,peak,shared,0.3806,8.023,8.023,231.18,228.75,0.9895,4.75
rayleigh,M1_image,20.0,SAIL I-II,1,0.3806,0.203,2.003,peak,shared,0.3806,8.023,12.26,302.05,299.62,0.9919,4.759
rayleigh,M1_image,20.0,SAIL I-II,2,0.3806,0.203,2.003,peak,shared,0.3806,8.023,16.497,372.92,370.49,0.9935,4.765
rayleigh,M3_token,20.0,SAIL I-II,0,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,7.827,228.83,228.75,0.9996,4.789
rayleigh,M3_token,20.0,SAIL I-II,1,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,12.064,299.7,299.62,0.9997,4.789
rayleigh,M3_token,20.0,SAIL I-II,2,0.0139,0.0074,1.8074,peak,shared,0.0512,7.827,16.301,370.57,370.49,0.9998,4.789
rayleigh,M4_adaptive,20.0,SAIL I-II,0,0.2555,0.1363,1.9363,peak,shared,0.2683,7.956,7.956,230.38,228.75,0.9929,4.763
rayleigh,M4_adaptive,20.0,SAIL I-II,1,0.2555,0.1363,1.9363,peak,shared,0.2683,7.956,12.193,301.25,299.62,0.9946,4.769
rayleigh,M4_adaptive,20.0,SAIL I-II,2,0.2555,0.1363,1.9363,peak,shared,0.2683,7.956,16.43,372.12,370.49,0.9956,4.773
rayleigh,M2_analog,-5.0,SAIL I-II,0,0.3,0.16,1.96,peak,shared,0.3,7.98,7.98,230.67,228.75,0.9917,4.758
rayleigh,M2_analog,-5.0,SAIL I-II,1,0.3,0.16,1.96,peak,shared,0.3,7.98,12.217,301.54,299.62,0.9936,4.766
rayleigh,M2_analog,-5.0,SAIL I-II,2,0.3,0.16,1.96,peak,shared,0.3,7.98,16.454,372.41,370.49,0.9948,4.77
rayleigh,M2_analog,0.0,SAIL I-II,0,0.3,0.16,1.96,peak,shared,0.3,7.98,7.98,230.67,228.75,0.9917,4.758
rayleigh,M2_analog,0.0,SAIL I-II,1,0.3,0.16,1.96,peak,shared,0.3,7.98,12.217,301.54,299.62,0.9936,4.766
rayleigh,M2_analog,0.0,SAIL I-II,2,0.3,0.16,1.96,peak,shared,0.3,7.98,16.454,372.41,370.49,0.9948,4.77
rayleigh,M2_analog,5.0,SAIL I-II,0,0.3,0.16,1.96,peak,shared,0.3,7.98,7.98,230.67,228.75,0.9917,4.758
rayleigh,M2_analog,5.0,SAIL I-II,1,0.3,0.16,1.96,peak,shared,0.3,7.98,12.217,301.54,299.62,0.9936,4.766
rayleigh,M2_analog,5.0,SAIL I-II,2,0.3,0.16,1.96,peak,shared,0.3,7.98,16.454,372.41,370.49,0.9948,4.77
rayleigh,M2_analog,10.0,SAIL I-II,0,0.3,0.16,1.96,peak,shared,0.3,7.98,7.98,230.67,228.75,0.9917,4.758
