channel,t_budget,snr_db,qtype,accuracy,n,mean_tokens_sent,mean_payload_bytes,mean_channel_uses
rician,1,-5.0,all,0.4639,526,1.0,702.9,11246.5
rician,1,-5.0,co_presence,0.5769,104,1.0,705.4,11286.5
rician,1,-5.0,comparison,0.75,104,1.0,703.3,11253.5
rician,1,-5.0,counting,0.2103,214,1.0,701.2,11219.7
rician,1,-5.0,threshold,0.5865,104,1.0,703.4,11254.5
rician,1,0.0,all,0.4639,526,1.0,702.9,11246.5
rician,1,0.0,co_presence,0.5769,104,1.0,705.4,11286.5
rician,1,0.0,comparison,0.75,104,1.0,703.3,11253.5
rician,1,0.0,counting,0.2103,214,1.0,701.2,11219.7
rician,1,0.0,threshold,0.5865,104,1.0,703.4,11254.5
rician,1,10.0,all,0.4639,526,1.0,702.9,11246.5
rician,1,10.0,co_presence,0.5769,104,1.0,705.4,11286.5
rician,1,10.0,comparison,0.75,104,1.0,703.3,11253.5
rician,1,10.0,counting,0.2103,214,1.0,701.2,11219.7
rician,1,10.0,threshold,0.5865,104,1.0,703.4,11254.5
rician,1,15.0,all,0.4639,526,1.0,702.9,11246.5
rician,1,15.0,co_presence,0.5769,104,1.0,705.4,11286.5
rician,1,15.0,comparison,0.75,104,1.0,703.3,11253.5
rician,1,15.0,counting,0.2103,214,1.0,701.2,11219.7
rician,1,15.0,threshold,0.5865,104,1.0,703.4,11254.5
rician,1,20.0,all,0.4639,526,1.0,702.9,11246.5
rician,1,20.0,co_presence,0.5769,104,1.0,705.4,11286.5
rician,1,20.0,comparison,0.75,104,1.0,703.3,11253.5
rician,1,20.0,counting,0.2103,214,1.0,701.2,11219.7
rician,1,20.0,threshold,0.5865,104,1.0,703.4,11254.5
rician,1,5.0,all,0.4639,526,1.0,702.9,11246.5
rician,1,5.0,co_presence,0.5769,104,1.0,705.4,11286.5
rician,1,5.0,comparison,0.75,104,1.0,703.3,11253.5
rician,1,5.0,counting,0.2103,214,1.0,701.2,11219.7
rician,1,5.0,threshold,0.5865,104,1.0,703.4,11254.5
rician,2,-5.0,all,0.4848,526,2.0,722.7,11563.1
rician,2,-5.0,co_presence,0.6058,104,2.0,725.2,11602.6
rician,2,-5.0,comparison,0.7885,104,2.0,723.6,11578.2
rician,2,-5.0,counting,0.229,214,2.0,720.8,11532.9
rician,2,-5.0,threshold,0.5865,104,2.0,723.2,11570.6
rician,2,0.0,all,0.4848,526,2.0,722.7,11563.1
rician,2,0.0,co_presence,0.6058,104,2.0,725.2,11602.6
rician,2,0.0,comparison,0.7885,104,2.0,723.6,11578.2
rician,2,0.0,counting,0.229,214,2.0,720.8,11532.9
rician,2,0.0,threshold,0.5865,104,2.0,723.2,11570.6
rician,2,10.0,all,0.4848,526,2.0,722.7,11563.1
rician,2,10.0,co_presence,0.6058,104,2.0,725.2,11602.6
rician,2,10.0,comparison,0.7885,104,2.0,723.6,11578.2
rician,2,10.0,counting,0.229,214,2.0,720.8,11532.9
rician,2,10.0,threshold,0.5865,104,2.0,723.2,11570.6
rician,2,15.0,all,0.4848,526,2.0,722.7,11563.1
rician,2,15.0,co_presence,0.6058,104,2.0,725.2,11602.6
rician,2,15.0,comparison,0.7885,104,2.0,723.6,11578.2
rician,2,15.0,counting,0.229,214,2.0,720.8,11532.9
rician,2,15.0,threshold,0.5865,104,2.0,723.2,11570.6
rician,2,20.0,all,0.4848,526,2.0,722.7,11563.1
rician,2,20.0,co_presence,0.6058,104,2.0,725.2,11602.6
rician,2,20.0,comparison,0.7885,104,2.0,723.6,11578.2
rician,2,20.0,counting,0.229,214,2.0,720.8,11532.9
rician,2,20.0,threshold,0.5865,104,2.0,723.2,11570.6
rician,2,5.0,all,0.4848,526,2.0,722.7,11563.1
rician,2,5.0,co_presence,0.6058,104,2.0,725.2,11602.6
rician,2,5.0,comparison,0.7885,104,2.0,723.6,11578.2
rician,2,5.0,counting,0.229,214,2.0,720.8,11532.9
rician,2,5.0,threshold,0.5865,104,2.0,723.2,11570.6
rician,3,-5.0,all,0.5,526,3.0,742.5,11880.4
rician,3,-5.0,co_presence,0.6058,104,3.0,744.1,11906.2
rician,3,-5.0,comparison,0.8173,104,3.0,745.7,11930.9
rician,3,-5.0,counting,0.2523,214,3.0,740.4,11846.3
rician,3,-5.0,threshold,0.5865,104,3.0,742.1,11874.2
rician,3,0.0,all,0.5,526,3.0,742.5,11879.2
rician,3,0.0,co_presence,0.6058,104,3.0,744.2,11907.8
rician,3,0.0,comparison,0.8173,104,3.0,745.3,11925.5
rician,3,0.0,counting,0.2523,214,3.0,740.3,11844.5
rician,3,0.0,threshold,0.5865,104,3.0,742.2,11875.8
rician,3,10.0,all,0.5,526,3.0,742.5,11880.4
rician,3,10.0,co_presence,0.6058,104,3.0,744.1,11906.2
rician,3,10.0,comparison,0.8173,104,3.0,745.7,11930.9
rician,3,10.0,counting,0.2523,214,3.0,740.4,11846.3
rician,3,10.0,threshold,0.5865,104,3.0,742.1,11874.2
rician,3,15.0,all,0.5,526,3.0,742.5,11880.4
rician,3,15.0,co_presence,0.6058,104,3.0,744.1,11906.2
rician,3,15.0,comparison,0.8173,104,3.0,745.7,11930.9
rician,3,15.0,counting,0.2523,214,3.0,740.4,11846.3
rician,3,15.0,threshold,0.5865,104,3.0,742.1,11874.2
rician,3,20.0,all,0.5,526,3.0,742.5,11880.4
rician,3,20.0,co_presence,0.6058,104,3.0,744.1,11906.2
rician,3,20.0,comparison,0.8173,104,3.0,745.7,11930.9
rician,3,20.0,counting,0.2523,214,3.0,740.4,11846.3
rician,3,20.0,threshold,0.5865,104,3.0,742.1,11874.2
rician,3,5.0,all,0.5,526,3.0,742.5,11880.4
rician,3,5.0,co_presence,0.6058,104,3.0,744.1,11906.2
rician,3,5.0,comparison,0.8173,104,3.0,745.7,11930.9
rician,3,5.0,counting,0.2523,214,3.0,740.4,11846.3
