image_id,target_class,gt_count,detected_count,count_error,abs_count_error,error_bin,zero_detection,under_count,over_count,mean_confidence
0000001_02999_d_0000005,awning-tricycle,17,0,-17,17,>5,True,True,False,0.000000
0000001_02999_d_0000005,car,14,10,-4,4,3-5,False,True,False,0.592670
0000001_02999_d_0000005,motor,50,20,-30,30,>5,False,True,False,0.357000
0000001_02999_d_0000005,pedestrian,9,3,-6,6,>5,False,True,False,0.283433
0000001_02999_d_0000005,people,30,2,-28,28,>5,False,True,False,0.367200
0000001_02999_d_0000005,tricycle,2,0,-2,2,1-2,True,True,False,0.000000
0000001_02999_d_0000005,truck,1,1,0,0,0,False,False,False,0.648300
0000001_02999_d_0000005,van,2,0,-2,2,1-2,True,True,False,0.000000
0000001_03499_d_0000006,awning-tricycle,2,0,-2,2,1-2,True,True,False,0.000000
0000001_03499_d_0000006,car,16,11,-5,5,3-5,False,True,False,0.719027
0000001_03499_d_0000006,motor,26,4,-22,22,>5,False,True,False,0.377125
0000001_03499_d_0000006,pedestrian,7,2,-5,5,3-5,False,True,False,0.305200
0000001_03499_d_0000006,people,22,2,-20,20,>5,False,True,False,0.373050
0000001_03499_d_0000006,tricycle,2,1,-1,1,1-2,False,True,False,0.464100
0000001_03499_d_0000006,van,1,2,1,1,1-2,False,False,True,0.657550
0000001_03999_d_0000007,car,3,3,0,0,0,False,False,False,0.755233
0000001_03999_d_0000007,motor,17,11,-6,6,>5,False,True,False,0.417727
0000001_03999_d_0000007,pedestrian,8,5,-3,3,3-5,False,True,False,0.382640
0000001_03999_d_0000007,people,16,3,-13,13,>5,False,True,False,0.343233
0000001_03999_d_0000007,tricycle,1,2,1,1,1-2,False,False,True,0.344850
0000001_04527_d_0000008,awning-tricycle,1,2,1,1,1-2,False,False,True,0.339350
0000001_04527_d_0000008,car,5,2,-3,3,3-5,False,True,False,0.414350
0000001_04527_d_0000008,motor,48,9,-39,39,>5,False,True,False,0.315722
0000001_04527_d_0000008,pedestrian,28,15,-13,13,>5,False,True,False,0.383313
0000001_04527_d_0000008,people,26,0,-26,26,>5,True,True,False,0.000000
0000001_04527_d_0000008,tricycle,2,2,0,0,0,False,False,False,0.302450
