group,value,samples,accuracy,raw_decoder_accuracy,mean_gt_count,mean_raw_count,mean_calibrated_count
service1,all,26757,0.598610,0.587286,8.837201,6.037672,6.977912
question_type,counting,9144,0.432415,0.399278,15.183071,10.665682,13.416995
question_type,presence,17613,0.684892,0.684892,5.542667,3.634986,3.634986
presence_polarity,positive,9729,0.491829,0.491829,10.034228,6.497996,6.497996
presence_polarity,negative,7884,0.923135,0.923135,0.000000,0.101979,0.101979
gt_count_bin,1,1962,0.981651,0.981651,1.000000,0.363914,0.388379
gt_count_bin,2-3,1476,0.315041,0.327236,2.420732,0.904472,1.020325
gt_count_bin,4-9,1584,0.178030,0.174242,6.210227,2.920455,3.916667
gt_count_bin,>=10,4122,0.310771,0.234352,29.951965,22.040757,27.708151
channel_bin,bad,8919,0.542886,0.515641,8.837201,3.161453,5.732930
channel_bin,medium,8919,0.621258,0.620585,8.837201,7.075008,7.167508
channel_bin,good,8919,0.631685,0.625631,8.837201,7.876556,8.033300
target_class,awning-tricycle,1773,0.563452,0.563452,2.436548,0.269036,0.269036
target_class,bus,1107,0.696477,0.691057,1.959350,0.850949,1.192412
target_class,car,3960,0.381818,0.316667,27.822727,21.840152,26.912879
target_class,motor,1710,0.233333,0.215789,8.005263,2.728070,4.024561
target_class,pedestrian,477,0.452830,0.433962,16.792453,10.207547,15.358491
target_class,people,54,0.611111,0.611111,4.833333,0.722222,0.722222
target_class,tricycle,18,0.500000,0.500000,2.500000,0.500000,0.500000
target_class,truck,45,0.333333,0.333333,3.600000,0.866667,1.266667
