threshold,group,value,samples,accuracy,raw_accuracy,mean_payload_kb,mean_gt_count,mean_raw_count,mean_calibrated_count
0.10,channel_bin,bad,2973,0.542886,0.515641,0.796844,8.837201,3.161453,5.755802
0.10,channel_bin,good,2973,0.647830,0.615203,0.907931,8.837201,13.570804,10.377397
0.10,channel_bin,medium,2973,0.621931,0.620585,0.847505,8.837201,7.075008,7.170871
0.10,gt_count_bin,1,654,0.963303,0.958716,0.737533,1.000000,0.551988,0.522936
0.10,gt_count_bin,2-3,492,0.353659,0.333333,0.770960,2.420732,1.418699,1.235772
0.10,gt_count_bin,4-9,528,0.200758,0.183712,0.872829,6.210227,4.246212,3.926136
0.10,gt_count_bin,>=10,1374,0.270742,0.154294,1.137496,29.951965,28.823872,27.937409
0.10,overall,all,8919,0.604216,0.583810,0.850760,8.837201,7.935755,7.768023
0.10,presence_polarity,negative,2628,0.893075,0.893075,0.722991,0.000000,0.182648,0.182648
0.10,presence_polarity,positive,3243,0.542707,0.542707,0.864161,10.034228,8.447117,8.447117
0.10,question_type,counting,3048,0.420604,0.360892,0.946664,15.183071,14.076444,13.585630
0.10,question_type,presence,5871,0.699540,0.699540,0.800970,5.542667,4.747743,4.747743
0.10,target_class,awning-tricycle,591,0.573604,0.573604,0.748091,2.436548,0.411168,0.411168
0.10,target_class,bus,369,0.696477,0.696477,0.751771,1.959350,0.989160,1.173442
0.10,target_class,car,1320,0.339394,0.218182,1.123570,27.822727,27.770455,26.948485
0.10,target_class,motor,570,0.256140,0.231579,0.877133,8.005263,5.529825,4.373684
0.10,target_class,pedestrian,159,0.440252,0.402516,0.970586,16.792453,15.402516,16.433962
0.10,target_class,people,18,0.666667,0.611111,0.736491,4.833333,1.055556,1.611111
0.10,target_class,tricycle,6,0.666667,0.666667,0.736003,2.500000,1.000000,1.166667
0.10,target_class,truck,15,0.400000,0.333333,0.722201,3.600000,0.933333,1.266667
0.15,channel_bin,bad,2973,0.542886,0.515641,0.796844,8.837201,3.161453,5.755802
0.15,channel_bin,good,2973,0.644803,0.620249,0.886460,8.837201,10.867138,9.379415
0.15,channel_bin,medium,2973,0.621931,0.620585,0.847505,8.837201,7.075008,7.170871
0.15,gt_count_bin,1,654,0.972477,0.970948,0.732152,1.000000,0.444954,0.454128
0.15,gt_count_bin,2-3,492,0.337398,0.333333,0.759922,2.420732,1.156504,1.189024
0.15,gt_count_bin,4-9,528,0.195076,0.196970,0.855482,6.210227,3.594697,3.937500
0.15,gt_count_bin,>=10,1374,0.287482,0.173945,1.131261,29.951965,25.659389,28.113537
0.15,overall,all,8919,0.603207,0.585492,0.843603,8.837201,7.034533,7.435363
0.15,presence_polarity,negative,2628,0.906773,0.906773,0.719216,0.000000,0.140791,0.140791
0.15,presence_polarity,positive,3243,0.523281,0.523281,0.855763,10.034228,7.510638,7.510638
0.15,question_type,counting,3048,0.426509,0.374672,0.937912,15.183071,12.471785,13.644685
0.15,question_type,presence,5871,0.694941,0.694941,0.794641,5.542667,4.211719,4.211719
0.15,target_class,awning-tricycle,591,0.571912,0.571912,0.742060,2.436548,0.335025,0.335025
0.15,target_class,bus,369,0.696477,0.696477,0.747443,1.959350,0.915989,1.100271
0.15,target_class,car,1320,0.356818,0.244697,1.119522,27.822727,25.022727,26.946212
0.15,target_class,motor,570,0.250877,0.242105,0.852268,8.005263,4.170175,4.389474
0.15,target_class,pedestrian,159,0.452830,0.421384,0.959887,16.792453,12.817610,18.031447
0.15,target_class,people,18,0.611111,0.611111,0.726237,4.833333,0.833333,1.277778
0.15,target_class,tricycle,6,0.500000,0.500000,0.726074,2.500000,0.833333,0.833333
0.15,target_class,truck,15,0.333333,0.333333,0.718555,3.600000,0.866667,1.266667
0.20,channel_bin,bad,2973,0.542886,0.515641,0.796844,8.837201,3.161453,5.755802
0.20,channel_bin,good,2973,0.643458,0.626976,0.868402,8.837201,9.150353,8.632358
0.20,channel_bin,medium,2973,0.621931,0.620585,0.847505,8.837201,7.075008,7.170871
0.20,gt_count_bin,1,654,0.977064,0.977064,0.728041,1.000000,0.391437,0.414373
0.20,gt_count_bin,2-3,492,0.331301,0.337398,0.752600,2.420732,1.010163,1.117886
0.20,gt_count_bin,4-9,528,0.206439,0.189394,0.839126,6.210227,3.170455,3.948864
0.20,gt_count_bin,>=10,1374,0.297671,0.204512,1.124058,29.951965,23.603348,27.954876
0.20,overall,all,8919,0.602758,0.587734,0.837584,8.837201,6.462272,7.186344
0.20,presence_polarity,negative,2628,0.917428,0.917428,0.716370,0.000000,0.114916,0.114916
0.20,presence_polarity,positive,3243,0.507246,0.507246,0.849169,10.034228,6.930928,6.930928
0.20,question_type,counting,3048,0.433071,0.389108,0.929768,15.183071,11.436352,13.555118
0.20,question_type,presence,5871,0.690853,0.690853,0.789725,5.542667,3.879918,3.879918
0.20,target_class,awning-tricycle,591,0.568528,0.568528,0.738491,2.436548,0.301184,0.301184
0.20,target_class,bus,369,0.701897,0.693767,0.743773,1.959350,0.875339,1.214092
0.20,target_class,car,1320,0.368939,0.278788,1.114957,27.822727,23.211364,26.941667
0.20,target_class,motor,570,0.256140,0.243860,0.828361,8.005263,3.307018,4.300000
0.20,target_class,pedestrian,159,0.459119,0.427673,0.949563,16.792453,11.327044,16.540881
0.20,target_class,people,18,0.611111,0.611111,0.726020,4.833333,0.833333,1.277778
0.20,target_class,tricycle,6,0.500000,0.500000,0.715983,2.500000,0.666667,0.666667
0.20,target_class,truck,15,0.333333,0.333333,0.718555,3.600000,0.866667,1.266667
0.25,channel_bin,bad,2973,0.542886,0.515641,0.796844,8.837201,3.161453,5.755802
0.25,channel_bin,good,2973,0.631685,0.625631,0.854671,8.837201,7.876556,8.056172
0.25,channel_bin,medium,2973,0.621931,0.620585,0.847486,8.837201,7.075008,7.170871
0.25,gt_count_bin,1,654,0.981651,0.981651,0.725499,1.000000,0.363914,0.388379
0.25,gt_count_bin,2-3,492,0.313008,0.327236,0.746231,2.420732,0.904472,1.026423
0.25,gt_count_bin,4-9,528,0.179924,0.174242,0.828156,6.210227,2.920455,3.958333
0.25,gt_count_bin,>=10,1374,0.312227,0.234352,1.117116,29.951965,22.040757,27.796215
0.25,overall,all,8919,0.598834,0.587286,0.833000,8.837201,6.037672,6.994282
0.25,presence_polarity,negative,2628,0.923135,0.923135,0.714435,0.000000,0.101979,0.101979
0.25,presence_polarity,positive,3243,0.491829,0.491829,0.844338,10.034228,6.497996,6.497996
0.25,question_type,counting,3048,0.433071,0.399278,0.923165,15.183071,10.665682,13.464895
0.25,question_type,presence,5871,0.684892,0.684892,0.786190,5.542667,3.634986,3.634986
0.25,target_class,awning-tricycle,591,0.563452,0.563452,0.735335,2.436548,0.269036,0.269036
0.25,target_class,bus,369,0.696477,0.691057,0.741187,1.959350,0.850949,1.192412
0.25,target_class,car,1320,0.381061,0.316667,1.111067,27.822727,21.840152,26.959091
0.25,target_class,motor,570,0.235088,0.215789,0.809091,8.005263,2.728070,4.156140
0.25,target_class,pedestrian,159,0.465409,0.433962,0.943126,16.792453,10.207547,15.421384
0.25,target_class,people,18,0.611111,0.611111,0.719727,4.833333,0.722222,0.722222
