protocol,group,value,samples,accuracy,mean_payload_kb
Protocol-A,all,all,53514,0.666536,32.082250
Protocol-A,service_level,0,17838,0.549221,0.000000
Protocol-A,service_level,1,17838,0.846620,0.874782
Protocol-A,service_level,2,17838,0.603767,95.371968
Protocol-A,question_type,counting,17901,0.503715,31.596295
Protocol-A,question_type,presence,35613,0.748378,32.326517
Protocol-A,presence_polarity,unknown,35613,0.748378,32.326517
Protocol-A,gt_count_bin,1,5103,0.817754,31.127444
Protocol-A,gt_count_bin,2-3,3402,0.398001,30.802327
Protocol-A,gt_count_bin,4-9,3240,0.240432,30.458644
Protocol-A,gt_count_bin,>=10,6156,0.440383,33.022483
Protocol-B,all,all,80271,0.582278,32.068323
Protocol-B,service_level,0,26757,0.562283,0.000000
Protocol-B,service_level,1,26757,0.598610,0.833000
Protocol-B,service_level,2,26757,0.585940,95.371968
Protocol-B,question_type,counting,27432,0.453813,32.114411
Protocol-B,question_type,presence,52839,0.648971,32.044396
Protocol-B,presence_polarity,positive,29187,0.558947,32.060295
Protocol-B,presence_polarity,negative,23652,0.760063,32.024776
Protocol-B,gt_count_bin,1,5886,0.815494,30.909729
Protocol-B,gt_count_bin,2-3,4428,0.383921,31.400559
Protocol-B,gt_count_bin,4-9,4752,0.216540,31.133445
Protocol-B,gt_count_bin,>=10,12366,0.397865,33.320398
Protocol-B+ROI,all,all,80811,0.582173,32.981894
Protocol-B+ROI,service_level,0,26757,0.562283,0.000000
Protocol-B+ROI,service_level,1,26757,0.598610,0.833000
Protocol-B+ROI,service_level,2,26757,0.585940,95.371968
Protocol-B+ROI,service_level,3,540,0.566667,168.784229
Protocol-B+ROI,question_type,counting,27612,0.451833,32.778188
Protocol-B+ROI,question_type,presence,53199,0.649824,33.087623
Protocol-B+ROI,presence_polarity,positive,29376,0.559845,32.931432
Protocol-B+ROI,presence_polarity,negative,23823,0.760777,33.280222
Protocol-B+ROI,gt_count_bin,1,5904,0.816057,30.893773
Protocol-B+ROI,gt_count_bin,2-3,4455,0.383614,32.305026
Protocol-B+ROI,gt_count_bin,4-9,4779,0.215317,31.100256
Protocol-B+ROI,gt_count_bin,>=10,12474,0.394420,34.481921
