service_level,service_name,snr_bin,snr_db,accuracy,samples
1,detector semantic tokens,-5dB,-5,0.680791,1062
1,detector semantic tokens,0dB,0,0.680791,1062
1,detector semantic tokens,5dB,5,0.680791,1062
1,detector semantic tokens,10dB,10,0.680791,1062
1,detector semantic tokens,15dB,15,0.680791,1062
1,detector semantic tokens,20dB,20,0.680791,1062
2,raw image evidence,-5dB,-5,0.610169,1062
2,raw image evidence,0dB,0,0.658192,1062
2,raw image evidence,5dB,5,0.669492,1062
2,raw image evidence,10dB,10,0.683616,1062
2,raw image evidence,15dB,15,0.686441,1062
2,raw image evidence,20dB,20,0.683616,1062
