service_level,service_name,snr_bin,snr_db,mean_payload_kb,samples
0,cache answer,-5dB,-5,0.000000,8919
0,cache answer,0dB,0,0.000000,8919
0,cache answer,5dB,5,0.000000,8919
0,cache answer,10dB,10,0.000000,8919
0,cache answer,15dB,15,0.000000,8919
0,cache answer,20dB,20,0.000000,8919
1,detector semantic tokens,-5dB,-5,0.790652,8919
1,detector semantic tokens,0dB,0,0.815630,8919
1,detector semantic tokens,5dB,5,0.839230,8919
1,detector semantic tokens,10dB,10,0.849554,8919
1,detector semantic tokens,15dB,15,0.854428,8919
1,detector semantic tokens,20dB,20,0.854671,8919
2,raw image evidence,-5dB,-5,35.825073,8919
2,raw image evidence,0dB,0,53.229539,8919
2,raw image evidence,5dB,5,68.910663,8919
2,raw image evidence,10dB,10,92.699923,8919
2,raw image evidence,15dB,15,127.051249,8919
2,raw image evidence,20dB,20,178.091730,8919
