question_type,service_level,snr_bin,snr_db,accuracy,samples
counting,1,-5dB,-5,0.533898,354
counting,1,0dB,0,0.533898,354
counting,1,5dB,5,0.533898,354
counting,1,10dB,10,0.533898,354
counting,1,15dB,15,0.533898,354
counting,1,20dB,20,0.533898,354
counting,2,-5dB,-5,0.305085,354
counting,2,0dB,0,0.338983,354
counting,2,5dB,5,0.347458,354
counting,2,10dB,10,0.347458,354
counting,2,15dB,15,0.338983,354
counting,2,20dB,20,0.330508,354
presence,1,-5dB,-5,0.754237,708
presence,1,0dB,0,0.754237,708
presence,1,5dB,5,0.754237,708
presence,1,10dB,10,0.754237,708
presence,1,15dB,15,0.754237,708
presence,1,20dB,20,0.754237,708
presence,2,-5dB,-5,0.762712,708
presence,2,0dB,0,0.817797,708
presence,2,5dB,5,0.830508,708
presence,2,10dB,10,0.851695,708
presence,2,15dB,15,0.860169,708
presence,2,20dB,20,0.860169,708
