episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.049,0.0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19502000000000003,0.0,0.0,0.0,0.0,0.0,0.09751000000000001,0.0
2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29106980000000005,0.0,0.0,0.0,0.0,0.0,0.14553490000000002,0.0
3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38615910200000003,0.0,0.0,0.0,0.0,0.0,0.19307955100000002,0.0
4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48029751098000006,0.0,0.0,0.0,0.0,0.0,0.24014875549000003,0.0
5.0,1.0,0.2,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5734945358702,0.0,0.018000000000000002,0.0,0.0,0.0,0.2867472679351,0.009000000000000001
6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665759590511498,0.0,0.01582,0.0,0.0,0.0,0.332879795255749,0.00791
7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.757101994606383,0.0,0.0136618,0.0,0.0,0.0,0.3785509973031915,0.0068309
8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8475309746603192,0.0,0.011525182,0.0,0.0,0.0,0.4237654873301596,0.005762591
9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9370556649137161,0.0,0.00940993018,0.0,0.0,0.0,0.46852783245685803,0.00470496509
10.0,1.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.005000000000000001,1.0156851082645788,0.0,0.007315830878199999,0.0,0.0,0.0,0.5103425541322893,0.0036579154390999997
11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1035282571819331,0.0,0.005242672569417999,0.0,0.0,0.0,0.5517641285909666,0.0026213362847089996
12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1904929746101138,0.0,0.0031902458437238195,0.0,0.0,0.0,0.5952464873050569,0.0015951229218619098
13.0,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.015000000000000003,1.2565880448640128,0.0,0.0011583433852865813,0.0,0.0,0.0,0.6357940224320063,0.0005791716926432907
