episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,mean_q_defer,mean_q_cache_stale,path_cache_ratio,path_token_ratio,path_image_ratio,path_defer_ratio,path_cache_update_ratio,expert_agreement,expert_path_cache_ratio,expert_path_token_ratio,expert_path_image_ratio,expert_path_defer_ratio,expert_path_cache_update_ratio,mean_defer_count,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline,mobility_update_interval,mean_flight_energy_j,mean_arrival_delay_s,mean_coverage_gain,mean_utm_conflict_risk,mobility_reuse_ratio,serve_task_ratio,avoid_conflict_ratio
0.0,-4.835969,-371.2884451661572,-371.2884451661572,-4.835969,0.0,-0.9671938000000001,-74.25768903323144,-74.25768903323144,0.43492239999999993,0.5042576000000001,0.0,0.3850775999999999,1.1081603999999998,0.0,0.0,0.0,0.0,0.0,2.4,0.8,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,1.9253879999999994,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0817148685455322,250.0,0.1,0.65,200000.8,1e-06,0.01,0.01,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.049,0.0,3.0,62.4,0.0,0.0,0.0,0.6,0.0,0.0
1.0,-5.579991,-136.64729923705096,-137.627299237051,-5.579991,0.0,-0.5579991,-13.664729923705096,-13.7627299237051,0.05828799999999999,0.9377751,0.0,0.7617120000000001,3.92712,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,7.617120000000001,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0817148685455322,250.0,0.09933333333333334,0.6481944444444445,900000.1,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.19502000000000003,0.0,0.0,0.0,0.0,0.0,0.09751000000000001,0.0,3.0,7.8,0.0,0.0,0.0,0.6,0.0,0.0
2.0,-5.418080999999999,-458.449621273326,-459.424721273326,-5.418080999999999,0.0,-1.0836161999999998,-91.6899242546652,-91.8849442546652,0.6026816,0.37261179999999994,0.0,0.2173183999999999,0.5045717999999998,0.0,0.0,0.6,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0865919999999996,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0817148685455322,250.0,0.09866666666666667,0.6463888888888889,1.0,1e-06,0.01,0.01,0.0,0.29106980000000005,0.0,0.0,0.0,0.0,0.0,0.14553490000000002,0.0,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
3.0,-4.792681,-339.565337639465,-341.020686639465,-4.792681,0.0,-0.9585362,-67.91306752789299,-68.204137327893,0.5017964,0.4960332,0.0,0.3182035999999999,0.7063421999999998,0.0,0.0,0.2,0.0,0.0,2.6,0.8,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,1.5910179999999996,0.0,0.0,1.0,0.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0817148685455322,250.0,0.098,0.6445833333333334,200000.8,1e-06,0.01,0.01,0.0,0.38615910200000003,0.0,0.0,0.0,0.0,0.0,0.19307955100000002,0.0,3.0,62.4,0.0,0.0,0.0,0.6,0.0,0.0
4.0,-7.282538,-583.2391632833717,-587.1007543033721,-7.282538,0.0,-0.7282538,-58.32391632833717,-58.71007543033721,0.16645320000000002,0.7518182,0.0,0.6535468000000001,3.0421720000000003,0.0,0.0,2.7,0.0,0.0,3.4,0.4,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,6.535468000000001,0.0,0.0,3.0,0.0,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0817148685455322,250.0,0.09733333333333334,0.6427777777777778,600000.4,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.48029751098000006,0.0,0.0,0.0,0.0,0.0,0.24014875549000003,0.0,3.0,31.2,0.0,0.0,0.0,0.6,0.0,0.0
5.0,-0.416963,-478.8345498972169,-481.2360374521169,-0.416963,0.0,-0.0833926,-95.76690997944338,-96.24720749042338,0.3314572,0.5016316,0.2376202,0.4885428,1.1385984,0.0,0.0,0.8,0.0,0.0,1.6,0.6,0.2,0.0,0.0,0.0,1.0,0.6,0.2,0.0,0.0,0.0,0.0,2.442714,0.0,0.0,2.0,0.0,0.4,1.0,0.2,0.0,1.0,0.0,0.2,0.0,0.0,0.0,1.0817148685455322,250.0,0.09666666666666668,0.6409722222222223,200000.8,0.20000079999999992,0.138,0.03800000000000001,0.0,0.5734945358702,0.0,0.018000000000000002,0.0,0.0,0.0,0.2867472679351,0.009000000000000001,3.0,62.4,0.0,0.0,0.0,0.6,0.0,0.0
6.0,-7.334186,-465.8574524396514,-471.5923977983535,-7.334186,0.0,-0.7334186,-46.58574524396514,-47.159239779835346,0.21558099999999997,0.7466775999999999,0.0,0.604419,2.5754579,0.0,0.0,0.7,0.0,0.0,3.4,0.4,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,6.04419,0.0,0.0,1.0,0.0,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0817148685455322,250.0,0.096,0.6391666666666667,600000.4,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.665759590511498,0.0,0.01582,0.0,0.0,0.0,0.332879795255749,0.00791,3.0,31.2,0.0,0.0,0.0,0.6,0.0,0.0
7.0,-5.355486,-419.90839720571813,-423.23719515827565,-5.355486,0.0,-1.0710972,-83.98167944114363,-84.64743903165513,0.6026816,0.37261179999999994,0.0,0.2173183999999999,0.5045717999999998,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0865919999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0817148685455322,250.0,0.09533333333333334,0.6373611111111112,1.0,1e-06,0.01,0.01,0.0,0.757101994606383,0.0,0.0136618,0.0,0.0,0.0,0.3785509973031915,0.0068309,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
8.0,-5.3687000000000005,-419.9144102841496,-423.69992025718153,-5.3687000000000005,0.0,-1.0737400000000001,-83.98288205682992,-84.73998405143631,0.6026816,0.37261179999999994,0.0,0.2173183999999999,0.5045717999999998,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0865919999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0817148685455322,250.0,0.09466666666666668,0.6355555555555555,1.0,1e-06,0.01,0.01,0.0,0.8475309746603192,0.0,0.011525182,0.0,0.0,0.0,0.4237654873301596,0.005762591,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
9.0,-0.6612619999999998,-452.1408134525047,-456.37846832580635,-0.6612619999999998,0.0,-0.13225239999999996,-90.42816269050094,-91.27569366516127,0.3314572,0.5016316,0.2376202,0.4885428,1.1007947999999999,0.0,0.0,0.0,0.0,0.0,1.6,0.6,0.2,0.0,0.0,0.0,1.0,0.6,0.2,0.0,0.0,0.0,0.0,2.442714,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0817148685455322,250.0,0.094,0.63375,200000.8,0.20000079999999992,0.138,0.03800000000000001,0.0,0.9370556649137161,0.0,0.00940993018,0.0,0.0,0.0,0.46852783245685803,0.00470496509,3.0,73.889186,0.2303502,-0.0053806,0.0,0.6,0.0,0.2
