episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,mean_q_defer,mean_q_cache_stale,path_cache_ratio,path_token_ratio,path_image_ratio,path_defer_ratio,path_cache_update_ratio,expert_agreement,expert_path_cache_ratio,expert_path_token_ratio,expert_path_image_ratio,expert_path_defer_ratio,expert_path_cache_update_ratio,mean_defer_count,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline,mobility_update_interval,mean_flight_energy_j,mean_arrival_delay_s,mean_coverage_gain,mean_utm_conflict_risk,mobility_reuse_ratio,serve_task_ratio,avoid_conflict_ratio
0.0,-4.793003000000001,-453.05018626982326,-453.05018626982326,-4.793003000000001,0.0,-0.9586006000000001,-90.61003725396465,-90.61003725396465,0.364288,0.5015796,0.0,0.45571199999999995,1.2191783999999999,0.0,0.0,0.2,0.0,0.0,2.6,0.8,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,2.2785599999999997,0.0,0.0,1.0,0.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9464787840843201,250.0,0.1,0.65,200000.8,1e-06,0.01,0.01,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.049,0.0,3.0,62.4,0.0,0.0,0.0,0.6,0.0,0.0
1.0,-5.418080999999999,-458.449621273326,-458.939621273326,-5.418080999999999,0.0,-1.0836161999999998,-91.6899242546652,-91.7879242546652,0.6026816,0.37261179999999994,0.0,0.2173183999999999,0.5045717999999998,0.0,0.0,0.6,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0865919999999996,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9464787840843201,250.0,0.09933333333333334,0.6481944444444445,1.0,1e-06,0.01,0.01,0.0,0.19502000000000003,0.0,0.0,0.0,0.0,0.0,0.09751000000000001,0.0,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
2.0,-7.292681,-465.83924741455337,-467.78944741455336,-7.292681,0.0,-0.7292681,-46.583924741455334,-46.778944741455334,0.21558099999999997,0.7466775999999999,0.0,0.604419,2.5754579,0.0,0.0,0.7,0.0,0.0,3.4,0.4,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,6.04419,0.0,0.0,1.0,0.0,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9464787840843201,250.0,0.09866666666666667,0.6463888888888889,600000.4,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.29106980000000005,0.0,0.0,0.0,0.0,0.0,0.14553490000000002,0.0,3.0,31.2,0.0,0.0,0.0,0.6,0.0,0.0
3.0,-7.282538,-583.2391632833717,-586.149861283372,-7.282538,0.0,-0.7282538,-58.32391632833717,-58.61498612833721,0.16645320000000002,0.7518182,0.0,0.6535468000000001,3.0421720000000003,0.0,0.0,2.7,0.0,0.0,3.4,0.4,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,6.535468000000001,0.0,0.0,3.0,0.0,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9464787840843201,250.0,0.098,0.6445833333333334,600000.4,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.38615910200000003,0.0,0.0,0.0,0.0,0.0,0.19307955100000002,0.0,3.0,31.2,0.0,0.0,0.0,0.6,0.0,0.0
4.0,-2.3801289999999997,-410.2439189287716,-413.3331917447716,-2.3801289999999997,0.0,-0.23801289999999997,-41.02439189287716,-41.33331917447716,0.20889119999999997,0.7516406,0.1188101,0.5771088000000001,2.6901962,0.0,0.0,0.0,0.0,0.0,2.7,0.3,0.1,0.0,0.0,0.0,1.0,0.3,0.1,0.0,0.0,0.0,0.0,5.771088000000001,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.9464787840843201,250.0,0.09733333333333334,0.6427777777777778,600000.4,0.10000089999999995,0.07400000000000001,0.024000000000000007,0.015000000000000003,0.46029751098000005,0.0,0.0,0.0,0.0,0.0,0.23764875549000003,0.0,3.0,31.2,0.0,0.0,0.0,0.6,0.0,0.0
5.0,-4.834186,-382.09518953306326,-384.3966770879633,-4.834186,0.0,-0.9668372,-76.41903790661266,-76.87933541759267,0.43116199999999993,0.4933552,0.0,0.38883799999999996,0.7769765999999999,0.0,0.0,0.0,0.0,0.0,2.6,0.8,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,1.9441899999999999,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9464787840843201,250.0,0.09666666666666668,0.6409722222222223,200000.8,1e-06,0.01,0.01,0.009850000000000001,0.5536945358702,0.0,0.0,0.0,0.0,0.0,0.2817722679351,0.0,3.0,62.4,0.0,0.0,0.0,0.6,0.0,0.0
6.0,-5.355486,-419.90839720571813,-422.67686988506915,-5.355486,0.0,-1.0710972,-83.98167944114363,-84.53537397701383,0.6026816,0.37261179999999994,0.0,0.2173183999999999,0.5045717999999998,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0865919999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9464787840843201,250.0,0.096,0.6391666666666667,1.0,1e-06,0.01,0.01,0.0047515000000000005,0.646157590511498,0.0,0.0,0.0,0.0,0.0,0.325454545255749,0.0,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
7.0,-5.3687000000000005,-419.9144102841496,-423.1451982367071,-5.3687000000000005,0.0,-1.0737400000000001,-83.98288205682992,-84.62903964734141,0.6026816,0.37261179999999994,0.0,0.2173183999999999,0.5045717999999998,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0865919999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9464787840843201,250.0,0.09533333333333334,0.6373611111111112,1.0,1e-06,0.01,0.01,0.0,0.737696014606383,0.0,0.0,0.0,0.0,0.0,0.3688480073031915,0.0,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
8.0,-5.370415,-925.3025680898452,-928.991048162877,-5.370415,0.0,-1.0740830000000001,-185.06051361796904,-185.79820963257538,0.151254,0.369503,0.0,0.668746,2.0062379999999997,0.0,0.0,2.4,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.34373,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9464787840843201,250.0,0.09466666666666668,0.6355555555555555,1.0,1e-06,0.01,0.01,0.0,0.8283190544603192,0.0,0.0,0.0,0.0,0.0,0.4141595272301596,0.0,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
9.0,-2.001327,-169.65396764028793,-177.9371581848912,-2.001327,0.0,-0.2001327,-16.965396764028792,-17.79371581848912,0.1354778,0.8769152,0.1188101,0.6845222000000001,3.2135099999999994,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.1,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,6.845222000000001,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9464787840843201,250.0,0.094,0.63375,800000.2,0.10000089999999992,0.07400000000000001,0.02400000000000001,0.0,0.9180358639157159,0.0,0.0,0.0,0.0,0.0,0.45901793195785795,0.0,3.0,21.344593,0.1151751,-0.0016362000000000002,0.0,0.6,0.0,0.1
