episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
0.0,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.015000000000000003,0.07800000000000001,0.0,0.0,0.0,0.0,0.0,0.04650000000000001,0.0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009850000000000001,0.17522000000000001,0.0,0.0,0.0,0.0,0.0,0.092535,0.0
2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0047515000000000005,0.27146780000000004,0.0,0.0,0.0,0.0,0.0,0.13810965000000003,0.0
3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.366753122,0.0,0.0,0.0,0.0,0.0,0.183376561,0.0
4.0,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.015000000000000003,0.44108559078,0.0,0.0,0.0,0.0,0.0,0.22804279539,0.0
5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009850000000000001,0.5346747348722,0.0,0.0,0.0,0.0,0.0,0.2722623674361,0.0
6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0047515000000000005,0.627327987523478,0.0,0.0,0.0,0.0,0.0,0.316039743761739,0.0
7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7190547076482432,0.0,0.0,0.0,0.0,0.0,0.3595273538241216,0.0
8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8098641605717607,0.0,0.0,0.0,0.0,0.0,0.40493208028588035,0.0
9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8997655189660431,0.0,0.0,0.0,0.0,0.0,0.44988275948302153,0.0
10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9887678637763826,0.0,0.0,0.0,0.0,0.0,0.4943839318881913,0.0
11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0768801851386187,0.0,0.0,0.0,0.0,0.0,0.5384400925693094,0.0
12.0,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.015000000000000003,1.1441113832872325,0.0,0.0,0.0,0.0,0.0,0.5795556916436162,0.0
13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009850000000000001,1.2306702694543603,0.0,0.0,0.0,0.0,0.0,0.6202601347271801,0.0
14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0047515000000000005,1.3163635667598168,0.0,0.0,0.0,0.0,0.0,0.6605575333799084,0.0
15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4011999310922187,0.0,0.0,0.0,0.0,0.0,0.7005999655461094,0.0
16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4851879317812966,0.0,0.0,0.0,0.0,0.0,0.7425939658906483,0.0
17.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5683360524634837,0.0,0.0,0.0,0.0,0.0,0.7841680262317419,0.0
18.0,1.0,0.2,0.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,1.650652691938849,0.0,0.018000000000000002,0.024000000000000004,0.0,0.0,0.8253263459694244,0.009000000000000001
19.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7321461650194605,0.0,0.01582,0.007760000000000003,0.0,0.0,0.8660730825097303,0.00791
20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.812824703369266,0.0,0.0136618,0.0,0.0,0.0,0.906412351684633,0.0068309
21.0,1.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.005000000000000001,1.8826964563355733,0.0,0.011525182,0.0,0.0,0.0,0.9438482281677866,0.005762591
22.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9618694917722177,0.0,0.00940993018,0.0,0.0,0.0,0.9809347458861088,0.00470496509
23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0402507968544956,0.0,0.007315830878199999,0.0,0.0,0.0,1.0201253984272478,0.0036579154390999997
24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1178482888859507,0.0,0.005242672569417999,0.0,0.0,0.0,1.0589241444429753,0.0026213362847089996
25.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.194669805997091,0.0,0.0031902458437238195,0.0,0.0,0.0,1.0973349029985455,0.0015951229218619098
26.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27072310793712,0.0,0.0011583433852865813,0.0,0.0,0.0,1.13536155396856,0.0005791716926432907
27.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3460158768577486,0.0,0.0,0.0,0.0,0.0,1.1730079384288743,0.0
28.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.420555718089171,0.0,0.0,0.0,0.0,0.0,1.2102778590445855,0.0
29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.494350160908279,0.0,0.0,0.0,0.0,0.0,1.2471750804541395,0.0
30.0,1.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.005000000000000001,2.5574066592991964,0.0,0.0,0.0,0.0,0.0,1.2812033296495982,0.0
31.0,1.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.009950000000000002,2.6198325927062047,0.0,0.0,0.0,0.0,0.0,1.3148912963531023,0.0
32.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004850500000000001,2.6916342667791424,0.0,0.0,0.0,0.0,0.0,1.3482423833895711,0.0
33.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.762717924111351,0.0,0.0,0.0,0.0,0.0,1.3813589620556754,0.0
34.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8330907448702374,0.0,0.0,0.0,0.0,0.0,1.4165453724351187,0.0
35.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.902759837421535,0.0,0.0,0.0,0.0,0.0,1.4513799187107674,0.0
36.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9717322390473195,0.0,0.0,0.0,0.0,0.0,1.4858661195236598,0.0
37.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.040014916656846,0.0,0.0,0.0,0.0,0.0,1.520007458328423,0.0
38.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1076147674902774,0.0,0.0,0.0,0.0,0.0,1.5538073837451387,0.0
39.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1745386198153747,0.0,0.0,0.0,0.0,0.0,1.5872693099076873,0.0
40.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2407932336172207,0.0,0.0,0.0,0.0,0.0,1.6203966168086104,0.0
