episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,mean_q_defer,mean_q_cache_stale,path_cache_ratio,path_token_ratio,path_image_ratio,path_defer_ratio,path_cache_update_ratio,expert_agreement,expert_path_cache_ratio,expert_path_token_ratio,expert_path_image_ratio,expert_path_defer_ratio,expert_path_cache_update_ratio,mean_defer_count,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline,mobility_update_interval,mean_flight_energy_j,mean_arrival_delay_s,mean_coverage_gain,mean_utm_conflict_risk,mobility_reuse_ratio,serve_task_ratio,avoid_conflict_ratio
0.0,-6.224844,-378.13465968171033,-378.13465968171033,-6.224844,0.0,-0.6224844,-37.81346596817103,-37.81346596817103,0.1317014,0.8125005,0.0,0.6542986000000001,3.2305248,0.0,0.0,0.0,0.0,0.0,2.7,0.3,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,6.542986000000001,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.9472754001617432,250.0,0.1,0.65,700000.3,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.015000000000000003,0.07800000000000001,0.0,0.0,0.0,0.0,0.0,0.04650000000000001,0.0,3.0,23.4,0.0,0.0,0.0,0.6,0.0,0.0
1.0,-5.418080999999999,-458.449621273326,-458.839621273326,-5.418080999999999,0.0,-1.0836161999999998,-91.6899242546652,-91.76792425466519,0.6026816,0.37261179999999994,0.0,0.2173183999999999,0.5045717999999998,0.0,0.0,0.6,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0865919999999996,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9472754001617432,250.0,0.09933333333333334,0.6481944444444445,1.0,1e-06,0.01,0.01,0.009850000000000001,0.17522000000000001,0.0,0.0,0.0,0.0,0.0,0.092535,0.0,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
2.0,-4.792681,-339.565337639465,-340.441437639465,-4.792681,0.0,-0.9585362,-67.91306752789299,-68.088287527893,0.5017964,0.4960332,0.0,0.3182035999999999,0.7063421999999998,0.0,0.0,0.2,0.0,0.0,2.6,0.8,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,1.5910179999999996,0.0,0.0,1.0,0.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9472754001617432,250.0,0.09866666666666667,0.6463888888888889,200000.8,1e-06,0.01,0.01,0.0047515000000000005,0.27146780000000004,0.0,0.0,0.0,0.0,0.0,0.13810965000000003,0.0,3.0,62.4,0.0,0.0,0.0,0.6,0.0,0.0
3.0,-7.282538,-583.2391632833717,-585.9538412833716,-7.282538,0.0,-0.7282538,-58.32391632833717,-58.59538412833716,0.16645320000000002,0.7518182,0.0,0.6535468000000001,3.0421720000000003,0.0,0.0,2.7,0.0,0.0,3.4,0.4,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,6.535468000000001,0.0,0.0,3.0,0.0,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9472754001617432,250.0,0.098,0.6445833333333334,600000.4,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.366753122,0.0,0.0,0.0,0.0,0.0,0.183376561,0.0,3.0,31.2,0.0,0.0,0.0,0.6,0.0,0.0
4.0,-2.3801289999999997,-416.79672341348333,-419.73074838948327,-2.3801289999999997,0.0,-0.23801289999999997,-41.679672341348336,-41.97307483894833,0.1950076007627298,0.7184471196254523,0.1188101,0.5909923992372702,2.7873813946608914,0.0,0.0,0.0,0.0,0.0,2.7,0.3,0.1,0.0,0.0,0.0,1.0,0.3,0.1,0.0,0.0,0.0,0.0,5.909923992372702,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.9472754001617432,250.0,0.09733333333333334,0.6427777777777778,600000.4,0.10000089999999995,0.07400000000000001,0.024000000000000007,0.015000000000000003,0.44108559078,0.0,0.0,0.0,0.0,0.0,0.22804279539,0.0,3.0,31.2,0.0,0.0,0.0,0.6,0.0,0.0
5.0,-4.834186,-382.09518953306326,-384.3006174869633,-4.834186,0.0,-0.9668372,-76.41903790661266,-76.86012349739266,0.43116199999999993,0.4933552,0.0,0.38883799999999996,0.7769765999999999,0.0,0.0,0.0,0.0,0.0,2.6,0.8,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,1.9441899999999999,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9472754001617432,250.0,0.09666666666666668,0.6409722222222223,200000.8,1e-06,0.01,0.01,0.009850000000000001,0.5346747348722,0.0,0.0,0.0,0.0,0.0,0.2722623674361,0.0,3.0,62.4,0.0,0.0,0.0,0.6,0.0,0.0
6.0,-5.355486,-419.90839720571813,-422.58177088007915,-5.355486,0.0,-1.0710972,-83.98167944114363,-84.51635417601582,0.6026816,0.37261179999999994,0.0,0.2173183999999999,0.5045717999999998,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0865919999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9472754001617432,250.0,0.096,0.6391666666666667,1.0,1e-06,0.01,0.01,0.0047515000000000005,0.627327987523478,0.0,0.0,0.0,0.0,0.0,0.316039743761739,0.0,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
7.0,-5.3687000000000005,-419.9144102841496,-423.05105022176696,-5.3687000000000005,0.0,-1.0737400000000001,-83.98288205682992,-84.6102100443534,0.6026816,0.37261179999999994,0.0,0.2173183999999999,0.5045717999999998,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0865919999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9472754001617432,250.0,0.09533333333333334,0.6373611111111112,1.0,1e-06,0.01,0.01,0.0,0.7190547076482432,0.0,0.0,0.0,0.0,0.0,0.3595273538241216,0.0,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
8.0,-5.370415,-925.3025680898452,-928.8978416280863,-5.370415,0.0,-1.0740830000000001,-185.06051361796904,-185.77956832561728,0.151254,0.369503,0.0,0.668746,2.0062379999999997,0.0,0.0,2.4,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.34373,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9472754001617432,250.0,0.09466666666666668,0.6355555555555555,1.0,1e-06,0.01,0.01,0.0,0.8098641605717607,0.0,0.0,0.0,0.0,0.0,0.40493208028588035,0.0,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
9.0,-2.001327,-175.93065524220472,-184.02929684792247,-2.001327,0.0,-0.2001327,-17.59306552422047,-18.402929684792248,0.1215942007627298,0.8437217196254523,0.1188101,0.6984057992372702,3.352345992372702,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.1,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,6.984057992372702,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9472754001617432,250.0,0.094,0.63375,800000.2,0.10000089999999992,0.07400000000000001,0.02400000000000001,0.0,0.8997655189660431,0.0,0.0,0.0,0.0,0.0,0.44988275948302153,0.0,3.0,21.344593,0.1151751,-0.0016362000000000002,0.0,0.6,0.0,0.1
