episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
2.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
3.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
5.0,1.0,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
6.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
7.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
8.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
9.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
10.0,0.8,0.1,0.1,0.7,0.1,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
13.0,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
15.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
17.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
18.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
19.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
21.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
22.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
25.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
26.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
27.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
28.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
30.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
31.0,0.8,0.1,0.1,0.7,0.1,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
32.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
33.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
34.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
35.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
36.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
37.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
38.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
39.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
40.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
41.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
42.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.0,6.84,4.0,0.92,0.0,4.87,3.42
