episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,mean_q_defer,mean_q_cache_stale,path_cache_ratio,path_token_ratio,path_image_ratio,path_defer_ratio,path_cache_update_ratio,expert_agreement,expert_path_cache_ratio,expert_path_token_ratio,expert_path_image_ratio,expert_path_defer_ratio,expert_path_cache_update_ratio,mean_defer_count,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline,mobility_update_interval,mean_flight_energy_j,mean_arrival_delay_s,mean_coverage_gain,mean_utm_conflict_risk,mobility_reuse_ratio,serve_task_ratio,avoid_conflict_ratio
0.0,-5.418080999999999,-168.34232581830355,-168.34232581830355,-5.418080999999999,0.4,-1.0836161999999998,-33.66846516366071,-33.66846516366071,0.6026816,0.37261179999999994,0.0,0.06634439999999997,0.13268879999999994,0.0,0.0,0.6,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33172199999999985,0.0,0.0,2.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.4288222789764404,250.0,0.1,0.65,1.0,1e-06,0.01,0.01,0.0,0.057999999999999996,0.0,0.0,0.0,0.0,0.0,0.028999999999999998,0.0,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
1.0,-5.359248,-289.0388212144421,-289.2128212144421,-5.359248,0.4,-1.0718496,-57.807764242888425,-57.84256424288842,0.4614127999999999,0.36725579999999997,0.0,0.2076132,0.34459199999999995,0.0,0.0,0.6,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.038066,0.0,0.0,2.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.4288222789764404,250.0,0.09933333333333334,0.6481944444444445,1.0,1e-06,0.01,0.01,0.0,0.11542,0.0,0.0,0.0,0.0,0.0,0.05771,0.0,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
2.0,-6.715603,-234.68159074718594,-235.8357907471859,-6.715603,0.0,-0.6715603,-23.468159074718592,-23.583579074718592,0.1513278,0.8148679,0.0,0.4636722000000001,2.0205498,0.0,0.0,2.7,0.0,0.0,2.7,0.3,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,4.636722000000001,0.0,0.0,3.0,0.0,0.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4288222789764404,250.0,0.09866666666666667,0.6463888888888889,700000.3,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.2122658,0.0,0.0,0.0,0.0,0.0,0.1061329,0.0,3.0,23.4,0.0,0.0,0.0,0.6,0.0,0.0
3.0,-5.5921590000000005,-76.02180799728627,-78.14446599728629,-5.5921590000000005,0.0,-0.5592159000000001,-7.602180799728627,-7.814446599728629,0.05828799999999999,0.9377751,0.0,0.5567120000000001,2.79962,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,5.567120000000001,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4288222789764404,250.0,0.098,0.6445833333333334,900000.1,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.30814314200000004,0.0,0.0,0.0,0.0,0.0,0.15407157100000002,0.0,3.0,7.8,0.0,0.0,0.0,0.6,0.0,0.0
4.0,-6.761208,-62.08560640266494,-64.55075153866495,-6.761208,0.2,-0.6761208,-6.208560640266494,-6.455075153866495,0.2004556,0.8097272999999999,0.0,0.44155740000000004,1.8104592,0.0,0.0,0.0,0.0,0.0,2.7,0.3,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,4.415574,0.0,0.0,0.0,0.0,0.7,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.4288222789764404,250.0,0.09733333333333334,0.6427777777777778,700000.3,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.38306171058000005,0.0,0.0,0.0,0.0,0.0,0.19153085529000002,0.0,3.0,23.4,0.0,0.0,0.0,0.6,0.0,0.0
5.0,-5.355486,-149.7616083426957,-150.9107934744357,-5.355486,0.4,-1.0710972,-29.95232166853914,-30.182158694887143,0.6026816,0.37261179999999994,0.0,0.06634439999999997,0.13268879999999994,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33172199999999985,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.4288222789764404,250.0,0.09666666666666668,0.6409722222222223,1.0,1e-06,0.01,0.01,0.0,0.4372310934742,0.0,0.0,0.0,0.0,0.0,0.2186155467371,0.0,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
6.0,-5.3687000000000005,-149.76762142112707,-151.0793147015497,-5.3687000000000005,0.4,-1.0737400000000001,-29.953524284225416,-30.21586294030994,0.6026816,0.37261179999999994,0.0,0.06634439999999997,0.13268879999999994,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33172199999999985,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.4288222789764404,250.0,0.096,0.6391666666666667,1.0,1e-06,0.01,0.01,0.0,0.490858782539458,0.0,0.0,0.0,0.0,0.0,0.245429391269729,0.0,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
7.0,3.5291739999999994,-159.88193710580538,-161.35451345342375,3.5291739999999994,0.4,0.7058347999999999,-31.976387421161075,-32.27090269068475,0.45558599999999994,0.5060112,0.4752404,0.22217320000000002,0.3644452,0.0,0.0,0.2,0.0,0.0,0.8,0.4,0.4,0.0,0.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,1.1108660000000001,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.0,0.6,0.0,0.2,0.0,0.0,0.0,1.4288222789764404,250.0,0.09533333333333334,0.6373611111111112,200000.8,0.3882454756694793,0.28703155821561815,0.1409575898051262,0.0,0.5439501947140635,0.0,0.018000000000000002,0.0,0.0,0.0,0.27197509735703174,0.009000000000000001,3.0,85.378372,0.4607004,-0.0056558,0.0,0.6,0.0,0.4
8.0,-5.379166,-594.3343425405511,-597.0540935141214,-5.379166,0.0,-1.0758332,-118.86686850811023,-119.41081870282429,0.151254,0.369503,0.0,0.463746,1.391238,0.0,0.0,2.4,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.31873,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4288222789764404,250.0,0.09466666666666668,0.6355555555555555,1.0,1e-06,0.01,0.01,0.0,0.6365106927669228,0.0,0.01582,0.0,0.0,0.0,0.3182553463834614,0.00791,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
9.0,-6.15449,-152.47699386275795,-155.05467663382564,-6.15449,0.0,-1.230898,-30.49539877255159,-31.01093532676513,0.35615,0.6314374,0.2376202,0.2902296,0.8264592000000001,1.4337010000000001,0.0,0.6,0.0,0.0,0.8,0.4,0.2,0.0,0.0,0.0,1.0,0.4,0.2,0.0,0.0,0.0,0.0,1.4511479999999999,1.4337010000000001,0.0,1.0,0.0,0.6,0.8,0.4,0.0,0.8,0.0,0.4,0.0,0.0,0.0,1.4288222789764404,250.0,0.094,0.63375,400000.6,0.20000079999999992,0.138,0.03800000000000001,0.0,0.7081455858392536,0.0,0.05366180000000001,0.0,0.0,0.0,0.3540727929196268,0.026830900000000005,3.0,108.1949952,0.6547194000000001,-0.0167296,0.0,0.6,0.0,0.0
