episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.049,0.0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19502000000000003,0.0,0.0,0.0,0.0,0.0,0.09751000000000001,0.0
2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29106980000000005,0.0,0.0,0.0,0.0,0.0,0.14553490000000002,0.0
3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38615910200000003,0.0,0.0,0.0,0.0,0.0,0.19307955100000002,0.0
4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48029751098000006,0.0,0.0,0.0,0.0,0.0,0.24014875549000003,0.0
5.0,1.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.005000000000000001,0.5634945358702,0.0,0.0,0.0,0.0,0.0,0.2842472679351,0.0
6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.655859590511498,0.0,0.0,0.0,0.0,0.0,0.327929795255749,0.0
7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747300994606383,0.0,0.0,0.0,0.0,0.0,0.3736504973031915,0.0
8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8378279846603192,0.0,0.0,0.0,0.0,0.0,0.4189139923301596,0.0
9.0,0.9,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9174497048137159,0.0,0.0,0.0,0.0,0.0,0.45872485240685795,0.0
10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0062752077655788,0.0,0.0,0.0,0.0,0.0,0.5031376038827894,0.0
11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094212455687923,0.0,0.0,0.0,0.0,0.0,0.5471062278439615,0.0
12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1812703311310437,0.0,0.0,0.0,0.0,0.0,0.5906351655655219,0.0
13.0,1.0,0.1,0.2,0.8,0.1,0.0,0.0,0.0,0.0,0.015000000000000003,1.2474576278197334,0.005000000000000001,0.0,0.0,0.0,0.0,0.6312288139098666,0.0025000000000000005
14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009850000000000001,1.3329830515415362,0.0,0.0,0.0,0.0,0.0,0.671416525770768,0.0
