episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,escalation_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_escalation,lambda_quality,lambda_deadline
0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.5555555555555556,0.0061111111111111106,0.03133333333333333,0.0061111111111111106,0.0,0.0,0.0,0.0,0.04005555555555556,0.01872222222222222,0.0030555555555555553
1.0,0.4,0.2,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.6,0.0011111111111111096,0.06933333333333333,0.0010499999999999989,0.018000000000000002,0.0,0.0,0.0,0.08455555555555555,0.03522222222222222,0.009525
2.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.07733333333333334,0.0,0.01582,0.0,0.0,0.0,0.15905555555555556,0.03866666666666667,0.00791
3.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.11533333333333334,0.0,0.0136618,0.0,0.0,0.0,0.20355555555555555,0.05766666666666667,0.0068309
4.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.7777777777777778,0.0061111111111111106,0.12444444444444445,0.0061111111111111106,0.011525182,0.0,0.0,0.0,0.2658333333333333,0.06527777777777778,0.008818146555555555
5.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0011111111111111096,0.18244444444444446,0.0010499999999999989,0.00940993018,0.0,0.0,0.0,0.29033333333333333,0.09177777777777779,0.005229965089999999
6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2804444444444445,0.0,0.007315830878199999,0.0,0.0,0.0,0.2748333333333333,0.14022222222222225,0.0036579154390999997
7.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2984444444444445,0.0,0.005242672569417999,0.0,0.0,0.0,0.3393333333333333,0.14922222222222226,0.0026213362847089996
8.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.31644444444444453,0.0,0.0031902458437238195,0.0,0.0,0.0,0.4038333333333333,0.15822222222222226,0.0015951229218619098
9.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.33444444444444454,0.0,0.021158343385286583,0.0,0.0,0.0,0.4483333333333333,0.16722222222222227,0.010579171692643292
10.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.41244444444444456,0.0,0.018946759951433717,0.0,0.0,0.0,0.4528333333333333,0.20622222222222228,0.009473379975716859
11.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.45044444444444454,0.0,0.016757292351919383,0.0,0.0,0.0,0.4973333333333333,0.22522222222222227,0.008378646175959691
12.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.5555555555555556,0.0061111111111111106,0.48177777777777786,0.0061111111111111106,0.01458971942840019,0.0,0.0,0.0,0.5373888888888888,0.2439444444444445,0.01035041526975565
