episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,mean_q_defer,mean_q_cache_stale,path_cache_ratio,path_token_ratio,path_image_ratio,path_defer_ratio,path_cache_update_ratio,expert_agreement,expert_path_cache_ratio,expert_path_token_ratio,expert_path_image_ratio,expert_path_defer_ratio,expert_path_cache_update_ratio,mean_defer_count,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,escalation_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_escalation,lambda_quality,lambda_deadline,mobility_update_interval,mean_flight_energy_j,mean_arrival_delay_s,mean_coverage_gain,mean_utm_conflict_risk,mobility_reuse_ratio,serve_task_ratio,avoid_conflict_ratio
0.0,-7.724844,-443.1030270091764,-443.1030270091764,-7.724844,0.5555555555555556,-0.858316,-49.233669667686264,-49.233669667686264,0.0,0.7916672222222222,0.0,0.6774444444444443,3.461444444444444,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.4444444444444444,0.0,0.0,0.0,0.0,1.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,6.096999999999999,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.5555555555555556,1.3870593309402466,250.0,0.1,0.65,666667.0,1e-06,0.01,0.01,0.0061111111111111106,0.03133333333333333,0.0061111111111111106,0.0,0.0,0.0,0.0,0.04005555555555556,0.01872222222222222,0.0030555555555555553,3.0,26.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
1.0,-4.183503,-319.11169795403924,-319.2945312873726,-4.183503,0.4,-0.8367006,-63.82233959080785,-63.858906257474516,0.0,0.7480166,0.0,0.5104,1.4384000000000001,0.0,0.0,0.2,0.0,0.0,1.6,0.6,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,2.552,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.6,1.3870593309402466,250.0,0.09933333333333334,0.6481944444444445,600000.4,1e-06,0.01,0.01,0.0011111111111111096,0.06933333333333333,0.0010499999999999989,0.018000000000000002,0.0,0.0,0.0,0.08455555555555555,0.03522222222222222,0.009525,3.0,31.2,0.0,0.0,0.0,0.6,0.0,0.0
2.0,-5.579853,13.56325168470589,12.73291835137254,-5.579853,0.9,-0.5579853,1.356325168470589,1.273291835137254,0.0,0.935719,0.0,0.6495999999999998,3.3872,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,6.495999999999999,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,1.3870593309402466,250.0,0.09866666666666667,0.6463888888888889,900000.1,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.07733333333333334,0.0,0.01582,0.0,0.0,0.0,0.15905555555555556,0.03866666666666667,0.00791,3.0,7.8,0.0,0.0,0.0,0.6,0.0,0.0
3.0,-7.282538,-484.195274466196,-485.45894113286266,-7.282538,0.6,-0.7282538,-48.4195274466196,-48.545894113286266,0.0,0.7518182,0.0,0.6263999999999998,3.201599999999999,0.0,0.0,2.7,0.0,0.0,3.4,0.4,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,6.2639999999999985,0.0,0.0,3.0,0.0,0.6,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,1.3870593309402466,250.0,0.098,0.6445833333333334,600000.4,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.11533333333333334,0.0,0.0136618,0.0,0.0,0.0,0.20355555555555555,0.05766666666666667,0.0068309,3.0,31.2,0.0,0.0,0.0,0.6,0.0,0.0
4.0,-6.5921590000000005,-143.4492681309019,-144.98949035312413,-6.5921590000000005,0.7777777777777778,-0.7324621111111111,-15.938807570100213,-16.109943372569347,0.0,0.9299447777777777,0.0,0.6774444444444443,3.461444444444444,0.0,0.0,0.7777777777777778,0.0,0.0,0.8888888888888888,0.2222222222222222,0.0,0.0,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,6.096999999999999,0.0,0.0,1.0,0.0,0.7777777777777778,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.7777777777777778,1.3870593309402466,250.0,0.09733333333333334,0.6427777777777778,888889.0,1e-06,0.01,0.01,0.0061111111111111106,0.12444444444444445,0.0061111111111111106,0.011525182,0.0,0.0,0.0,0.2658333333333333,0.06527777777777778,0.008818146555555555,3.0,8.666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
5.0,-4.261208,-518.9748344252548,-519.8798344252549,-4.261208,0.4,-0.8522415999999999,-103.79496688505097,-103.97596688505098,0.0,0.6217018,0.0,0.6495999999999998,1.8559999999999994,0.0,0.0,1.4,0.0,0.0,1.6,0.6,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,3.2479999999999993,0.0,0.0,2.0,0.0,0.4,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,1.3870593309402466,250.0,0.09666666666666668,0.6409722222222223,400000.6,1e-06,0.01,0.01,0.0011111111111111096,0.18244444444444446,0.0010499999999999989,0.00940993018,0.0,0.0,0.0,0.29033333333333333,0.09177777777777779,0.005229965089999999,3.0,46.8,0.0,0.0,0.0,0.6,0.0,0.0
6.0,-5.355486,-612.0573395214117,-612.969561743634,-5.355486,0.0,-1.0710972,-122.41146790428233,-122.5939123487268,0.0,0.37261179999999994,0.0,0.5568,1.5312,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3870593309402466,250.0,0.096,0.6391666666666667,1.0,1e-06,0.01,0.01,0.0,0.2804444444444445,0.0,0.007315830878199999,0.0,0.0,0.0,0.2748333333333333,0.14022222222222225,0.0036579154390999997,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
7.0,-6.160221,-99.41800302117646,-102.17755857673201,-6.160221,0.8,-0.6160221,-9.941800302117645,-10.2177558576732,0.0,0.871438,0.0,0.6263999999999998,3.201599999999999,0.0,0.0,0.0,0.0,0.0,1.9,0.2,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,6.2639999999999985,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,1.3870593309402466,250.0,0.09533333333333334,0.6373611111111112,800000.2,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.2984444444444445,0.0,0.005242672569417999,0.0,0.0,0.0,0.3393333333333333,0.14922222222222226,0.0026213362847089996,3.0,15.6,0.0,0.0,0.0,0.6,0.0,0.0
8.0,-6.161341999999999,-232.66957844847053,-235.98113400402605,-6.161341999999999,0.8,-0.6161342,-23.266957844847052,-23.598113400402603,0.0,0.8739006,0.0,0.6959999999999998,3.8279999999999994,0.0,0.0,0.0,0.0,0.0,1.5,0.2,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,6.959999999999998,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,1.3870593309402466,250.0,0.09466666666666668,0.6355555555555555,800000.2,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.31644444444444453,0.0,0.0031902458437238195,0.0,0.0,0.0,0.4038333333333333,0.15822222222222226,0.0015951229218619098,3.0,15.6,0.0,0.0,0.0,0.6,0.0,0.0
9.0,0.024262000000000228,-174.8960326529894,-176.42716734327757,0.024262000000000228,0.6,0.004852400000000046,-34.97920653059788,-35.28543346865551,0.1543796,0.7538304,0.2376202,0.5104,1.3456,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.2,0.0,0.0,0.0,1.0,0.4,0.2,0.0,0.0,0.0,0.0,2.552,0.0,0.0,0.0,0.0,0.6,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.6,1.3870593309402466,250.0,0.094,0.63375,600000.4,0.1841805885298729,0.15486167493462563,0.0985020660161972,0.0,0.33444444444444454,0.0,0.021158343385286583,0.0,0.0,0.0,0.4483333333333333,0.16722222222222227,0.010579171692643292,3.0,42.689186,0.2303502,-0.002895,0.0,0.6,0.0,0.2
