episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,mean_q_defer,mean_q_cache_stale,path_cache_ratio,path_token_ratio,path_image_ratio,path_defer_ratio,path_cache_update_ratio,expert_agreement,expert_path_cache_ratio,expert_path_token_ratio,expert_path_image_ratio,expert_path_defer_ratio,expert_path_cache_update_ratio,mean_defer_count,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,escalation_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_escalation,lambda_quality,lambda_deadline,mobility_update_interval,mean_flight_energy_j,mean_arrival_delay_s,mean_coverage_gain,mean_utm_conflict_risk,mobility_reuse_ratio,serve_task_ratio,avoid_conflict_ratio
0.0,-2.582401,-325.18535915685345,-354.4053591568535,-2.582401,0.1,-0.2582401,-32.51853591568535,-35.440535915685345,0.0989343,0.6911167,0.20853515624999996,0.46700079999999994,2.3669056,0.0,0.0,0.8,0.0,0.0,1.8,0.2,0.2,0.0,0.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,4.670007999999999,0.0,0.0,1.0,0.0,0.8,0.9,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.2887319326400757,250.0,0.1,0.65,600000.4,0.19265983890132898,0.15809331911802293,0.09731273996829988,0.0,9.74,0.0,6.84,4.0,0.92,0.0,0.0,4.87,3.42,3.0,42.68918599999999,0.2303502,-0.002376,0.0,0.6,0.0,0.2
1.0,-6.724559,-219.98097942473686,-249.20097942473683,-6.724559,0.7,-0.6724559,-21.998097942473684,-24.92009794247368,0.0,0.8097272999999999,0.0,0.6032,3.0392,0.0,0.0,0.0,0.0,0.0,2.7,0.3,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,6.031999999999999,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,1.2887319326400757,250.0,0.09933333333333334,0.6481944444444445,700000.3,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,9.74,0.0,6.84,4.0,0.92,0.0,0.0,4.87,3.42,3.0,23.4,0.0,0.0,0.0,0.6,0.0,0.0
2.0,-3.073342,-135.12750007235712,-154.6075000723571,-3.073342,0.8,-0.3073342,-13.512750007235713,-15.460750007235712,0.0858997,0.8397542,0.080615234375,0.6032,3.2247999999999997,0.0,2425.9315512000003,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,6.031999999999999,0.0,3032.414439,0.0,0.0,0.9,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,1.2887319326400757,250.0,0.09866666666666667,0.6463888888888889,800000.2,0.10000089999999995,0.07400000000000001,0.024000000000000007,0.0,9.74,0.0,6.84,4.0,0.92,0.0,0.0,4.87,3.42,3.0,357.5517417,2.9740794,0.0088989,0.0,0.6,0.1,0.0
3.0,-1.73723,-157.49697627366945,-186.71697627366947,-1.73723,0.125,-0.21715375,-19.68712203420868,-23.339622034208684,0.21814675,0.79866175,0.10076904296875,0.459375,2.335125,0.0,178.56032399999998,0.625,0.0,0.0,0.625,0.25,0.125,0.0,0.0,0.0,1.0,0.25,0.125,0.0,0.0,0.0,0.0,3.675,0.0,238.08043199999997,1.0,0.0,0.75,0.75,0.125,0.375,0.375,0.125,0.0,0.0,0.0,0.0,0.0,1.2887319326400757,250.0,0.098,0.6445833333333334,750000.25,0.11447089679920674,0.10350223347544671,0.09015566758811475,0.0,9.74,0.0,6.84,4.0,0.92,0.0,0.0,4.87,3.42,3.0,99.07541,0.759569875,-0.014328625,0.0,0.625,0.0,0.0
4.0,5.756295000000001,-51.358658961327805,-70.83865896132782,5.756295000000001,0.6,1.151259,-10.27173179226556,-14.167731792265565,0.4623552,0.31425780000000003,0.40205078125,0.2784,0.9743999999999999,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.4,0.0,0.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,1.392,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.2887319326400757,250.0,0.09733333333333334,0.6427777777777778,200000.8,0.4000006,0.266,0.06600000000000002,0.0,9.74,0.0,6.84,4.0,0.92,0.0,0.0,4.87,3.42,3.0,46.8,0.0,0.0,0.0,0.6,0.0,0.0
5.0,-1.927585,-142.73680809408702,-162.216808094087,-1.927585,0.2857142857142857,-0.2753692857142857,-20.390972584869576,-23.173829727726716,0.300738,0.6405495714285714,0.24271763392857143,0.39800114285714283,1.7081508571428567,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,1.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,2.786008,0.0,0.0,0.0,0.0,0.7142857142857143,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,1.2887319326400757,250.0,0.09666666666666668,0.6409722222222223,571429.0,0.2741315648903165,0.21414494918925422,0.12055609779698509,0.0,9.74,0.0,6.84,4.0,0.92,0.0,0.0,4.87,3.42,3.0,33.42857142857143,0.0,0.0,0.0,0.5714285714285714,0.0,0.0
6.0,-5.3687000000000005,-676.8642492275965,-715.8242492275965,-5.3687000000000005,0.0,-1.0737400000000001,-135.37284984551928,-143.1648498455193,0.0,0.3464912,0.0,0.6626,2.0545999999999998,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.3129999999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.2887319326400757,250.0,0.096,0.6391666666666667,1.0,1e-06,0.01,0.01,0.0,9.74,0.0,6.84,4.0,0.92,0.0,0.0,4.87,3.42,3.0,78.0,0.0,0.0,0.0,0.6,0.0,0.0
7.0,15.140664000000001,95.6803463740799,85.9403463740799,15.140664000000001,0.8,3.0281328000000003,19.13606927481598,17.18806927481598,0.79897484,0.1202342,0.48369140625,0.03285875999999999,0.06571751999999997,0.0,0.0,0.4,0.0,0.0,0.4,0.4,0.6,0.0,0.0,0.0,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.16429379999999993,0.0,0.0,1.0,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2887319326400757,250.0,0.09533333333333334,0.6373611111111112,0.9999999999998911,0.5524647424153328,0.4880047758817672,0.40982942605018613,0.0,9.74,0.0,6.84,4.0,0.92,0.0,0.0,4.87,3.42,3.0,88.8808914,0.49048379999999997,-0.0065894000000000005,0.0,0.6,0.0,0.0
8.0,-8.444704,-224.47873463193173,-264.53873463193173,-8.444704,0.0,-0.8444704,-22.447873463193172,-26.453873463193172,0.08190159999999999,0.8404786,24.280615234375,0.5262,2.8509,0.18179909999999982,193.5172485000001,0.9,0.9,0.0,0.7,0.1,0.0,0.1,0.0,0.0,1.0,0.1,0.0,0.1,0.0,0.0,0.0,5.262,0.20199899999999982,215.01916500000004,1.0,1.0,0.9,0.9,0.1,0.6,0.3,0.0,0.1,0.1,0.0,0.0,0.0,1.2887319326400757,250.0,0.09466666666666668,0.6355555555555555,800000.2,0.10000089999999992,0.07900000000000001,0.054000000000000006,0.0,9.74,0.0,6.84,4.0,0.92,0.0,0.0,4.87,3.42,3.0,58.383060799999996,0.4301281,-0.0110471,0.0,0.6,0.0,0.0
9.0,3.6825779999999995,-43.85658677591424,-60.43658677591424,3.6825779999999995,0.6666666666666666,0.613763,-7.30943112931904,-10.072764462652374,0.4340285,0.5704125,0.2687174479166667,0.3093333333333333,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.8559999999999999,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,1.2887319326400757,250.0,0.094,0.63375,500000.5,0.31037818301582326,0.28044363647699355,0.2612973733743032,0.0,9.74,0.0,6.84,4.0,0.92,0.0,0.0,4.87,3.42,3.0,13.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
