episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,escalation_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_escalation,lambda_quality,lambda_deadline
0.0,0.9,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.05499999999999999,0.027999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.041499999999999995,0.0
1.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.04999999999999999,0.055999999999999994,0.0,0.0,0.0,0.0,0.0,0.05449999999999999,0.05299999999999999,0.0
2.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.044999999999999984,0.074,0.0,0.0,0.0,0.0,0.0,0.10899999999999999,0.05949999999999999,0.0
3.0,0.75,0.125,0.375,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.07749999999999999,0.10949999999999999,0.0075,0.0,0.0,0.0,0.0,0.09349999999999999,0.09349999999999999,0.00375
4.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.07249999999999998,0.1475,0.0024249999999999983,0.0,0.0,0.0,0.0,0.07799999999999999,0.10999999999999999,0.0012124999999999992
5.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.09607142857142856,0.17407142857142857,0.011686464285714283,0.0,0.0,0.0,0.0,0.07678571428571428,0.13507142857142856,0.005843232142857141
6.0,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.11107142857142856,0.2520714285714286,0.006569599642857138,0.0,0.0,0.0,0.0,0.06128571428571428,0.18157142857142858,0.003284799821428569
7.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.10607142857142855,0.27007142857142863,0.0015039036464285652,0.0,0.0,0.0,0.0,0.04578571428571428,0.18807142857142858,0.0007519518232142826
8.0,0.9,0.1,0.6,0.3,0.0,0.1,0.1,0.0,0.0,0.0,0.16107142857142853,0.29807142857142865,0.0,0.008,0.004000000000000001,0.0,0.0,0.030285714285714277,0.2295714285714286,0.004
9.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,0.15607142857142853,0.3127380952380953,0.0,0.022586666666666668,0.0,0.0,0.0,0.06478571428571428,0.23440476190476192,0.011293333333333334
10.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.15107142857142852,0.3507380952380953,0.0,0.0203608,0.0,0.0,0.0,0.06928571428571428,0.2509047619047619,0.0101804
11.0,0.6,0.0,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.16607142857142854,0.3887380952380953,0.0,0.018157191999999996,0.024000000000000004,0.0,0.0,0.053785714285714284,0.27740476190476193,0.009078595999999998
12.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,0.16107142857142853,0.403404761904762,0.0,0.032642286746666666,0.007760000000000003,0.0,0.0,0.08828571428571427,0.2822380952380953,0.016321143373333333
13.0,0.8,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.21607142857142853,0.421404761904762,0.0,0.030315863879199996,0.0,0.0,0.0,0.08278571428571427,0.31873809523809526,0.015157931939599998
14.0,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.23107142857142854,0.439404761904762,0.0,0.028012705240407998,0.0,0.0,0.0,0.06728571428571427,0.3352380952380953,0.014006352620203999
15.0,0.7142857142857143,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.2546428571428571,0.4802619047619049,0.009285714285714284,0.025732578188003917,0.0,0.0,0.0,0.05178571428571427,0.367452380952381,0.0175091462368591
16.0,0.6666666666666666,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.29408730158730156,0.5004841269841271,0.015303968253968252,0.02347525240612388,0.006222222222222221,0.0,0.0,0.03628571428571427,0.39728571428571435,0.019389610330046065
17.0,0.6,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3090873015873016,0.5384841269841272,0.010150928571428568,0.02124049988206264,0.0,0.0,0.0,0.02078571428571427,0.4237857142857144,0.015695714226745604
18.0,1.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.36408730158730157,0.5764841269841272,0.0050494192857142815,0.019028094883242017,0.0,0.0,0.0,0.005285714285714269,0.4702857142857144,0.012038757084478149
19.0,0.9,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.41908730158730156,0.6044841269841272,0.0,0.0168378139344096,0.0,0.0,0.0,0.0,0.5117857142857144,0.0084189069672048
20.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.6666666666666666,0.41408730158730156,0.6135952380952383,0.0,0.025780546906176614,0.0,0.0,0.0,0.051166666666666666,0.51384126984127,0.012890273453088307
21.0,0.6,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4290873015873016,0.6515952380952383,0.0,0.02352274143711485,0.0,0.0,0.0,0.035666666666666666,0.54034126984127,0.011761370718557426
22.0,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4440873015873016,0.7295952380952384,0.0,0.021287514022743703,0.0,0.0,0.0,0.020166666666666666,0.5868412698412699,0.010643757011371852
23.0,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4590873015873016,0.8075952380952385,0.0,0.019074638882516266,0.0,0.0,0.0,0.004666666666666666,0.63334126984127,0.009537319441258133
24.0,1.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5140873015873015,0.8455952380952385,0.0,0.016883892493691106,0.0,0.0,0.0,0.0,0.67984126984127,0.008441946246845553
25.0,0.9,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5690873015873015,0.8735952380952385,0.0,0.014715053568754194,0.0,0.0,0.0,0.0,0.72134126984127,0.007357526784377097
26.0,0.6,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5840873015873015,0.9115952380952386,0.0,0.012567903033066652,0.0,0.0,0.0,0.0,0.74784126984127,0.006283951516533326
27.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.5714285714285714,0.5790873015873015,0.9238809523809528,0.0,0.02472793828845027,0.0,0.0,0.0,0.04164285714285714,0.7514841269841271,0.012363969144225134
28.0,0.8,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5940873015873015,0.9818809523809529,0.0,0.02248065890556577,0.0,0.0,0.0,0.02614285714285714,0.7879841269841272,0.011240329452782884
29.0,0.6,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6090873015873015,1.0198809523809529,0.0,0.020255852316510108,0.0,0.0,0.0,0.010642857142857141,0.8144841269841272,0.010127926158255054
30.0,0.6,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6240873015873015,1.057880952380953,0.0,0.018053293793345006,0.0,0.0,0.0,0.0,0.8409841269841272,0.009026646896672503
31.0,0.8,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6390873015873015,1.115880952380953,0.0,0.015872760855411554,0.0,0.0,0.0,0.0,0.8774841269841273,0.007936380427705777
32.0,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6540873015873016,1.193880952380953,0.0,0.01371403324685744,0.0,0.0,0.0,0.0,0.9239841269841274,0.00685701662342872
33.0,1.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7090873015873016,1.231880952380953,0.0,0.011576892914388865,0.0,0.0,0.0,0.0,0.9704841269841273,0.0057884464571944325
34.0,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.7207539682539683,1.2632142857142865,0.011666666666666665,0.009461123985244976,0.0,0.0,0.0,0.0,0.9919841269841274,0.010563895325955822
35.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.7157539682539683,1.2812142857142865,0.0065499999999999985,0.007366512745392526,0.0,0.0,0.0,0.05449999999999999,0.9984841269841274,0.006958256372696262
36.0,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.727420634920635,1.31254761904762,0.018151166666666663,0.0052928476179386,0.0,0.0,0.0,0.03899999999999999,1.0199841269841274,0.011722007142302631
37.0,0.8,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.742420634920635,1.37054761904762,0.012969654999999997,0.0032399191417592146,0.0,0.0,0.0,0.023499999999999993,1.0564841269841274,0.008104787070879606
38.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.7540873015873018,1.41854761904762,0.02450662511666666,0.0012075199503416225,0.0,0.0,0.0,0.007999999999999993,1.0863174603174608,0.01285707253350414
39.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.7657539682539685,1.46654761904762,0.03592822553216666,0.0,0.0,0.0,0.0,0.0,1.1161507936507942,0.01796411276608333
40.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.7774206349206352,1.5145476190476201,0.047235609943511656,0.0,0.0,0.0,0.0,0.0,1.1459841269841275,0.023617804971755828
41.0,0.8,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7924206349206352,1.5725476190476202,0.04176325384407653,0.0,0.0,0.0,0.0,0.0,1.1824841269841277,0.020881626922038266
42.0,0.6,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.8074206349206352,1.6105476190476202,0.03634562130563576,0.0,0.0,0.0,0.0,0.004500000000000001,1.2089841269841277,0.01817281065281788
43.0,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.8190873015873019,1.6418809523809537,0.04764883175924607,0.0,0.0,0.0,0.0,0.0,1.2304841269841278,0.023824415879623036
