episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,escalation_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_escalation,lambda_quality,lambda_deadline
0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.01,0.0,0.0,0.0,0.0,0.0,0.006500000000000001,0.005
1.0,0.15,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0049,0.0,0.0,0.0,0.0,0.0,0.0105,0.00245
2.0,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.00026315789473684156,0.03478947368421053,0.005114157894736841,0.0,0.0,0.0,0.0,0.0,0.017526315789473685,0.0025570789473684206
3.0,0.0,0.3684210526315789,0.0,0.0,0.05263157894736842,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.03278947368421053,0.005326174210526315,0.029578947368421052,0.0,0.0,0.0,0.0,0.016394736842105264,0.017452560789473683
4.0,0.05263157894736842,0.3157894736842105,0.05263157894736842,0.0,0.05263157894736842,0.2631578947368421,0.0,0.0,0.0,0.0,0.00026315789473684156,0.030789473684210526,0.005536070363157893,0.05359894736842105,0.0,0.0,0.0,0.0,0.015526315789473683,0.029567508865789474
5.0,0.3157894736842105,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.011052631578947368,0.04457894736842105,0.005743867554263156,0.05106295789473684,0.0,0.0,0.0,0.0,0.02781578947368421,0.028403412724499998
6.0,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.01716374269005848,0.04257894736842105,0.01735309554538719,0.04855232831578947,0.0,0.0,0.0,0.0,0.029871345029239764,0.03295271193058833
7.0,0.2,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02716374269005848,0.04557894736842105,0.012179564589933318,0.04606680503263157,0.0,0.0,0.0,0.0,0.03637134502923976,0.029123184811282447
8.0,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.02742690058479532,0.048842105263157895,0.012320926838770827,0.043606136982305255,0.0,0.0,0.0,0.0,0.038134502923976604,0.02796353191053804
9.0,0.3157894736842105,0.0,0.2631578947368421,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.04874269005847953,0.05210526315789474,0.007197717570383117,0.0411700756124822,0.0,0.0,0.0,0.0,0.050423976608187135,0.024183896591432656
10.0,0.2,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.06374269005847953,0.050105263157894736,0.012125740394679287,0.03875837485635737,0.0,0.0,0.0,0.0,0.056923976608187134,0.02544205762551833
11.0,0.45,0.0,0.15,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.07374269005847953,0.07810526315789473,0.007004482990732494,0.036370791107793794,0.0,0.0,0.0,0.0,0.07592397660818713,0.021687637049263145
12.0,0.10526315789473684,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07926900584795321,0.07610526315789473,0.0019344381608251675,0.03400708319671585,0.0,0.0,0.0,0.0,0.07768713450292397,0.01797076067877051
13.0,0.05,0.1,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0742690058479532,0.07910526315789473,0.0,0.04166701236474869,0.0,0.0,0.0,0.0,0.07668713450292397,0.020833506182374346
14.0,0.2,0.15,0.05,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0742690058479532,0.09210526315789473,0.0,0.0542503422411012,0.0,0.0,0.0,0.0,0.08318713450292398,0.0271251711205506
15.0,0.35,0.1,0.1,0.25,0.05,0.05,0.0,0.0,0.0,0.0,0.07926900584795321,0.11510526315789474,0.0,0.05670783881869019,0.0,0.0,0.0,0.0,0.09718713450292397,0.028353919409345094
16.0,0.15,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.08426900584795322,0.11810526315789474,0.0,0.05414076043050328,0.0,0.0,0.0,0.0,0.10118713450292398,0.02707038021525164
17.0,0.3,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.09426900584795321,0.13110526315789475,0.0,0.05159935282619825,0.0,0.0,0.0,0.0,0.11268713450292397,0.025799676413099125
18.0,0.3157894736842105,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.10505847953216374,0.14489473684210527,0.00026315789473684156,0.049083359297936266,0.0,0.0,0.0,0.0,0.1249766081871345,0.024673258596336553
19.0,0.0,0.3684210526315789,0.0,0.0,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.10005847953216374,0.14289473684210527,0.0,0.08343463096811479,0.0,0.0,0.0,0.0,0.1214766081871345,0.041717315484057396
20.0,0.3,0.05,0.05,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.10005847953216374,0.16589473684210526,0.0,0.08060028465843364,0.0,0.0,0.0,0.0,0.1329766081871345,0.04030014232921682
21.0,0.16666666666666666,0.0,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1006140350877193,0.17500584795321636,0.0,0.0777942818118493,0.0,0.0,0.0,0.0,0.13780994152046783,0.03889714090592465
22.0,0.21052631578947367,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.17300584795321636,0.0,0.07501633899373081,0.0,0.0,0.0,0.0,0.1448362573099415,0.037508169496865404
23.0,0.25,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.13166666666666668,0.17600584795321636,0.0,0.0722661756037935,0.0,0.0,0.0,0.0,0.15383625730994152,0.03613308780189675
24.0,0.1,0.35,0.05,0.05,0.05,0.3,0.0,0.0,0.0,0.0,0.13166666666666668,0.17900584795321636,0.0,0.09954351384775556,0.0,0.0,0.0,0.0,0.15533625730994152,0.04977175692387778
25.0,0.3684210526315789,0.0,0.05263157894736842,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.13192982456140354,0.20858479532163743,0.0,0.096548078709278,0.0,0.0,0.0,0.0,0.1702573099415205,0.048274039354639
26.0,0.0,0.47368421052631576,0.0,0.0,0.0,0.47368421052631576,0.0,0.0,0.0,0.0,0.12692982456140353,0.20658479532163743,0.0,0.1409510189748168,0.0,0.0,0.0,0.0,0.1667573099415205,0.0704755094874084
27.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14192982456140354,0.20458479532163742,0.0,0.13754150878506863,0.0,0.0,0.0,0.0,0.1732573099415205,0.06877075439253431
28.0,0.2,0.15,0.1,0.1,0.05,0.1,0.0,0.0,0.0,0.0,0.14692982456140355,0.21258479532163743,0.0,0.14416609369721795,0.0,0.0,0.0,0.0,0.1797573099415205,0.07208304684860897
29.0,0.2222222222222222,0.0,0.05555555555555555,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1474853801169591,0.2272514619883041,0.0,0.14072443276024577,0.0,0.0,0.0,0.0,0.1873684210526316,0.07036221638012288
30.0,0.3,0.05,0.1,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.1524853801169591,0.2452514619883041,0.0,0.14231718843264332,0.0,0.0,0.0,0.0,0.1988684210526316,0.07115859421632166
31.0,0.15,0.25,0.0,0.15,0.05,0.2,0.0,0.0,0.0,0.0,0.1474853801169591,0.2582514619883041,0.0,0.15889401654831686,0.0,0.0,0.0,0.0,0.20286842105263161,0.07944700827415843
32.0,0.35,0.15,0.2,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.16248538011695912,0.27125146198830413,0.0,0.1703050763828337,0.0,0.0,0.0,0.0,0.21686842105263163,0.08515253819141685
33.0,0.2,0.35,0.0,0.2,0.05,0.3,0.0,0.0,0.0,0.0,0.15748538011695912,0.28925146198830415,0.0,0.19660202561900536,0.0,0.0,0.0,0.0,0.22336842105263163,0.09830101280950268
