arm	seed	exit	start	end	dir
bl_oracle_best_feasible_evidence	0	0	2026-07-09T15:05:09	2026-07-09T15:05:22	outputs/rl/eps_recal_v7/bl_oracle_best_feasible_evidence_0
bl_oracle_best_feasible_evidence_nom	0	0	2026-07-09T15:05:22	2026-07-09T15:05:38	outputs/rl/eps_recal_v7/bl_oracle_best_feasible_evidence_0_nom
bl_oracle_escalation_aware	0	0	2026-07-09T15:05:38	2026-07-09T15:05:52	outputs/rl/eps_recal_v7/bl_oracle_escalation_aware_0
bl_oracle_escalation_aware_nom	0	0	2026-07-09T15:05:52	2026-07-09T15:06:08	outputs/rl/eps_recal_v7/bl_oracle_escalation_aware_0_nom
bl_semantic_greedy	0	0	2026-07-09T15:06:08	2026-07-09T15:06:19	outputs/rl/eps_recal_v7/bl_semantic_greedy_0
bl_semantic_greedy_nom	0	0	2026-07-09T15:06:19	2026-07-09T15:06:35	outputs/rl/eps_recal_v7/bl_semantic_greedy_0_nom
bl_always_cache	0	0	2026-07-09T15:06:35	2026-07-09T15:06:46	outputs/rl/eps_recal_v7/bl_always_cache_0
bl_always_cache_nom	0	0	2026-07-09T15:06:46	2026-07-09T15:07:02	outputs/rl/eps_recal_v7/bl_always_cache_0_nom
bl_random	0	0	2026-07-09T15:07:02	2026-07-09T15:07:13	outputs/rl/eps_recal_v7/bl_random_0
bl_random	1	0	2026-07-09T15:07:13	2026-07-09T15:07:24	outputs/rl/eps_recal_v7/bl_random_1
bl_random	2	0	2026-07-09T15:07:24	2026-07-09T15:07:35	outputs/rl/eps_recal_v7/bl_random_2
proposed	0	0	2026-07-09T15:07:35	2026-07-09T15:10:25	outputs/rl/eps_recal_v7/proposed_0
proposed_nom	0	0	2026-07-09T15:10:25	2026-07-09T15:10:43	outputs/rl/eps_recal_v7/proposed_0_nom
proposed	1	0	2026-07-09T15:10:43	2026-07-09T15:13:33	outputs/rl/eps_recal_v7/proposed_1
proposed_nom	1	0	2026-07-09T15:13:33	2026-07-09T15:13:51	outputs/rl/eps_recal_v7/proposed_1_nom
proposed	2	0	2026-07-09T15:13:51	2026-07-09T15:16:38	outputs/rl/eps_recal_v7/proposed_2
proposed_nom	2	0	2026-07-09T15:16:38	2026-07-09T15:16:57	outputs/rl/eps_recal_v7/proposed_2_nom
no_lagrangian	0	0	2026-07-09T15:16:57	2026-07-09T15:19:48	outputs/rl/eps_recal_v7/no_lagrangian_0
no_lagrangian_nom	0	0	2026-07-09T15:19:48	2026-07-09T15:20:07	outputs/rl/eps_recal_v7/no_lagrangian_0_nom
no_lagrangian	1	0	2026-07-09T15:20:07	2026-07-09T15:22:57	outputs/rl/eps_recal_v7/no_lagrangian_1
no_lagrangian_nom	1	0	2026-07-09T15:22:57	2026-07-09T15:23:16	outputs/rl/eps_recal_v7/no_lagrangian_1_nom
no_lagrangian	2	0	2026-07-09T15:23:16	2026-07-09T15:26:05	outputs/rl/eps_recal_v7/no_lagrangian_2
no_lagrangian_nom	2	0	2026-07-09T15:26:05	2026-07-09T15:26:23	outputs/rl/eps_recal_v7/no_lagrangian_2_nom
fixed_penalty	0	0	2026-07-09T15:26:23	2026-07-09T15:29:14	outputs/rl/eps_recal_v7/fixed_penalty_0
fixed_penalty_nom	0	0	2026-07-09T15:29:14	2026-07-09T15:29:33	outputs/rl/eps_recal_v7/fixed_penalty_0_nom
fixed_penalty	1	0	2026-07-09T15:29:33	2026-07-09T15:32:25	outputs/rl/eps_recal_v7/fixed_penalty_1
fixed_penalty_nom	1	0	2026-07-09T15:32:25	2026-07-09T15:32:44	outputs/rl/eps_recal_v7/fixed_penalty_1_nom
fixed_penalty	2	0	2026-07-09T15:32:44	2026-07-09T15:35:32	outputs/rl/eps_recal_v7/fixed_penalty_2
fixed_penalty_nom	2	0	2026-07-09T15:35:32	2026-07-09T15:35:51	outputs/rl/eps_recal_v7/fixed_penalty_2_nom
e4lut	0	0	2026-07-09T15:35:51	2026-07-09T15:38:29	outputs/rl/eps_recal_v7/e4lut_0
e4lut_nom	0	0	2026-07-09T15:38:29	2026-07-09T15:38:48	outputs/rl/eps_recal_v7/e4lut_0_nom
e4lut	1	0	2026-07-09T15:38:48	2026-07-09T15:41:29	outputs/rl/eps_recal_v7/e4lut_1
e4lut_nom	1	0	2026-07-09T15:41:29	2026-07-09T15:41:48	outputs/rl/eps_recal_v7/e4lut_1_nom
proposed_nomtrain	0	0	2026-07-09T15:41:48	2026-07-09T15:45:29	outputs/rl/eps_recal_v7/proposed_0_nomtrain
proposed_nomtrain	1	0	2026-07-09T15:45:29	2026-07-09T15:49:16	outputs/rl/eps_recal_v7/proposed_1_nomtrain
proposed_nomtrain	2	0	2026-07-09T15:49:16	2026-07-09T15:53:03	outputs/rl/eps_recal_v7/proposed_2_nomtrain
