episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,mean_q_defer,mean_q_cache_stale,path_cache_ratio,path_token_ratio,path_image_ratio,path_defer_ratio,path_cache_update_ratio,expert_agreement,expert_path_cache_ratio,expert_path_token_ratio,expert_path_image_ratio,expert_path_defer_ratio,expert_path_cache_update_ratio,mean_defer_count,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,escalation_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_escalation,lambda_quality,lambda_deadline
0.0,-6.122577,-545.883619117152,-545.883619117152,-6.122577,0.2,-1.2245154,-109.1767238234304,-109.1767238234304,0.1415832,0.27968080000000006,0.15609375,0.5234,1.6369999999999998,0.0,632.6284164,0.0,0.0,0.0,2.4,0.8,0.2,0.0,0.0,0.0,1.0,0.8,0.2,0.0,0.0,0.0,0.0,2.617,0.0,1054.380694,0.0,0.0,0.2,0.8,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.199634552001953,250.0,0.1,0.65,1.0,0.20000079999999998,0.138,0.038000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-9.83257,-460.6169917093312,-460.6169917093312,-9.83257,0.2,-1.966514,-92.12339834186625,-92.12339834186625,0.4994058,0.12107500000000002,97.28369140625,0.24500000000000002,0.3842,0.4279297999999999,2560.3728886,1.8,1.4,0.0,0.6,0.4,0.2,0.4,0.0,0.0,1.0,0.4,0.2,0.4,0.0,0.0,0.0,1.225,0.6174309999999998,3217.056806,3.0,2.0,0.6,0.4,0.4,0.2,0.2,0.0,0.4,0.4,0.0,0.0,0.0,5.199634552001953,250.0,0.09933333333333334,0.6481944444444445,0.983,0.5850004,0.4734999999999999,0.35849999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,-3.2430630000000003,-443.7991954163788,-443.7991954163788,-3.2430630000000003,0.0,-0.6486126000000001,-88.75983908327575,-88.75983908327575,0.1258702,0.2743604,0.23849609374999997,0.38420000000000004,1.0338,0.0,849.0896151999999,1.8,0.8,0.0,2.2,0.8,0.2,0.0,0.0,0.0,1.0,0.8,0.2,0.0,0.0,0.0,0.0,1.9210000000000003,0.0,1061.362019,3.0,1.0,0.2,0.8,0.0,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.0,5.199634552001953,250.0,0.09866666666666667,0.6463888888888889,1.0,0.20000079999999992,0.138,0.03800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0278240000000003,-136.51871362502456,-136.51871362502456,1.0278240000000003,0.4,0.20556480000000005,-27.303742725004913,-27.303742725004913,0.7509244,0.016111599999999983,47.566484375,0.0,0.0,0.0,3118.6411566,1.0,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,5310.833603000001,1.0,1.0,1.0,0.0,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,5.199634552001953,250.0,0.098,0.6445833333333334,0.9969999999999999,0.985,0.6405,0.33449999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.798645000000001,-295.94835393545054,-295.94835393545054,2.798645000000001,0.2,0.5597290000000001,-59.18967078709011,-59.18967078709011,0.696083,0.09009040000000001,47.246074218749996,0.1392,0.2784,0.0,2617.843208,1.8,1.4,0.0,0.4,0.2,0.6,0.2,0.0,0.0,1.0,0.2,0.6,0.2,0.0,0.0,0.0,0.696,0.0,4171.406581,3.0,2.0,0.8,0.2,0.2,0.0,0.2,0.2,0.0,0.4,0.0,0.0,0.0,5.199634552001953,250.0,0.09733333333333334,0.6427777777777778,0.99,0.7955002,0.5615,0.24699999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,-5.332403,-216.90550804277893,-216.90550804277893,-5.332403,0.4,-1.0664806,-43.38110160855579,-43.38110160855579,0.833086,0.026654400000000012,94.600390625,0.0,0.0,0.16118939999999995,3231.2350894,0.6,0.6,0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.2686489999999999,5446.732303000001,1.0,1.0,1.0,0.0,0.6,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.0,5.199634552001953,250.0,0.09666666666666668,0.6409722222222223,1.0,1.0,0.64,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,3.4782399999999996,-328.33507614202694,-328.33507614202694,3.4782399999999996,0.2,0.6956479999999999,-65.66701522840539,-65.66701522840539,0.4569192,0.11821599999999999,0.56328125,0.24500000000000002,0.3842,0.0,2406.010314,1.8,1.4,0.0,0.6,0.4,0.6,0.0,0.0,0.0,1.0,0.4,0.6,0.0,0.0,0.0,0.0,1.225,0.0,2966.342573,3.0,2.0,0.6,0.4,0.0,0.2,0.2,0.0,0.0,0.4,0.0,0.0,0.0,5.199634552001953,250.0,0.096,0.6391666666666667,0.9560000000000001,0.5550004000000002,0.5479999999999998,0.2895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,-11.470759,-441.6579707748539,-441.6579707748539,-11.470759,0.0,-2.2941518,-88.33159415497077,-88.33159415497077,0.28799359999999996,0.11010139999999999,0.7142968749999999,0.37460639999999995,1.0466224,0.0,2593.6222176,1.0,1.0,0.0,0.2,0.2,0.8,0.0,0.0,0.0,1.0,0.2,0.8,0.0,0.0,0.0,0.0,1.8730319999999998,0.0,3537.174551,1.0,1.0,0.8,1.0,0.2,0.2,0.8,0.0,0.2,0.2,0.0,0.0,0.0,5.199634552001953,250.0,0.09533333333333334,0.6373611111111112,1.0,0.8000002,0.522,0.12200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,-18.753635,-328.82174965246617,-328.82174965246617,-18.753635,0.2,-3.750727,-65.76434993049324,-65.76434993049324,0.7278423999999999,0.049056200000000015,89.99083984375001,0.0,0.0,0.1498584000000001,3028.671725,1.4,1.4,0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.18732300000000013,5065.491391,2.0,2.0,1.0,0.0,0.6,0.0,0.0,0.2,0.4,0.4,0.0,0.0,0.0,5.199634552001953,250.0,0.09466666666666668,0.6355555555555555,1.0,1.0,0.64,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,-3.433167,-431.31950277087935,-431.31950277087935,-3.433167,0.0,-0.6866334000000001,-86.26390055417588,-86.26390055417588,0.507402,0.12065460000000001,48.88369140625,0.24500000000000002,0.3842,0.11824100000000026,2486.5291034,2.8,2.4,0.0,0.6,0.4,0.4,0.2,0.0,0.0,1.0,0.4,0.4,0.2,0.0,0.0,0.0,1.225,0.11824100000000026,3003.143598,4.0,3.0,0.6,0.4,0.2,0.2,0.2,0.0,0.2,0.6,0.0,0.0,0.0,5.199634552001953,250.0,0.094,0.63375,0.9800000000000001,0.5700004000000001,0.4494999999999999,0.4429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,-9.098243,-292.46521475114673,-292.46521475114673,-9.098243,0.4,-1.8196486,-58.493042950229345,-58.493042950229345,0.8383927999999999,0.021910200000000036,146.00115234375,0.0,0.0,0.0,3366.8573286000005,1.4,1.4,0.0,0.0,0.0,0.4,0.6,0.0,0.0,1.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,5356.917032,2.0,2.0,1.0,0.0,0.6,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,5.199634552001953,250.0,0.09333333333333334,0.6319444444444444,0.983,0.9955,0.6905,0.41500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
